round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_negative_count,nrc_negative_density,nrc_anger_count,nrc_anger_density,nrc_fear_count,nrc_fear_density,nrc_positive_count,nrc_positive_density,nrc_trust_count,nrc_trust_density,nrc_joy_count,nrc_joy_density,emotion_fear,emotion_joy,emotion_anger,emotion_sadness,emotion_love,emotion_surprise,nrc_surprise_count,nrc_surprise_density,nrc_anticipation_count,nrc_anticipation_density,nrc_sadness_count,nrc_sadness_density,nrc_disgust_count,nrc_disgust_density
1,opponent,50.0,1.0,0.05,0.725,0.0,0.0,47.0,361.0,0.0,1.0,0.0,0.02127659574468085,-1.0,2.0,0.0425531914893617,1.0,0.02127659574468085,1.0,0.02127659574468085,1.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.053224049508571625,0.06670741736888885,0.821017324924469,0.05100565403699875,0.004339270759373903,0.0037062373012304306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,-0.25,0.3,0.0,0.0,36.0,276.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05555555555555555,1.0,0.027777777777777776,1.0,0.027777777777777776,2.0,0.05555555555555555,1.0,0.027777777777777776,1.0,0.027777777777777776,0.5138249397277832,0.24775683879852295,0.13196203112602234,0.08712917566299438,0.010581715032458305,0.008745270781219006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,52.0,4.0,0.20714285714285716,0.4107142857142857,0.0,0.0,54.0,404.0,0.0,0.0,0.0,0.0,0.0,5.0,0.09259259259259259,4.0,0.07407407407407407,3.0,0.05555555555555555,3.0,0.05555555555555555,1.0,0.018518518518518517,0.0,0.0,0.0021809362806379795,0.9906287789344788,0.0008426295826211572,0.004246977623552084,0.0007100174552761018,0.001390744000673294,0.0,0.0,0.0,0.0,3.0,0.05555555555555555,2.0,0.037037037037037035
2,proponent,54.0,2.0,-0.08333333333333333,0.32142857142857145,0.0,0.0,44.0,300.0,0.0,0.0,0.0,0.0,0.0,2.0,0.045454545454545456,1.0,0.022727272727272728,1.0,0.022727272727272728,3.0,0.06818181818181818,3.0,0.06818181818181818,1.0,0.022727272727272728,0.9217993021011353,0.027837660163640976,0.03224955126643181,0.013079101219773293,0.0018176870653405786,0.0032166747841984034,1.0,0.022727272727272728,1.0,0.022727272727272728,0.0,0.0,0.0,0.0
3,opponent,53.0,7.0,0.0,0.6785714285714286,0.0,0.0,36.0,273.0,0.0,0.0,0.0,0.0,0.0,1.0,0.027777777777777776,1.0,0.027777777777777776,1.0,0.027777777777777776,3.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.1057884618639946,0.35159462690353394,0.20767642557621002,0.31069549918174744,0.007032871246337891,0.017212124541401863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,proponent,50.0,5.0,0.0,0.1,0.0,0.0,36.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.08333333333333333,1.0,0.027777777777777776,0.0,0.0,0.004005135502666235,0.9342179298400879,0.018086545169353485,0.039612483233213425,0.0022361392620950937,0.0018417616374790668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,opponent,55.0,10.0,0.25,0.75,0.0,0.0,29.0,245.0,0.0,0.0,0.0,0.0,0.0,1.0,0.034482758620689655,1.0,0.034482758620689655,1.0,0.034482758620689655,0.0,0.0,1.0,0.034482758620689655,0.0,0.0,0.0030602950137108564,0.9890527129173279,0.0012450441718101501,0.004229857120662928,0.0006544562056660652,0.0017575796227902174,1.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0
4,proponent,47.0,8.0,-0.125,0.4125,0.0,0.0,32.0,259.0,0.0,1.0,0.0,0.03125,-1.0,1.0,0.03125,0.0,0.0,1.0,0.03125,2.0,0.0625,4.0,0.125,1.0,0.03125,0.04064194858074188,0.2747626006603241,0.35508984327316284,0.3208295702934265,0.004351779818534851,0.0043241409584879875,2.0,0.0625,1.0,0.03125,1.0,0.03125,1.0,0.03125
5,opponent,50.0,13.0,0.1111111111111111,0.5722222222222223,0.0,0.0,38.0,297.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05263157894736842,0.0,0.0,0.0,0.0,3.0,0.07894736842105263,1.0,0.02631578947368421,0.0,0.0,0.007666635327041149,0.9613011479377747,0.02000070922076702,0.006806391756981611,0.002982283243909478,0.0012428953777998686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,proponent,43.0,11.0,0.07333333333333336,0.66,0.0,0.0,40.0,293.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,1.0,0.025,1.0,0.025,3.0,0.075,3.0,0.075,0.0,0.0,0.03266839310526848,0.7747059464454651,0.1092342659831047,0.07455450296401978,0.005969388410449028,0.0028675247449427843,0.0,0.0,0.0,0.0,1.0,0.025,0.0,0.0
