round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_negative_count,nrc_negative_density,nrc_fear_count,nrc_fear_density,nrc_trust_count,nrc_trust_density,nrc_positive_count,nrc_positive_density,nrc_joy_count,nrc_joy_density,emotion_joy,emotion_anger,emotion_sadness,emotion_love,emotion_fear,emotion_surprise,nrc_anticipation_count,nrc_anticipation_density
1,opponent,55.0,1.0,0.13333333333333333,0.3166666666666667,0.0,0.0,39.0,283.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02564102564102564,2.0,0.05128205128205128,4.0,0.10256410256410256,4.0,0.10256410256410256,2.0,0.05128205128205128,0.9559100866317749,0.020375387743115425,0.0132408132776618,0.0021180161274969578,0.007125408388674259,0.001230256399139762,1.0,0.02564102564102564
1,proponent,60.0,0.0,0.16666666666666666,0.3,0.0,0.0,18.0,128.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05555555555555555,2.0,0.1111111111111111,3.0,0.16666666666666666,2.0,0.1111111111111111,1.0,0.05555555555555555,0.993709921836853,0.002430145861580968,0.0015214333543553948,0.0012938245199620724,0.0006061663152649999,0.00043853899114765227,0.0,0.0
2,opponent,56.0,4.0,0.13333333333333333,0.3166666666666667,0.0,0.0,39.0,283.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02564102564102564,2.0,0.05128205128205128,4.0,0.10256410256410256,4.0,0.10256410256410256,2.0,0.05128205128205128,0.9559100866317749,0.020375387743115425,0.0132408132776618,0.0021180161274969578,0.007125408388674259,0.001230256399139762,1.0,0.02564102564102564
2,proponent,72.0,2.0,0.125,0.325,0.0,0.0,20.0,148.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.05,3.0,0.15,6.0,0.3,1.0,0.05,0.01782083511352539,0.5453312993049622,0.02120494283735752,0.0076569742523133755,0.40385153889656067,0.004134423099458218,0.0,0.0
3,opponent,57.0,7.0,0.15000000000000002,0.28750000000000003,0.0,0.0,40.0,282.0,0.0,0.0,0.0,0.0,0.0,1.0,0.025,2.0,0.05,3.0,0.075,4.0,0.1,1.0,0.025,0.611948549747467,0.22161227464675903,0.11270273476839066,0.004608431831002235,0.04639584943652153,0.002732135122641921,0.0,0.0
3,proponent,70.0,5.0,0.125,0.325,0.0,0.0,23.0,180.0,0.0,0.0,0.0,0.0,0.0,2.0,0.08695652173913043,2.0,0.08695652173913043,2.0,0.08695652173913043,2.0,0.08695652173913043,1.0,0.043478260869565216,0.9911664128303528,0.0032964288257062435,0.002559294458478689,0.0015424337470903993,0.0008955615921877325,0.0005399956717155874,0.0,0.0
4,opponent,59.0,10.0,0.15000000000000002,0.28750000000000003,0.0,0.0,40.0,282.0,0.0,0.0,0.0,0.0,0.0,1.0,0.025,2.0,0.05,3.0,0.075,4.0,0.1,1.0,0.025,0.611948549747467,0.22161227464675903,0.11270273476839066,0.004608431831002235,0.04639584943652153,0.002732135122641921,0.0,0.0
4,proponent,67.0,8.0,0.16666666666666666,0.3,0.0,0.0,34.0,265.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029411764705882353,2.0,0.058823529411764705,4.0,0.11764705882352941,3.0,0.08823529411764706,1.0,0.029411764705882353,0.9615199565887451,0.014246076345443726,0.015500285662710667,0.004424233455210924,0.00308084674179554,0.0012288026046007872,0.0,0.0
5,opponent,61.0,13.0,0.15000000000000002,0.28750000000000003,0.0,0.0,40.0,282.0,0.0,0.0,0.0,0.0,0.0,1.0,0.025,2.0,0.05,3.0,0.075,4.0,0.1,1.0,0.025,0.611948549747467,0.22161227464675903,0.11270273476839066,0.004608431831002235,0.04639584943652153,0.002732135122641921,0.0,0.0
5,proponent,64.0,11.0,0.09999999999999999,0.3333333333333333,0.0,0.0,27.0,210.0,0.0,0.0,0.0,0.0,0.0,1.0,0.037037037037037035,2.0,0.07407407407407407,3.0,0.1111111111111111,2.0,0.07407407407407407,1.0,0.037037037037037035,0.9883139133453369,0.0035713627003133297,0.004560243338346481,0.0019136893097311258,0.001138469553552568,0.000502375012729317,0.0,0.0
