round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_surprise_count,nrc_surprise_density,nrc_positive_count,nrc_positive_density,nrc_anticipation_count,nrc_anticipation_density,nrc_joy_count,nrc_joy_density,nrc_anger_count,nrc_anger_density,nrc_negative_count,nrc_negative_density,nrc_trust_count,nrc_trust_density,emotion_anger,emotion_fear,emotion_joy,emotion_sadness,emotion_surprise,emotion_love,nrc_fear_count,nrc_fear_density,nrc_disgust_count,nrc_disgust_density,nrc_sadness_count,nrc_sadness_density
1,opponent,50.0,1.0,0.15000000000000002,0.7,0.0,0.0,34.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.08823529411764706,1.0,0.029411764705882353,0.0,0.0,0.0,0.0,1.0,0.029411764705882353,0.0,0.0,0.26369836926460266,0.5655910968780518,0.037684258073568344,0.12269651144742966,0.004900168161839247,0.005429638084024191,0.0,0.0,0.0,0.0,0.0,0.0
1,proponent,50.0,0.0,0.08888888888888889,0.7722222222222221,0.0,0.0,35.0,257.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05714285714285714,3.0,0.08571428571428572,2.0,0.05714285714285714,1.0,0.02857142857142857,1.0,0.02857142857142857,1.0,0.02857142857142857,1.0,0.02857142857142857,0.8382678031921387,0.06418022513389587,0.05525248870253563,0.037937648594379425,0.002330789575353265,0.002031107433140278,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,52.0,4.0,0.0,0.0,0.0,0.0,39.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05128205128205128,2.0,0.05128205128205128,1.0,0.02564102564102564,1.0,0.02564102564102564,2.0,0.05128205128205128,1.0,0.02564102564102564,0.14355820417404175,0.28411900997161865,0.030787261202931404,0.5356819033622742,0.003705404233187437,0.0021481977310031652,1.0,0.02564102564102564,0.0,0.0,0.0,0.0
2,proponent,47.0,2.0,0.029999999999999992,0.75,0.0,0.0,42.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.11904761904761904,1.0,0.023809523809523808,1.0,0.023809523809523808,0.0,0.0,1.0,0.023809523809523808,2.0,0.047619047619047616,0.19700969755649567,0.10269090533256531,0.04996724799275398,0.6439626812934875,0.002824698109179735,0.0035447513218969107,0.0,0.0,0.0,0.0,0.0,0.0
3,opponent,55.0,7.0,0.044642857142857144,0.21249999999999997,0.0,0.0,45.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.06666666666666667,0.0,0.0,0.0,0.0,2.0,0.044444444444444446,4.0,0.08888888888888889,0.0,0.0,0.019334740936756134,0.01118249911814928,0.9304909706115723,0.030110416933894157,0.006505420897156,0.0023760045878589153,0.0,0.0,2.0,0.044444444444444446,1.0,0.022222222222222223
3,proponent,46.0,5.0,0.09444444444444444,0.20555555555555557,0.0,0.0,36.0,263.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05555555555555555,2.0,0.05555555555555555,2.0,0.05555555555555555,1.0,0.027777777777777776,1.0,0.027777777777777776,1.0,0.027777777777777776,0.0,0.0,0.05734793841838837,0.013921353965997696,0.25794076919555664,0.6660085320472717,0.0019386905478313565,0.002842806978151202,1.0,0.027777777777777776,1.0,0.027777777777777776,1.0,0.027777777777777776
4,opponent,58.0,10.0,0.05,0.6000000000000001,0.0,0.0,36.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.027777777777777776,1.0,0.027777777777777776,0.0,0.0,0.0,0.0,1.0,0.027777777777777776,1.0,0.027777777777777776,0.007642034441232681,0.0038082210812717676,0.04822803661227226,0.9380543231964111,0.0011668397346511483,0.0011005968553945422,1.0,0.027777777777777776,0.0,0.0,0.0,0.0
4,proponent,45.0,8.0,0.06,0.43,0.0,0.0,59.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.03389830508474576,1.0,0.01694915254237288,1.0,0.01694915254237288,2.0,0.03389830508474576,11.0,0.1864406779661017,0.0,0.0,0.21925398707389832,0.06430277973413467,0.033809106796979904,0.6782321929931641,0.002481255680322647,0.001920637208968401,7.0,0.11864406779661017,2.0,0.03389830508474576,5.0,0.0847457627118644
5,opponent,60.0,13.0,-0.08333333333333333,0.35624999999999996,0.0,0.0,37.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02702702702702703,0.0,0.0,0.0,0.0,3.0,0.08108108108108109,1.0,0.02702702702702703,0.07772572338581085,0.022191958501935005,0.7163974046707153,0.17576588690280914,0.003457284066826105,0.004461811855435371,1.0,0.02702702702702703,0.0,0.0,0.0,0.0
5,proponent,44.0,11.0,-0.006666666666666659,0.265,0.0,0.0,44.0,312.0,0.0,0.0,0.0,0.0,0.0,2.0,0.045454545454545456,4.0,0.09090909090909091,3.0,0.06818181818181818,2.0,0.045454545454545456,0.0,0.0,4.0,0.09090909090909091,3.0,0.06818181818181818,0.019184699282050133,0.9627630114555359,0.009357908740639687,0.005783084314316511,0.0017755565932020545,0.0011357092298567295,0.0,0.0,0.0,0.0,0.0,0.0
