round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_positive_count,nrc_positive_density,nrc_negative_count,nrc_negative_density,nrc_trust_count,nrc_trust_density,nrc_joy_count,nrc_joy_density,emotion_sadness,emotion_joy,emotion_anger,emotion_fear,emotion_love,emotion_surprise,nrc_anticipation_count,nrc_anticipation_density,nrc_anger_count,nrc_anger_density,nrc_sadness_count,nrc_sadness_density,nrc_fear_count,nrc_fear_density
1,opponent,50.0,1.0,0.0,0.22083333333333333,0.0,0.0,54.0,354.0,0.0,0.0,0.0,0.0,0.0,7.0,0.12962962962962962,0.0,0.0,3.0,0.05555555555555555,0.0,0.0,0.28320685029029846,0.021446580067276955,0.6306523680686951,0.05734533444046974,0.003555624047294259,0.003793173935264349,1.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,0.09166666666666667,0.35000000000000003,0.0,0.0,37.0,247.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05405405405405406,2.0,0.05405405405405406,1.0,0.02702702702702703,1.0,0.02702702702702703,0.31679585576057434,0.30768826603889465,0.22328920662403107,0.14064109325408936,0.00634438032284379,0.005241250619292259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,50.0,4.0,-0.16666666666666666,0.5833333333333333,0.0,0.0,41.0,296.0,0.0,0.0,0.0,0.0,0.0,5.0,0.12195121951219512,1.0,0.024390243902439025,6.0,0.14634146341463414,2.0,0.04878048780487805,0.2620413899421692,0.4835662841796875,0.22325415909290314,0.018762296065688133,0.006724064704030752,0.00565186096355319,0.0,0.0,1.0,0.024390243902439025,1.0,0.024390243902439025,1.0,0.024390243902439025
2,proponent,50.0,2.0,0.037500000000000006,0.275,0.0,0.0,38.0,269.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07894736842105263,2.0,0.05263157894736842,2.0,0.05263157894736842,1.0,0.02631578947368421,0.05129064992070198,0.08871641755104065,0.8431543707847595,0.011501973494887352,0.002833303529769182,0.0025032181292772293,0.0,0.0,2.0,0.05263157894736842,0.0,0.0,0.0,0.0
3,opponent,52.0,7.0,-0.06666666666666667,0.3666666666666667,0.0,0.0,38.0,280.0,0.0,0.0,0.0,0.0,0.0,5.0,0.13157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.46046993136405945,0.17823129892349243,0.32243379950523376,0.028131049126386642,0.006749176885932684,0.003984780516475439,1.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0
3,proponent,49.0,5.0,0.04333333333333333,0.22999999999999998,0.0,0.0,42.0,303.0,0.0,0.0,0.0,0.0,0.0,6.0,0.14285714285714285,2.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.9085912704467773,0.06279126554727554,0.011507580988109112,0.013665921986103058,0.001708993106149137,0.0017350991256535053,2.0,0.047619047619047616,1.0,0.023809523809523808,1.0,0.023809523809523808,1.0,0.023809523809523808
4,opponent,55.0,10.0,-0.15,0.7,0.0,0.0,40.0,309.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,4.0,0.1,1.0,0.025,0.0,0.0,0.12028256803750992,0.7891198992729187,0.073235884308815,0.00959478598088026,0.00494735362008214,0.0028194549959152937,1.0,0.025,0.0,0.0,1.0,0.025,1.0,0.025
4,proponent,48.0,8.0,0.3,0.5,0.0,0.0,39.0,281.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1282051282051282,4.0,0.10256410256410256,3.0,0.07692307692307693,0.0,0.0,0.03332061693072319,0.1809598058462143,0.7572489976882935,0.02077653631567955,0.004854103550314903,0.0028399270959198475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,opponent,50.0,13.0,-0.08333333333333333,0.26666666666666666,0.0,0.0,39.0,284.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07692307692307693,1.0,0.02564102564102564,1.0,0.02564102564102564,1.0,0.02564102564102564,0.06814110279083252,0.6824943423271179,0.22084671258926392,0.020292041823267937,0.003860894590616226,0.004364877473562956,0.0,0.0,0.0,0.0,1.0,0.02564102564102564,1.0,0.02564102564102564
5,proponent,47.0,11.0,-0.024999999999999994,0.325,0.0,0.0,33.0,240.0,0.0,0.0,0.0,0.0,0.0,4.0,0.12121212121212122,0.0,0.0,2.0,0.06060606060606061,1.0,0.030303030303030304,0.004965084604918957,0.9898641705513,0.0016608831938356161,0.0011199158616364002,0.0011458296794444323,0.0012441190192475915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
