round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_trust_count,nrc_trust_density,nrc_sadness_count,nrc_sadness_density,nrc_anger_count,nrc_anger_density,nrc_fear_count,nrc_fear_density,nrc_negative_count,nrc_negative_density,nrc_positive_count,nrc_positive_density,emotion_fear,emotion_anger,emotion_sadness,emotion_surprise,emotion_joy,emotion_love,nrc_disgust_count,nrc_disgust_density,nrc_anticipation_count,nrc_anticipation_density,nrc_joy_count,nrc_joy_density
1,opponent,55.0,1.0,0.2,0.7,0.0,0.0,28.0,168.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07142857142857142,2.0,0.07142857142857142,1.0,0.03571428571428571,1.0,0.03571428571428571,2.0,0.07142857142857142,1.0,0.03571428571428571,0.19749000668525696,0.7128371596336365,0.031423188745975494,0.008204713463783264,0.0448615700006485,0.005183379631489515,1.0,0.03571428571428571,0.0,0.0,0.0,0.0
1,proponent,50.0,0.0,-0.022222222222222216,0.5111111111111112,0.0,0.0,26.0,183.0,1.0,0.0,0.038461538461538464,0.0,1.0,2.0,0.07692307692307693,2.0,0.07692307692307693,2.0,0.07692307692307693,2.0,0.07692307692307693,2.0,0.07692307692307693,1.0,0.038461538461538464,0.7959032654762268,0.1850791722536087,0.010523400269448757,0.0035332844126969576,0.003353940322995186,0.00160687742754817,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,56.0,4.0,-0.03125,0.59375,0.0,0.0,36.0,239.0,0.0,1.0,0.0,0.027777777777777776,-1.0,0.0,0.0,1.0,0.027777777777777776,2.0,0.05555555555555555,3.0,0.08333333333333333,2.0,0.05555555555555555,0.0,0.0,0.872016191482544,0.07221832126379013,0.021098313853144646,0.005695659667253494,0.026605885475873947,0.002365713007748127,0.0,0.0,1.0,0.027777777777777776,0.0,0.0
2,proponent,45.0,2.0,0.05,0.6392857142857142,0.0,0.0,32.0,241.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03125,1.0,0.03125,2.0,0.0625,2.0,0.0625,2.0,0.0625,5.0,0.15625,0.04186031222343445,0.8457229733467102,0.08443795144557953,0.0015909329522401094,0.023890938609838486,0.0024968592915683985,0.0,0.0,0.0,0.0,0.0,0.0
3,opponent,54.0,7.0,0.5,0.5,0.0,0.0,39.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05128205128205128,2.0,0.05128205128205128,5.0,0.1282051282051282,4.0,0.10256410256410256,1.0,0.02564102564102564,0.010739637538790703,0.00535361934453249,0.005474551115185022,0.001643373747356236,0.9757471084594727,0.0010417202720418572,1.0,0.02564102564102564,1.0,0.02564102564102564,0.0,0.0
3,proponent,46.0,5.0,0.2630952380952381,0.5345238095238095,0.0,0.0,37.0,258.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02702702702702703,2.0,0.05405405405405406,1.0,0.02702702702702703,2.0,0.05405405405405406,2.0,0.05405405405405406,1.0,0.02702702702702703,0.0020375270396471024,0.0008756403112784028,0.0019470058614388108,0.0009115617722272873,0.9936991930007935,0.0005290979170240462,0.0,0.0,0.0,0.0,1.0,0.02702702702702703
4,opponent,55.0,10.0,0.6,0.9,0.0,0.0,30.0,219.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1,3.0,0.1,4.0,0.13333333333333333,5.0,0.16666666666666666,5.0,0.16666666666666666,2.0,0.06666666666666667,0.02510795369744301,0.9639526605606079,0.0033685381058603525,0.001700724707916379,0.004986347630620003,0.0008838478242978454,2.0,0.06666666666666667,1.0,0.03333333333333333,1.0,0.03333333333333333
4,proponent,44.0,8.0,0.12916666666666665,0.5851190476190476,0.0,0.0,35.0,250.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02857142857142857,0.0,0.0,1.0,0.02857142857142857,1.0,0.02857142857142857,2.0,0.05714285714285714,4.0,0.11428571428571428,0.6281312704086304,0.3621155619621277,0.00393978925421834,0.003216454526409507,0.0015566195361316204,0.0010403306223452091,0.0,0.0,1.0,0.02857142857142857,2.0,0.05714285714285714
5,opponent,53.0,13.0,-0.15000000000000002,0.55,0.0,0.0,39.0,286.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05128205128205128,1.0,0.02564102564102564,2.0,0.05128205128205128,3.0,0.07692307692307693,3.0,0.07692307692307693,1.0,0.02564102564102564,0.08354874700307846,0.743045449256897,0.07739175111055374,0.0034855941776186228,0.0897572785615921,0.0027711521834135056,1.0,0.02564102564102564,1.0,0.02564102564102564,0.0,0.0
5,proponent,45.0,11.0,-0.033333333333333354,0.5166666666666666,0.0,0.0,44.0,331.0,0.0,0.0,0.0,0.0,0.0,4.0,0.09090909090909091,2.0,0.045454545454545456,1.0,0.022727272727272728,2.0,0.045454545454545456,2.0,0.045454545454545456,6.0,0.13636363636363635,0.08108609914779663,0.36971330642700195,0.18142272531986237,0.0032374581787735224,0.35187774896621704,0.012662718072533607,0.0,0.0,0.0,0.0,0.0,0.0
