round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_positive_count,nrc_positive_density,nrc_trust_count,nrc_trust_density,nrc_joy_count,nrc_joy_density,nrc_anticipation_count,nrc_anticipation_density,nrc_fear_count,nrc_fear_density,emotion_joy,emotion_sadness,emotion_love,emotion_anger,emotion_surprise,emotion_fear,nrc_negative_count,nrc_negative_density,nrc_sadness_count,nrc_sadness_density,nrc_surprise_count,nrc_surprise_density,nrc_disgust_count,nrc_disgust_density,nrc_anger_count,nrc_anger_density
1,opponent,55.0,1.0,0.0,0.03333333333333333,0.0,0.0,27.0,198.0,0.0,0.0,0.0,0.0,0.0,6.0,0.2222222222222222,2.0,0.07407407407407407,2.0,0.07407407407407407,2.0,0.07407407407407407,2.0,0.07407407407407407,0.7426292896270752,0.1432289034128189,0.019178850576281548,0.05545031279325485,0.009847089648246765,0.029665550217032433,2.0,0.07407407407407407,1.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,0.06666666666666667,0.12222222222222222,0.0,0.0,29.0,196.0,0.0,0.0,0.0,0.0,0.0,4.0,0.13793103448275862,3.0,0.10344827586206896,1.0,0.034482758620689655,2.0,0.06896551724137931,1.0,0.034482758620689655,0.9974258542060852,0.0010555501794442534,0.000501260336022824,0.00045807083370164037,0.00033180942409671843,0.00022746325703337789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,54.0,4.0,0.13333333333333333,0.15555555555555556,0.0,0.0,32.0,237.0,0.0,0.0,0.0,0.0,0.0,7.0,0.21875,3.0,0.09375,2.0,0.0625,2.0,0.0625,2.0,0.0625,0.8982745409011841,0.052493344992399216,0.009633109904825687,0.019772715866565704,0.007490584161132574,0.012335666455328465,2.0,0.0625,1.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
2,proponent,50.0,2.0,0.024999999999999994,0.375,0.0,0.0,37.0,263.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05405405405405406,2.0,0.05405405405405406,0.0,0.0,0.0,0.0,1.0,0.02702702702702703,0.990685760974884,0.005183784756809473,0.0007665057783015072,0.0015260005602613091,0.000904728309251368,0.0009332129848189652,1.0,0.02702702702702703,0.0,0.0,1.0,0.02702702702702703,0.0,0.0,0.0,0.0
3,opponent,55.0,7.0,0.13333333333333333,0.15555555555555556,0.0,0.0,32.0,237.0,0.0,0.0,0.0,0.0,0.0,7.0,0.21875,3.0,0.09375,2.0,0.0625,2.0,0.0625,2.0,0.0625,0.8982745409011841,0.052493344992399216,0.009633109904825687,0.019772715866565704,0.007490584161132574,0.012335666455328465,2.0,0.0625,1.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
3,proponent,51.0,5.0,0.0,1.0,0.0,0.0,41.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.04878048780487805,0.0,0.0,0.0,0.0,4.0,0.0975609756097561,0.005019597243517637,0.043588727712631226,0.0018968689255416393,0.9451056122779846,0.0008319986518472433,0.0035571432672441006,4.0,0.0975609756097561,2.0,0.04878048780487805,0.0,0.0,2.0,0.04878048780487805,2.0,0.04878048780487805
4,opponent,54.0,10.0,0.13333333333333333,0.15555555555555556,0.0,0.0,32.0,237.0,0.0,0.0,0.0,0.0,0.0,7.0,0.21875,3.0,0.09375,2.0,0.0625,2.0,0.0625,2.0,0.0625,0.8982745409011841,0.052493344992399216,0.009633109904825687,0.019772715866565704,0.007490584161132574,0.012335666455328465,2.0,0.0625,1.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
4,proponent,53.0,8.0,0.041666666666666664,0.28611111111111115,0.0,0.0,42.0,300.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07142857142857142,3.0,0.07142857142857142,0.0,0.0,2.0,0.047619047619047616,4.0,0.09523809523809523,0.821908712387085,0.14149749279022217,0.0037483356427401304,0.027849314734339714,0.0017204021569341421,0.003275811905041337,5.0,0.11904761904761904,4.0,0.09523809523809523,3.0,0.07142857142857142,4.0,0.09523809523809523,2.0,0.047619047619047616
5,opponent,53.0,13.0,0.13333333333333333,0.15555555555555556,0.0,0.0,32.0,237.0,0.0,0.0,0.0,0.0,0.0,7.0,0.21875,3.0,0.09375,2.0,0.0625,2.0,0.0625,2.0,0.0625,0.8982745409011841,0.052493344992399216,0.009633109904825687,0.019772715866565704,0.007490584161132574,0.012335666455328465,2.0,0.0625,1.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
5,proponent,54.0,11.0,0.016666666666666663,0.3833333333333333,0.0,0.0,44.0,321.0,0.0,0.0,0.0,0.0,0.0,4.0,0.09090909090909091,3.0,0.06818181818181818,0.0,0.0,0.0,0.0,1.0,0.022727272727272728,0.9859733581542969,0.008385381661355495,0.0009899252327159047,0.002290469128638506,0.0009705477859824896,0.0013904934749007225,3.0,0.06818181818181818,0.0,0.0,1.0,0.022727272727272728,1.0,0.022727272727272728,0.0,0.0
