round,speaker_role,confidence,reply_to_turn,turn_index,polarity,subjectivity,uncertainty_score,strong_modality_score,weak_modality_score,question_count,exclamation_count,word_count,char_count,emotion_fear,emotion_anger,emotion_joy,emotion_surprise,emotion_love,emotion_sadness
1,opponent,50.0,1.0,2.0,0.13333333333333333,0.25555555555555554,0.0,0.0,0.0,0.0,0.0,31.0,224.0,0.16776755452156067,0.10502048581838608,0.6609453558921814,0.008277380838990211,0.002165463287383318,0.05582377314567566
1,proponent,55.0,,1.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,31.0,207.0,0.5289666652679443,0.36585429310798645,0.06615118682384491,0.03157272934913635,0.005937912501394749,0.0015171546256169677
2,opponent,51.0,4.0,4.0,0.16666666666666666,0.5,1.0,0.0,1.0,0.0,0.0,45.0,329.0,0.10784535109996796,0.06820633262395859,0.7903557419776917,0.01470083836466074,0.002276050392538309,0.016615726053714752
2,proponent,53.0,2.0,3.0,0.1875,0.4375,0.0,0.0,0.0,0.0,0.0,35.0,268.0,0.00931510515511036,0.7090916037559509,0.18623967468738556,0.004367261193692684,0.005853898357599974,0.08513250201940536
3,opponent,52.0,7.0,6.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,35.0,291.0,0.003174175275489688,0.006271395832300186,0.9768438935279846,0.0016368505312129855,0.001287604682147503,0.01078623253852129
3,proponent,52.0,5.0,5.0,0.08333333333333333,0.2833333333333333,0.0,0.0,0.0,0.0,0.0,38.0,296.0,0.006491454318165779,0.9694486260414124,0.002121180994436145,0.0006034496473148465,0.0007199161336757243,0.020615383982658386
4,opponent,54.0,10.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,33.0,272.0,0.02692500315606594,0.9603558778762817,0.005069291219115257,0.001063561998307705,0.0007535913027822971,0.005832707043737173
4,proponent,49.0,8.0,7.0,0.6,0.8,0.0,0.0,0.0,0.0,0.0,36.0,283.0,0.012430067174136639,0.17675285041332245,0.7506062388420105,0.0018636230379343033,0.004134519957005978,0.054212719202041626
5,opponent,56.0,13.0,10.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,33.0,249.0,0.004317987710237503,0.042363326996564865,0.8925653696060181,0.0022873554844409227,0.004635069984942675,0.053830865770578384
5,proponent,46.0,11.0,9.0,0.125,0.1875,1.0,0.0,0.0,0.0,0.0,38.0,276.0,0.03431267291307449,0.07368418574333191,0.38288676738739014,0.0032310630194842815,0.005650547798722982,0.5002347826957703
