round,speaker_role,confidence,reply_to_turn,turn_index,polarity,subjectivity,uncertainty_score,strong_modality_score,weak_modality_score,question_count,exclamation_count,word_count,char_count,emotion_fear,emotion_joy,emotion_anger,emotion_sadness,emotion_surprise,emotion_love
1,opponent,50.0,1.0,2.0,0.55,0.5,0.0,0.0,0.0,0.0,0.0,40.0,270.0,0.22872264683246613,0.4566779136657715,0.15063218772411346,0.145272359251976,0.013613452203571796,0.005081361159682274
1,proponent,55.0,,1.0,-0.6,1.0,0.0,0.0,0.0,0.0,0.0,32.0,221.0,0.47766193747520447,0.29987820982933044,0.10909002274274826,0.060061078518629074,0.04388698935508728,0.009421934373676777
2,opponent,51.0,4.0,4.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,43.0,282.0,0.9420549869537354,0.010407261550426483,0.024425141513347626,0.009177489206194878,0.012959805317223072,0.0009753081249073148
2,proponent,57.0,2.0,3.0,-0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,30.0,225.0,0.004612515214830637,0.9609296917915344,0.015321733430027962,0.014518069103360176,0.0029588881880044937,0.001658997731283307
3,opponent,52.0,7.0,6.0,0.03333333333333333,0.5083333333333333,1.0,0.0,1.0,0.0,0.0,48.0,381.0,0.2901345193386078,0.017662761732935905,0.6573536992073059,0.025978121906518936,0.006735221017152071,0.0021357336081564426
3,proponent,55.0,5.0,5.0,0.2875,0.3125,0.0,0.0,0.0,0.0,0.0,32.0,225.0,0.0007067290716804564,0.9941949248313904,0.001003968995064497,0.002246292307972908,0.0007677038083784282,0.0010803601471707225
4,opponent,54.0,10.0,8.0,0.19444444444444442,0.3611111111111111,0.0,0.0,0.0,0.0,0.0,43.0,348.0,0.076837457716465,0.344294011592865,0.21721599996089935,0.3503657877445221,0.00416241679340601,0.007124343886971474
4,proponent,58.0,8.0,7.0,-0.08333333333333333,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,37.0,274.0,0.20412930846214294,0.04829753562808037,0.6881992220878601,0.051521990448236465,0.0043336572125554085,0.0035182873252779245
5,proponent,55.0,11.0,9.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,39.0,275.0,0.0030522767920047045,0.9503856897354126,0.021994682028889656,0.01925051026046276,0.001010526088066399,0.004306341987103224
6,opponent,56.0,13.0,10.0,0.23154761904761903,0.6458333333333334,1.0,0.0,1.0,0.0,0.0,56.0,417.0,0.011864978820085526,0.09817403554916382,0.859481155872345,0.021434856578707695,0.0027515527326613665,0.006293520797044039
