round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_anticipation_count,nrc_anticipation_density,nrc_trust_count,nrc_trust_density,nrc_positive_count,nrc_positive_density,nrc_joy_count,nrc_joy_density,emotion_joy,emotion_anger,emotion_sadness,emotion_fear,emotion_love,emotion_surprise,nrc_anger_count,nrc_anger_density,nrc_fear_count,nrc_fear_density,nrc_negative_count,nrc_negative_density,nrc_sadness_count,nrc_sadness_density,nrc_disgust_count,nrc_disgust_density,nrc_surprise_count,nrc_surprise_density
1,opponent,50.0,1.0,0.0,0.05,0.0,0.0,38.0,323.0,1.0,0.0,0.02631578947368421,0.0,1.0,0.0,0.0,2.0,0.05263157894736842,3.0,0.07894736842105263,1.0,0.02631578947368421,0.6014218330383301,0.27528154850006104,0.0413481667637825,0.07208815962076187,0.0031594049651175737,0.006700884085148573,1.0,0.02631578947368421,1.0,0.02631578947368421,1.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0
1,proponent,50.0,0.0,0.03333333333333333,0.2017857142857143,0.0,0.0,33.0,237.0,0.0,0.0,0.0,0.0,0.0,1.0,0.030303030303030304,2.0,0.06060606060606061,1.0,0.030303030303030304,1.0,0.030303030303030304,0.9001052975654602,0.05812239646911621,0.03337303549051285,0.0037218735087662935,0.003498820122331381,0.0011785200331360102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,52.0,4.0,-0.1,0.25,0.0,0.0,35.0,283.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02857142857142857,1.0,0.02857142857142857,2.0,0.05714285714285714,1.0,0.02857142857142857,0.9777442812919617,0.011264385655522346,0.0049187191762030125,0.0035299775190651417,0.0014024509582668543,0.0011402522213757038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,proponent,47.0,2.0,-0.05333333333333332,0.27999999999999997,0.0,0.0,39.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05128205128205128,2.0,0.05128205128205128,0.0,0.0,0.003826736705377698,0.990635335445404,0.0020599369890987873,0.00222427467815578,0.0007604542770422995,0.000493329600431025,0.0,0.0,0.0,0.0,1.0,0.02564102564102564,1.0,0.02564102564102564,0.0,0.0,0.0,0.0
3,opponent,54.0,7.0,0.06666666666666667,0.4666666666666666,0.0,0.0,39.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05128205128205128,3.0,0.07692307692307693,0.0,0.0,0.8406149744987488,0.03585577756166458,0.0909501165151596,0.015715040266513824,0.007885565981268883,0.008978552184998989,0.0,0.0,1.0,0.02564102564102564,2.0,0.05128205128205128,0.0,0.0,1.0,0.02564102564102564,0.0,0.0
3,proponent,44.0,5.0,0.25,0.6333333333333333,0.0,0.0,33.0,240.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06060606060606061,2.0,0.06060606060606061,3.0,0.09090909090909091,1.0,0.030303030303030304,0.7471556067466736,0.2016972154378891,0.02709435671567917,0.017100049182772636,0.004887292627245188,0.002065445762127638,3.0,0.09090909090909091,2.0,0.06060606060606061,2.0,0.06060606060606061,1.0,0.030303030303030304,2.0,0.06060606060606061,0.0,0.0
4,opponent,56.0,10.0,-0.125,0.5,0.0,0.0,40.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,1.0,0.025,0.12711544334888458,0.22067999839782715,0.09940959513187408,0.5366061925888062,0.003332247957587242,0.012856489047408104,1.0,0.025,1.0,0.025,1.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0
4,proponent,41.0,8.0,0.07333333333333333,0.2733333333333333,0.0,0.0,50.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.06,3.0,0.06,0.0,0.0,0.0014746506931260228,0.967891275882721,0.016468921676278114,0.012948955409228802,0.0006338756065815687,0.0005823440733365715,3.0,0.06,1.0,0.02,3.0,0.06,2.0,0.04,2.0,0.04,1.0,0.02
5,opponent,58.0,13.0,0.6,0.8,0.0,0.0,42.0,311.0,0.0,0.0,0.0,0.0,0.0,1.0,0.023809523809523808,1.0,0.023809523809523808,2.0,0.047619047619047616,0.0,0.0,0.8700351119041443,0.03605036064982414,0.08264942467212677,0.005938031245023012,0.0035239392891526222,0.0018031169893220067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,proponent,38.0,11.0,0.4,0.55,0.0,0.0,45.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.044444444444444446,3.0,0.06666666666666667,0.0,0.0,0.007625356782227755,0.9844882488250732,0.0017784012015908957,0.004127354361116886,0.0013630117755383253,0.0006176827591843903,0.0,0.0,0.0,0.0,1.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0
