round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_positive_count,nrc_positive_density,nrc_negative_count,nrc_negative_density,emotion_fear,emotion_sadness,emotion_joy,emotion_anger,emotion_surprise,emotion_love,nrc_trust_count,nrc_trust_density,nrc_anticipation_count,nrc_anticipation_density,nrc_sadness_count,nrc_sadness_density,nrc_joy_count,nrc_joy_density,nrc_anger_count,nrc_anger_density,nrc_fear_count,nrc_fear_density,nrc_disgust_count,nrc_disgust_density
1,opponent,50.0,1.0,0.008333333333333338,0.24374999999999997,0.0,0.0,54.0,361.0,0.0,0.0,0.0,0.0,0.0,5.0,0.09259259259259259,3.0,0.05555555555555555,0.12110929936170578,0.08170251548290253,0.01839224435389042,0.7712594270706177,0.004178430885076523,0.0033580188173800707,3.0,0.05555555555555555,1.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,0.012500000000000004,0.27499999999999997,0.0,0.0,34.0,223.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029411764705882353,2.0,0.058823529411764705,0.473158061504364,0.29492872953414917,0.12759296596050262,0.0904778465628624,0.008695266209542751,0.005147121846675873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,51.0,4.0,0.0,0.35714285714285715,0.0,0.0,42.0,316.0,0.0,1.0,0.0,0.023809523809523808,-1.0,3.0,0.07142857142857142,1.0,0.023809523809523808,0.03421181067824364,0.9377561807632446,0.00681237643584609,0.018853913992643356,0.001445692265406251,0.0009201261564157903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.023809523809523808,1.0,0.023809523809523808,0.0,0.0
2,proponent,50.0,2.0,0.02142857142857144,0.45,0.0,0.0,45.0,313.0,0.0,0.0,0.0,0.0,0.0,4.0,0.08888888888888889,3.0,0.06666666666666667,0.059417858719825745,0.0782550647854805,0.7379460334777832,0.11779294908046722,0.002945042448118329,0.003643105272203684,3.0,0.06666666666666667,2.0,0.044444444444444446,1.0,0.022222222222222223,1.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0
3,opponent,53.0,7.0,0.25,1.0,0.0,0.0,31.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03225806451612903,0.005742035340517759,0.04704997316002846,0.055643241852521896,0.8840073943138123,0.0018457453697919846,0.005711530335247517,0.0,0.0,0.0,0.0,1.0,0.03225806451612903,0.0,0.0,1.0,0.03225806451612903,1.0,0.03225806451612903,1.0,0.03225806451612903
3,proponent,47.0,5.0,0.13999999999999999,0.41,0.0,0.0,47.0,322.0,0.0,0.0,0.0,0.0,0.0,5.0,0.10638297872340426,1.0,0.02127659574468085,0.0010795184643939137,0.016385605558753014,0.9723517894744873,0.007052689790725708,0.001094334409572184,0.0020360921043902636,1.0,0.02127659574468085,1.0,0.02127659574468085,0.0,0.0,2.0,0.0425531914893617,0.0,0.0,1.0,0.02127659574468085,1.0,0.02127659574468085
4,opponent,51.0,10.0,-0.06071428571428572,0.4702380952380953,0.0,0.0,41.0,340.0,0.0,0.0,0.0,0.0,0.0,5.0,0.12195121951219512,2.0,0.04878048780487805,0.06697448343038559,0.04433147609233856,0.5192221403121948,0.35902437567710876,0.005126583855599165,0.005320915021002293,3.0,0.07317073170731707,1.0,0.024390243902439025,1.0,0.024390243902439025,0.0,0.0,1.0,0.024390243902439025,2.0,0.04878048780487805,0.0,0.0
4,proponent,48.0,8.0,-0.049999999999999996,0.6333333333333333,0.0,0.0,41.0,299.0,0.0,1.0,0.0,0.024390243902439025,-1.0,5.0,0.12195121951219512,1.0,0.024390243902439025,0.03682341426610947,0.07952375710010529,0.3251764178276062,0.546493649482727,0.0035854559391736984,0.008397375233471394,4.0,0.0975609756097561,2.0,0.04878048780487805,0.0,0.0,1.0,0.024390243902439025,1.0,0.024390243902439025,1.0,0.024390243902439025,0.0,0.0
5,opponent,52.0,13.0,0.13437500000000002,0.3625,0.0,0.0,39.0,297.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05128205128205128,3.0,0.07692307692307693,0.005357066169381142,0.0396440289914608,0.4311635196208954,0.5161998271942139,0.0030938407871872187,0.004541757050901651,3.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02564102564102564,1.0,0.02564102564102564,0.0,0.0
5,proponent,46.0,11.0,-0.04583333333333334,0.3208333333333333,0.0,0.0,41.0,252.0,0.0,0.0,0.0,0.0,0.0,1.0,0.024390243902439025,4.0,0.0975609756097561,0.007019542157649994,0.8767473101615906,0.033977799117565155,0.07930958271026611,0.0012134186690673232,0.0017323518404737115,2.0,0.04878048780487805,1.0,0.024390243902439025,1.0,0.024390243902439025,0.0,0.0,3.0,0.07317073170731707,2.0,0.04878048780487805,1.0,0.024390243902439025
