round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_trust_count,nrc_trust_density,nrc_sadness_count,nrc_sadness_density,nrc_anger_count,nrc_anger_density,nrc_fear_count,nrc_fear_density,nrc_negative_count,nrc_negative_density,nrc_positive_count,nrc_positive_density,emotion_fear,emotion_anger,emotion_sadness,emotion_surprise,emotion_joy,emotion_love,nrc_joy_count,nrc_joy_density,nrc_anticipation_count,nrc_anticipation_density,nrc_disgust_count,nrc_disgust_density,nrc_surprise_count,nrc_surprise_density
1,opponent,50.0,1.0,0.125,0.45,0.0,0.0,33.0,275.0,0.0,0.0,0.0,0.0,0.0,1.0,0.030303030303030304,1.0,0.030303030303030304,2.0,0.06060606060606061,3.0,0.09090909090909091,2.0,0.06060606060606061,2.0,0.06060606060606061,0.2613248825073242,0.12748798727989197,0.09044583886861801,0.03451959416270256,0.46933382749557495,0.016887890174984932,1.0,0.030303030303030304,1.0,0.030303030303030304,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,-0.022222222222222216,0.5111111111111112,0.0,0.0,26.0,183.0,1.0,0.0,0.038461538461538464,0.0,1.0,2.0,0.07692307692307693,2.0,0.07692307692307693,2.0,0.07692307692307693,2.0,0.07692307692307693,2.0,0.07692307692307693,1.0,0.038461538461538464,0.7959032654762268,0.1850791722536087,0.010523400269448757,0.0035332844126969576,0.003353940322995186,0.00160687742754817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,51.0,4.0,0.4,0.5,0.0,0.0,42.0,332.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07142857142857142,1.0,0.023809523809523808,0.0,0.0,1.0,0.023809523809523808,4.0,0.09523809523809523,3.0,0.07142857142857142,0.3223634362220764,0.5828256011009216,0.05146477743983269,0.004178921226412058,0.03759206086397171,0.0015752273611724377,0.0,0.0,1.0,0.023809523809523808,0.0,0.0,0.0,0.0
2,proponent,53.0,2.0,-0.11666666666666665,0.2833333333333333,0.0,0.0,34.0,252.0,0.0,0.0,0.0,0.0,0.0,2.0,0.058823529411764705,0.0,0.0,0.0,0.0,4.0,0.11764705882352941,3.0,0.08823529411764706,2.0,0.058823529411764705,0.7419312000274658,0.22818468511104584,0.014412173070013523,0.003998816944658756,0.00970957987010479,0.001763613778166473,1.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0
3,opponent,50.0,7.0,-0.13,0.21500000000000002,0.0,0.0,45.0,325.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.044444444444444446,1.0,0.022222222222222223,0.02667069062590599,0.6455158591270447,0.07662743330001831,0.00494369026273489,0.24126796424388885,0.004974342882633209,0.0,0.0,0.0,0.0,1.0,0.022222222222222223,0.0,0.0
3,proponent,55.0,5.0,0.036666666666666695,0.47000000000000003,0.0,0.0,42.0,328.0,0.0,0.0,0.0,0.0,0.0,7.0,0.16666666666666666,2.0,0.047619047619047616,1.0,0.023809523809523808,2.0,0.047619047619047616,2.0,0.047619047619047616,4.0,0.09523809523809523,0.09851749241352081,0.03380758687853813,0.02409297227859497,0.0034028394147753716,0.8366168141365051,0.003562249941751361,1.0,0.023809523809523808,2.0,0.047619047619047616,0.0,0.0,0.0,0.0
4,opponent,47.0,10.0,0.18055555555555558,0.41111111111111115,0.0,0.0,35.0,274.0,1.0,0.0,0.02857142857142857,0.0,1.0,0.0,0.0,1.0,0.02857142857142857,1.0,0.02857142857142857,2.0,0.05714285714285714,2.0,0.05714285714285714,1.0,0.02857142857142857,0.0005454491474665701,0.0005028151208534837,0.0014720781473442912,0.0008507819147780538,0.9963021278381348,0.000326635898090899,0.0,0.0,0.0,0.0,1.0,0.02857142857142857,0.0,0.0
4,proponent,60.0,8.0,0.013888888888888895,0.6222222222222222,0.0,0.0,53.0,359.0,1.0,1.0,0.018867924528301886,0.018867924528301886,0.0,3.0,0.05660377358490566,3.0,0.05660377358490566,2.0,0.03773584905660377,4.0,0.07547169811320754,4.0,0.07547169811320754,5.0,0.09433962264150944,0.7191035747528076,0.0879615768790245,0.18585358560085297,0.003181752748787403,0.002540214918553829,0.0013593588955700397,1.0,0.018867924528301886,1.0,0.018867924528301886,1.0,0.018867924528301886,0.0,0.0
5,opponent,52.0,13.0,-0.2666666666666666,0.6,0.0,0.0,42.0,317.0,1.0,0.0,0.023809523809523808,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.047619047619047616,0.0,0.0,3.0,0.07142857142857142,0.626819908618927,0.24596558511257172,0.024076156318187714,0.00854257307946682,0.0898418128490448,0.004753932356834412,0.0,0.0,1.0,0.023809523809523808,0.0,0.0,1.0,0.023809523809523808
5,proponent,62.0,11.0,0.1622222222222222,0.4377777777777778,0.0,0.0,52.0,374.0,0.0,0.0,0.0,0.0,0.0,1.0,0.019230769230769232,1.0,0.019230769230769232,2.0,0.038461538461538464,4.0,0.07692307692307693,5.0,0.09615384615384616,3.0,0.057692307692307696,0.047300565987825394,0.040724508464336395,0.012892854399979115,0.005257222335785627,0.8906124830245972,0.003212312236428261,1.0,0.019230769230769232,1.0,0.019230769230769232,0.0,0.0,1.0,0.019230769230769232
