round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_positive_count,nrc_positive_density,nrc_trust_count,nrc_trust_density,nrc_joy_count,nrc_joy_density,nrc_anticipation_count,nrc_anticipation_density,nrc_fear_count,nrc_fear_density,nrc_negative_count,nrc_negative_density,nrc_sadness_count,nrc_sadness_density,emotion_joy,emotion_sadness,emotion_love,emotion_anger,emotion_surprise,emotion_fear,nrc_disgust_count,nrc_disgust_density,nrc_anger_count,nrc_anger_density,nrc_surprise_count,nrc_surprise_density
1,opponent,50.0,1.0,0.0,0.0,0.0,0.0,31.0,238.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0967741935483871,1.0,0.03225806451612903,0.0,0.0,2.0,0.06451612903225806,3.0,0.0967741935483871,3.0,0.0967741935483871,1.0,0.03225806451612903,0.006312268320471048,0.0430176742374897,0.0012910428922623396,0.9350331425666809,0.001122223329730332,0.013223632238805294,1.0,0.03225806451612903,1.0,0.03225806451612903,0.0,0.0
1,proponent,55.0,0.0,0.0,0.03333333333333333,0.0,0.0,28.0,196.0,0.0,0.0,0.0,0.0,0.0,4.0,0.14285714285714285,2.0,0.07142857142857142,1.0,0.03571428571428571,2.0,0.07142857142857142,1.0,0.03571428571428571,2.0,0.07142857142857142,1.0,0.03571428571428571,0.9965798258781433,0.001612214371562004,0.0005606961785815656,0.0005466730799525976,0.0003773745847865939,0.0003230060974601656,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,52.0,4.0,0.13333333333333336,0.4083333333333333,0.0,0.0,29.0,242.0,1.0,0.0,0.034482758620689655,0.0,1.0,1.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06896551724137931,4.0,0.13793103448275862,2.0,0.06896551724137931,0.028241848573088646,0.1710435450077057,0.0047347224317491055,0.791098415851593,0.001142446999438107,0.003739033592864871,1.0,0.034482758620689655,1.0,0.034482758620689655,0.0,0.0
2,proponent,50.0,2.0,-0.2333333333333333,0.375,0.0,0.0,32.0,229.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03125,1.0,0.03125,0.0,0.0,0.0,0.0,1.0,0.03125,2.0,0.0625,1.0,0.03125,0.10141491889953613,0.6680961847305298,0.0025457183364778757,0.08934919536113739,0.004923808388411999,0.13367021083831787,0.0,0.0,0.0,0.0,0.0,0.0
3,opponent,53.0,7.0,0.0,0.55,0.0,0.0,27.0,210.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07407407407407407,3.0,0.1111111111111111,0.0,0.0,1.0,0.037037037037037035,0.0,0.0,2.0,0.07407407407407407,0.0,0.0,0.04006856679916382,0.05124978348612785,0.0017118705436587334,0.8677460551261902,0.002084417501464486,0.03713931143283844,0.0,0.0,1.0,0.037037037037037035,1.0,0.037037037037037035
3,proponent,48.0,5.0,-0.04166666666666666,0.4916666666666667,0.0,0.0,34.0,265.0,0.0,1.0,0.0,0.029411764705882353,-1.0,2.0,0.058823529411764705,1.0,0.029411764705882353,0.0,0.0,2.0,0.058823529411764705,1.0,0.029411764705882353,2.0,0.058823529411764705,1.0,0.029411764705882353,0.9921032786369324,0.003627374302595854,0.0012033568928018212,0.00144062505569309,0.0008023533737286925,0.0008230410749092698,0.0,0.0,0.0,0.0,0.0,0.0
4,opponent,50.0,10.0,0.0,0.5083333333333333,0.0,0.0,33.0,240.0,0.0,0.0,0.0,0.0,0.0,5.0,0.15151515151515152,2.0,0.06060606060606061,0.0,0.0,1.0,0.030303030303030304,1.0,0.030303030303030304,1.0,0.030303030303030304,0.0,0.0,0.0025085771922022104,0.004493658896535635,0.0004692943184636533,0.982900083065033,0.0004912003059871495,0.009137230925261974,0.0,0.0,0.0,0.0,0.0,0.0
4,proponent,45.0,8.0,0.06,0.5,0.0,0.0,40.0,319.0,0.0,0.0,0.0,0.0,0.0,4.0,0.1,3.0,0.075,1.0,0.025,0.0,0.0,1.0,0.025,1.0,0.025,0.0,0.0,0.06927850842475891,0.030522648245096207,0.0021378532983362675,0.8745146989822388,0.0013717033434659243,0.022174576297402382,0.0,0.0,0.0,0.0,0.0,0.0
5,opponent,52.0,13.0,-0.09999999999999999,0.4666666666666666,0.0,0.0,31.0,256.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06451612903225806,2.0,0.06451612903225806,0.0,0.0,1.0,0.03225806451612903,2.0,0.06451612903225806,3.0,0.0967741935483871,0.0,0.0,0.12179416418075562,0.45009535551071167,0.005244567524641752,0.3850354552268982,0.002132025547325611,0.03569842129945755,0.0,0.0,0.0,0.0,1.0,0.03225806451612903
5,proponent,42.0,11.0,0.1,0.35,0.0,0.0,48.0,339.0,0.0,0.0,0.0,0.0,0.0,2.0,0.041666666666666664,3.0,0.0625,0.0,0.0,1.0,0.020833333333333332,4.0,0.08333333333333333,4.0,0.08333333333333333,1.0,0.020833333333333332,0.947984516620636,0.03540603071451187,0.0017665716586634517,0.010830741375684738,0.0011061177356168628,0.002906044712290168,0.0,0.0,1.0,0.020833333333333332,1.0,0.020833333333333332
