round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_surprise_count,nrc_surprise_density,nrc_positive_count,nrc_positive_density,emotion_joy,emotion_fear,emotion_anger,emotion_sadness,emotion_surprise,emotion_love,nrc_trust_count,nrc_trust_density,nrc_joy_count,nrc_joy_density,nrc_anticipation_count,nrc_anticipation_density,nrc_negative_count,nrc_negative_density,nrc_fear_count,nrc_fear_density
1,opponent,70.0,1.0,0.09375,0.56875,0.0,0.0,55.0,357.0,1.0,1.0,0.01818181818181818,0.01818181818181818,0.0,1.0,0.01818181818181818,5.0,0.09090909090909091,0.9908831715583801,0.0009673346648924053,0.0010944765526801348,0.005386354401707649,0.0006855242536403239,0.000982965691946447,2.0,0.03636363636363636,1.0,0.01818181818181818,1.0,0.01818181818181818,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,0.0,0.0,0.0,0.0,13.0,87.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,1.0,0.07692307692307693,0.4981943964958191,0.37144216895103455,0.060005463659763336,0.0519859716296196,0.01065994706004858,0.007712080609053373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,72.0,4.0,0.0,0.6333333333333333,0.0,0.0,55.0,354.0,1.0,1.0,0.01818181818181818,0.01818181818181818,0.0,1.0,0.01818181818181818,5.0,0.09090909090909091,0.9843254089355469,0.0028339093551039696,0.001806449145078659,0.007270103320479393,0.0019252423662692308,0.0018389837350696325,2.0,0.03636363636363636,0.0,0.0,1.0,0.01818181818181818,2.0,0.03636363636363636,1.0,0.01818181818181818
2,proponent,54.0,2.0,0.0,0.0,0.0,0.0,15.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.004591374192386866,0.7084083557128906,0.28071483969688416,0.0030510015785694122,0.0019350493093952537,0.0012994304997846484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,opponent,74.0,7.0,0.11666666666666665,0.5499999999999999,0.0,0.0,59.0,400.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01694915254237288,5.0,0.0847457627118644,0.12917806208133698,0.1864931881427765,0.07350122928619385,0.6011257171630859,0.005752272438257933,0.0039495304226875305,2.0,0.03389830508474576,2.0,0.03389830508474576,0.0,0.0,2.0,0.03389830508474576,1.0,0.01694915254237288
3,proponent,53.0,5.0,0.0,0.0,0.0,0.0,13.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,0.0021590832620859146,0.01759103685617447,0.9750540256500244,0.004088050220161676,0.0004587546281982213,0.0006489689112640917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,opponent,75.0,10.0,0.0,0.5,0.0,0.0,52.0,368.0,0.0,0.0,0.0,0.0,0.0,1.0,0.019230769230769232,4.0,0.07692307692307693,0.12957601249217987,0.3671939969062805,0.07378983497619629,0.4179525077342987,0.0065024797804653645,0.004985120613127947,1.0,0.019230769230769232,1.0,0.019230769230769232,0.0,0.0,2.0,0.038461538461538464,1.0,0.019230769230769232
4,proponent,51.0,8.0,0.0,0.0,0.0,0.0,13.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,0.0021590832620859146,0.01759103685617447,0.9750540256500244,0.004088050220161676,0.0004587546281982213,0.0006489689112640917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,opponent,77.0,13.0,0.0,0.5,0.0,0.0,52.0,368.0,0.0,0.0,0.0,0.0,0.0,1.0,0.019230769230769232,4.0,0.07692307692307693,0.12957601249217987,0.3671939969062805,0.07378983497619629,0.4179525077342987,0.0065024797804653645,0.004985120613127947,1.0,0.019230769230769232,1.0,0.019230769230769232,0.0,0.0,2.0,0.038461538461538464,1.0,0.019230769230769232
5,proponent,50.0,11.0,0.0,0.0,0.0,0.0,13.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,0.0021590832620859146,0.01759103685617447,0.9750540256500244,0.004088050220161676,0.0004587546281982213,0.0006489689112640917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
