round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_disgust_count,nrc_disgust_density,nrc_surprise_count,nrc_surprise_density,nrc_fear_count,nrc_fear_density,nrc_negative_count,nrc_negative_density,nrc_sadness_count,nrc_sadness_density,nrc_anticipation_count,nrc_anticipation_density,nrc_positive_count,nrc_positive_density,nrc_joy_count,nrc_joy_density,emotion_anger,emotion_fear,emotion_sadness,emotion_joy,emotion_love,emotion_surprise,nrc_trust_count,nrc_trust_density
1,opponent,70.0,1.0,0.0,0.06666666666666667,0.0,0.0,15.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,1.0,0.06666666666666667,1.0,0.06666666666666667,1.0,0.06666666666666667,1.0,0.06666666666666667,0.0,0.0,0.28927114605903625,0.1550515592098236,0.3902650475502014,0.14446166157722473,0.014200761914253235,0.006749885622411966,1.0,0.06666666666666667
1,proponent,55.0,0.0,0.0,0.0,0.0,0.0,13.0,89.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,1.0,0.07692307692307693,1.0,0.07692307692307693,2.0,0.15384615384615385,1.0,0.07692307692307693,1.0,0.07692307692307693,1.0,0.07692307692307693,1.0,0.07692307692307693,0.9412290453910828,0.037512075155973434,0.011016592383384705,0.007383860647678375,0.0014515507500618696,0.001406858442351222,0.0,0.0
2,opponent,72.0,4.0,0.016666666666666666,0.06666666666666667,0.0,0.0,18.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05555555555555555,2.0,0.1111111111111111,2.0,0.1111111111111111,1.0,0.05555555555555555,2.0,0.1111111111111111,0.0,0.0,0.1415284276008606,0.15704791247844696,0.648468017578125,0.04074728861451149,0.007780405692756176,0.004427914973348379,0.0,0.0
2,proponent,54.0,2.0,0.03333333333333335,0.35555555555555557,0.0,0.0,15.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.0,0.0,0.05087267607450485,0.0161873921751976,0.04114178195595741,0.8849576115608215,0.003691473277285695,0.0031490731053054333,2.0,0.13333333333333333
3,opponent,72.0,7.0,0.016666666666666666,0.06666666666666667,0.0,0.0,19.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,2.0,0.10526315789473684,2.0,0.10526315789473684,1.0,0.05263157894736842,2.0,0.10526315789473684,0.0,0.0,0.09400045871734619,0.08754605054855347,0.6742944717407227,0.1237594336271286,0.014764712192118168,0.005634932313114405,0.0,0.0
3,proponent,53.0,5.0,0.0,0.06666666666666667,0.0,0.0,17.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,2.0,0.11764705882352941,0.0,0.0,1.0,0.058823529411764705,3.0,0.17647058823529413,0.0,0.0,0.6432228088378906,0.27900779247283936,0.023334041237831116,0.04012998566031456,0.006365176755934954,0.007940158247947693,0.0,0.0
4,opponent,73.0,10.0,0.016666666666666666,0.06666666666666667,0.0,0.0,19.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,2.0,0.10526315789473684,2.0,0.10526315789473684,1.0,0.05263157894736842,2.0,0.10526315789473684,0.0,0.0,0.09400045871734619,0.08754605054855347,0.6742944717407227,0.1237594336271286,0.014764712192118168,0.005634932313114405,0.0,0.0
4,proponent,51.0,8.0,0.03333333333333335,0.35555555555555557,0.0,0.0,15.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.0,0.0,0.05087267607450485,0.0161873921751976,0.04114178195595741,0.8849576115608215,0.003691473277285695,0.0031490731053054333,2.0,0.13333333333333333
5,opponent,74.0,13.0,0.016666666666666666,0.06666666666666667,0.0,0.0,19.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,2.0,0.10526315789473684,2.0,0.10526315789473684,1.0,0.05263157894736842,2.0,0.10526315789473684,0.0,0.0,0.09400045871734619,0.08754605054855347,0.6742944717407227,0.1237594336271286,0.014764712192118168,0.005634932313114405,0.0,0.0
5,proponent,49.0,11.0,-0.16666666666666666,0.2833333333333333,0.0,0.0,15.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,2.0,0.13333333333333333,0.0,0.0,1.0,0.06666666666666667,1.0,0.06666666666666667,0.0,0.0,0.5810078382492065,0.35740959644317627,0.01814226806163788,0.02718798629939556,0.007132315076887608,0.009120029397308826,0.0,0.0
