round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_negative_count,nrc_negative_density,nrc_fear_count,nrc_fear_density,nrc_trust_count,nrc_trust_density,nrc_positive_count,nrc_positive_density,nrc_joy_count,nrc_joy_density,emotion_joy,emotion_fear,emotion_anger,emotion_sadness,emotion_surprise,emotion_love
1,opponent,55.0,1.0,0.0,0.4,0.0,0.0,16.0,107.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0625,1.0,0.0625,2.0,0.125,3.0,0.1875,0.0,0.0,0.9569301009178162,0.021795224398374557,0.005252585746347904,0.011757297441363335,0.002939897356554866,0.0013248110190033913
1,proponent,55.0,0.0,0.125,0.325,0.0,0.0,22.0,147.0,0.0,0.0,0.0,0.0,0.0,1.0,0.045454545454545456,2.0,0.09090909090909091,3.0,0.13636363636363635,2.0,0.09090909090909091,1.0,0.045454545454545456,0.5696739554405212,0.22381478548049927,0.17778241634368896,0.016166703775525093,0.008675016462802887,0.0038871364668011665
2,opponent,56.0,4.0,0.0,0.4,0.0,0.0,17.0,114.0,0.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,1.0,0.058823529411764705,1.0,0.058823529411764705,2.0,0.11764705882352941,0.0,0.0,0.9933096170425415,0.0014405114343389869,0.000928697467315942,0.002812401857227087,0.0008570024510845542,0.0006519127637147903
2,proponent,54.0,2.0,0.125,0.325,0.0,0.0,20.0,138.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.05,2.0,0.1,3.0,0.15,1.0,0.05,0.9292305111885071,0.002854327205568552,0.049792855978012085,0.011193896643817425,0.001437196508049965,0.005491261370480061
3,opponent,56.0,7.0,0.0,0.4,0.0,0.0,17.0,114.0,0.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,1.0,0.058823529411764705,1.0,0.058823529411764705,2.0,0.11764705882352941,0.0,0.0,0.9933096170425415,0.0014405114343389869,0.000928697467315942,0.002812401857227087,0.0008570024510845542,0.0006519127637147903
3,proponent,52.0,5.0,0.125,0.325,0.0,0.0,25.0,172.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,2.0,0.08,3.0,0.12,2.0,0.08,1.0,0.04,0.9430091977119446,0.004192286636680365,0.029346344992518425,0.01686836965382099,0.002477299654856324,0.0041064731776714325
4,opponent,58.0,10.0,0.0,0.4,0.0,0.0,17.0,114.0,0.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,1.0,0.058823529411764705,1.0,0.058823529411764705,2.0,0.11764705882352941,0.0,0.0,0.9933096170425415,0.0014405114343389869,0.000928697467315942,0.002812401857227087,0.0008570024510845542,0.0006519127637147903
4,proponent,51.0,8.0,0.125,0.325,0.0,0.0,25.0,172.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,2.0,0.08,3.0,0.12,2.0,0.08,1.0,0.04,0.9430091977119446,0.004192286636680365,0.029346344992518425,0.01686836965382099,0.002477299654856324,0.0041064731776714325
5,opponent,58.0,13.0,0.0,0.4,0.0,0.0,17.0,114.0,0.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,1.0,0.058823529411764705,1.0,0.058823529411764705,2.0,0.11764705882352941,0.0,0.0,0.9933096170425415,0.0014405114343389869,0.000928697467315942,0.002812401857227087,0.0008570024510845542,0.0006519127637147903
5,proponent,44.0,11.0,0.125,0.325,0.0,0.0,25.0,172.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,2.0,0.08,3.0,0.12,2.0,0.08,1.0,0.04,0.9430091977119446,0.004192286636680365,0.029346344992518425,0.01686836965382099,0.002477299654856324,0.0041064731776714325
