round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_negative_count,nrc_negative_density,nrc_anger_count,nrc_anger_density,nrc_fear_count,nrc_fear_density,nrc_positive_count,nrc_positive_density,nrc_disgust_count,nrc_disgust_density,nrc_joy_count,nrc_joy_density,nrc_anticipation_count,nrc_anticipation_density,nrc_trust_count,nrc_trust_density,emotion_anger,emotion_fear,emotion_joy,emotion_sadness,emotion_surprise,emotion_love,nrc_sadness_count,nrc_sadness_density,nrc_surprise_count,nrc_surprise_density
1,opponent,55.0,1.0,0.09999999999999999,0.4083333333333334,0.0,0.0,26.0,195.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07692307692307693,2.0,0.07692307692307693,2.0,0.07692307692307693,3.0,0.11538461538461539,1.0,0.038461538461538464,1.0,0.038461538461538464,1.0,0.038461538461538464,1.0,0.038461538461538464,0.05504724755883217,0.08545973151922226,0.8361188173294067,0.01459856890141964,0.003553363960236311,0.00522230239585042,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,0.0875,0.6875,0.0,0.0,19.0,132.0,0.0,0.0,0.0,0.0,0.0,3.0,0.15789473684210525,2.0,0.10526315789473684,2.0,0.10526315789473684,1.0,0.05263157894736842,1.0,0.05263157894736842,1.0,0.05263157894736842,1.0,0.05263157894736842,1.0,0.05263157894736842,0.4507836699485779,0.3456276059150696,0.17427408695220947,0.017706289887428284,0.005855841562151909,0.005752442870289087,0.0,0.0,0.0,0.0
2,opponent,57.0,4.0,0.2,0.3,0.0,0.0,27.0,194.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07407407407407407,1.0,0.037037037037037035,1.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.037037037037037035,0.09665767848491669,0.7608808875083923,0.10979633033275604,0.020335929468274117,0.008032985031604767,0.004296189174056053,0.0,0.0,0.0,0.0
2,proponent,70.0,2.0,0.3,1.0,0.0,0.0,21.0,148.0,0.0,1.0,0.0,0.047619047619047616,-1.0,1.0,0.047619047619047616,1.0,0.047619047619047616,2.0,0.09523809523809523,2.0,0.09523809523809523,1.0,0.047619047619047616,1.0,0.047619047619047616,1.0,0.047619047619047616,2.0,0.09523809523809523,0.23241740465164185,0.6943510174751282,0.011185046285390854,0.0548669658601284,0.0036595012061297894,0.0035201050341129303,1.0,0.047619047619047616,0.0,0.0
3,opponent,65.0,7.0,0.125,0.585,0.0,0.0,41.0,289.0,0.0,0.0,0.0,0.0,0.0,1.0,0.024390243902439025,2.0,0.04878048780487805,3.0,0.07317073170731707,4.0,0.0975609756097561,1.0,0.024390243902439025,1.0,0.024390243902439025,1.0,0.024390243902439025,2.0,0.04878048780487805,0.16446803510189056,0.16399024426937103,0.6262754201889038,0.033036649227142334,0.006505582947283983,0.005724058020859957,0.0,0.0,0.0,0.0
3,proponent,65.0,5.0,0.05555555555555555,0.4444444444444444,0.0,0.0,40.0,301.0,0.0,0.0,0.0,0.0,0.0,1.0,0.025,0.0,0.0,1.0,0.025,6.0,0.15,0.0,0.0,1.0,0.025,2.0,0.05,4.0,0.1,0.025918297469615936,0.9613928198814392,0.0019636619836091995,0.006895623169839382,0.0030686359386891127,0.0007610469474457204,0.0,0.0,1.0,0.025
4,opponent,66.0,10.0,-0.019999999999999997,0.195,0.0,0.0,48.0,347.0,0.0,1.0,0.0,0.020833333333333332,-1.0,3.0,0.0625,2.0,0.041666666666666664,1.0,0.020833333333333332,2.0,0.041666666666666664,0.0,0.0,0.0,0.0,1.0,0.020833333333333332,0.0,0.0,0.06110141798853874,0.7696534991264343,0.1078001856803894,0.04360833764076233,0.010839278809726238,0.0069973827339708805,1.0,0.020833333333333332,0.0,0.0
4,proponent,64.0,8.0,0.08333333333333333,0.6666666666666666,0.0,0.0,19.0,139.0,0.0,1.0,0.0,0.05263157894736842,-1.0,3.0,0.15789473684210525,2.0,0.10526315789473684,3.0,0.15789473684210525,2.0,0.10526315789473684,1.0,0.05263157894736842,1.0,0.05263157894736842,2.0,0.10526315789473684,4.0,0.21052631578947367,0.043203748762607574,0.9265906810760498,0.011307216249406338,0.014582878910005093,0.0026426133699715137,0.0016728275222703815,2.0,0.10526315789473684,0.0,0.0
5,opponent,68.0,13.0,-0.016666666666666663,0.225,0.0,0.0,24.0,165.0,0.0,1.0,0.0,0.041666666666666664,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.08333333333333333,0.0023823075462132692,0.0041342368349432945,0.9854602217674255,0.005212681367993355,0.0012156703742220998,0.0015949372900649905,0.0,0.0,0.0,0.0
5,proponent,62.0,11.0,0.0875,0.6875,0.0,0.0,19.0,135.0,0.0,0.0,0.0,0.0,0.0,3.0,0.15789473684210525,2.0,0.10526315789473684,2.0,0.10526315789473684,1.0,0.05263157894736842,1.0,0.05263157894736842,1.0,0.05263157894736842,1.0,0.05263157894736842,1.0,0.05263157894736842,0.33236995339393616,0.5848653316497803,0.051441971212625504,0.0233310516923666,0.004337253049015999,0.0036544795148074627,0.0,0.0,0.0,0.0
