round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_fear_count,nrc_fear_density,nrc_trust_count,nrc_trust_density,nrc_disgust_count,nrc_disgust_density,nrc_surprise_count,nrc_surprise_density,nrc_anticipation_count,nrc_anticipation_density,nrc_positive_count,nrc_positive_density,emotion_joy,emotion_fear,emotion_sadness,emotion_anger,emotion_love,emotion_surprise,nrc_negative_count,nrc_negative_density,nrc_anger_count,nrc_anger_density
1,opponent,55.0,1.0,0.0,0.2916666666666667,0.0,0.0,34.0,228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029411764705882353,1.0,0.029411764705882353,0.8567206859588623,0.05417303368449211,0.05343015491962433,0.028149109333753586,0.003934874199330807,0.003592157270759344,0.0,0.0,0.0,0.0
1,proponent,60.0,0.0,0.0,0.4166666666666667,0.0,0.0,20.0,132.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.05,1.0,0.05,1.0,0.05,1.0,0.05,1.0,0.05,0.912462592124939,0.03404965624213219,0.027642246335744858,0.01978074014186859,0.0034978778567165136,0.0025669715832918882,0.0,0.0,0.0,0.0
2,opponent,57.0,4.0,-0.05555555555555555,0.4777777777777778,0.0,0.0,20.0,150.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.037265945225954056,0.8389135003089905,0.021765083074569702,0.09201813489198685,0.005579938180744648,0.004457384347915649,3.0,0.15,1.0,0.05
2,proponent,65.0,2.0,-0.08333333333333333,0.21666666666666667,0.0,0.0,17.0,130.0,0.0,0.0,0.0,0.0,0.0,2.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,0.012867774814367294,0.8795474171638489,0.010687841102480888,0.0887669026851654,0.0045888181775808334,0.0035412393044680357,3.0,0.17647058823529413,1.0,0.058823529411764705
3,opponent,60.0,7.0,-0.041666666666666664,0.5083333333333333,0.0,0.0,20.0,151.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020071525126695633,0.9136701226234436,0.013573863543570042,0.04577479884028435,0.0035354793071746826,0.0033742308150976896,2.0,0.1,1.0,0.05
3,proponent,63.0,5.0,0.0,0.45,0.0,0.0,23.0,163.0,0.0,0.0,0.0,0.0,0.0,1.0,0.043478260869565216,1.0,0.043478260869565216,1.0,0.043478260869565216,1.0,0.043478260869565216,0.0,0.0,4.0,0.17391304347826086,0.782617449760437,0.03224589303135872,0.08720684051513672,0.08598922938108444,0.008455004543066025,0.003485603490844369,1.0,0.043478260869565216,0.0,0.0
4,opponent,63.0,10.0,-0.041666666666666664,0.5083333333333333,0.0,0.0,20.0,151.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020071525126695633,0.9136701226234436,0.013573863543570042,0.04577479884028435,0.0035354793071746826,0.0033742308150976896,2.0,0.1,1.0,0.05
4,proponent,61.0,8.0,0.0,0.45,0.0,0.0,23.0,163.0,0.0,0.0,0.0,0.0,0.0,1.0,0.043478260869565216,1.0,0.043478260869565216,1.0,0.043478260869565216,1.0,0.043478260869565216,0.0,0.0,4.0,0.17391304347826086,0.782617449760437,0.03224589303135872,0.08720684051513672,0.08598922938108444,0.008455004543066025,0.003485603490844369,1.0,0.043478260869565216,0.0,0.0
5,opponent,64.0,13.0,-0.05555555555555555,0.3444444444444444,0.0,0.0,28.0,210.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16078758239746094,0.6294633150100708,0.06543853133916855,0.12462881207466125,0.008928892202675343,0.010752832517027855,2.0,0.07142857142857142,1.0,0.03571428571428571
5,proponent,59.0,11.0,0.036458333333333336,0.3333333333333333,0.0,0.0,32.0,213.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0625,0.3657287061214447,0.5542915463447571,0.02206924743950367,0.03090018779039383,0.006888142321258783,0.02012213133275509,3.0,0.09375,1.0,0.03125
