round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_fear_count,nrc_fear_density,nrc_trust_count,nrc_trust_density,nrc_disgust_count,nrc_disgust_density,nrc_surprise_count,nrc_surprise_density,nrc_anticipation_count,nrc_anticipation_density,nrc_positive_count,nrc_positive_density,emotion_joy,emotion_fear,emotion_anger,emotion_sadness,emotion_surprise,emotion_love,nrc_negative_count,nrc_negative_density
1,opponent,55.0,1.0,0.0,0.5833333333333334,0.0,0.0,22.0,153.0,0.0,0.0,0.0,0.0,0.0,1.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.045454545454545456,1.0,0.045454545454545456,0.9414273500442505,0.020113280043005943,0.014441723935306072,0.019778849557042122,0.001677368301898241,0.002561453962698579,0.0,0.0
1,proponent,55.0,0.0,0.0625,0.4375,0.0,0.0,27.0,173.0,0.0,0.0,0.0,0.0,0.0,1.0,0.037037037037037035,1.0,0.037037037037037035,1.0,0.037037037037037035,1.0,0.037037037037037035,1.0,0.037037037037037035,1.0,0.037037037037037035,0.46976974606513977,0.37408170104026794,0.05929459258913994,0.046633195132017136,0.04351348429918289,0.00670720636844635,0.0,0.0
2,opponent,56.0,4.0,-0.041666666666666664,0.3958333333333333,0.0,0.0,21.0,135.0,0.0,1.0,0.0,0.047619047619047616,-1.0,1.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.047619047619047616,0.022421501576900482,0.801347553730011,0.15556864440441132,0.01067204587161541,0.005946723744273186,0.004043490160256624,1.0,0.047619047619047616
2,proponent,53.0,2.0,0.020833333333333336,0.3333333333333333,0.0,0.0,16.0,114.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0625,0.023974565789103508,0.8562729358673096,0.10054469108581543,0.012633307836949825,0.0026794099248945713,0.003895127447322011,1.0,0.0625
3,opponent,58.0,7.0,-0.041666666666666664,0.3958333333333333,0.0,0.0,21.0,136.0,0.0,1.0,0.0,0.047619047619047616,-1.0,1.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.047619047619047616,0.02141655795276165,0.8645403385162354,0.09481598436832428,0.01037157978862524,0.005396761931478977,0.0034587958361953497,1.0,0.047619047619047616
3,proponent,50.0,5.0,0.0,0.0,0.0,0.0,15.0,112.0,0.0,1.0,0.0,0.06666666666666667,-1.0,2.0,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,2.0,0.13333333333333333,0.0,0.0,0.002432797336950898,0.9722817540168762,0.01696573570370674,0.004954972770065069,0.0019454500870779157,0.0014192243106663227,1.0,0.06666666666666667
4,opponent,60.0,10.0,-0.041666666666666664,0.3958333333333333,0.0,0.0,21.0,136.0,0.0,1.0,0.0,0.047619047619047616,-1.0,1.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.047619047619047616,0.02141655795276165,0.8645403385162354,0.09481598436832428,0.01037157978862524,0.005396761931478977,0.0034587958361953497,1.0,0.047619047619047616
4,proponent,47.0,8.0,0.0,0.5,0.0,0.0,21.0,162.0,0.0,0.0,0.0,0.0,0.0,3.0,0.14285714285714285,0.0,0.0,0.0,0.0,1.0,0.047619047619047616,2.0,0.09523809523809523,1.0,0.047619047619047616,0.0032818384934216738,0.9592196345329285,0.028878971934318542,0.00494812335819006,0.0019529812270775437,0.001718477695249021,2.0,0.09523809523809523
5,opponent,62.0,13.0,-0.041666666666666664,0.3958333333333333,0.0,0.0,21.0,136.0,0.0,1.0,0.0,0.047619047619047616,-1.0,1.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.047619047619047616,0.02141655795276165,0.8645403385162354,0.09481598436832428,0.01037157978862524,0.005396761931478977,0.0034587958361953497,1.0,0.047619047619047616
5,proponent,44.0,11.0,0.0,0.5,0.0,0.0,21.0,162.0,0.0,0.0,0.0,0.0,0.0,3.0,0.14285714285714285,0.0,0.0,0.0,0.0,1.0,0.047619047619047616,2.0,0.09523809523809523,1.0,0.047619047619047616,0.0032818384934216738,0.9592196345329285,0.028878971934318542,0.00494812335819006,0.0019529812270775437,0.001718477695249021,2.0,0.09523809523809523
