round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_negative_count,nrc_negative_density,nrc_fear_count,nrc_fear_density,nrc_positive_count,nrc_positive_density,nrc_surprise_count,nrc_surprise_density,nrc_joy_count,nrc_joy_density,nrc_anticipation_count,nrc_anticipation_density,nrc_trust_count,nrc_trust_density,nrc_anger_count,nrc_anger_density,emotion_anger,emotion_joy,emotion_fear,emotion_sadness,emotion_love,emotion_surprise,nrc_sadness_count,nrc_sadness_density
1,opponent,55.0,1.0,0.25,0.25,0.0,0.0,31.0,171.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0967741935483871,4.0,0.12903225806451613,2.0,0.06451612903225806,1.0,0.03225806451612903,1.0,0.03225806451612903,1.0,0.03225806451612903,2.0,0.06451612903225806,1.0,0.03225806451612903,0.15752577781677246,0.5669389367103577,0.1838240921497345,0.03661654517054558,0.006315583363175392,0.04877909645438194,0.0,0.0
1,proponent,55.0,0.0,0.0,0.0,0.0,0.0,22.0,125.0,0.0,0.0,0.0,0.0,0.0,3.0,0.13636363636363635,4.0,0.18181818181818182,2.0,0.09090909090909091,1.0,0.045454545454545456,1.0,0.045454545454545456,2.0,0.09090909090909091,1.0,0.045454545454545456,1.0,0.045454545454545456,0.6160608530044556,0.23821499943733215,0.07200049608945847,0.05098653957247734,0.014271142892539501,0.008465893566608429,0.0,0.0
2,opponent,56.0,4.0,0.05,0.3,0.0,0.0,32.0,184.0,0.0,0.0,0.0,0.0,0.0,3.0,0.09375,3.0,0.09375,3.0,0.09375,0.0,0.0,1.0,0.03125,1.0,0.03125,4.0,0.125,1.0,0.03125,0.013261174783110619,0.8545882105827332,0.046746473759412766,0.07351342588663101,0.004093603231012821,0.007797118276357651,0.0,0.0
2,proponent,53.0,2.0,0.0,1.0,0.0,0.0,23.0,153.0,0.0,0.0,0.0,0.0,0.0,5.0,0.21739130434782608,4.0,0.17391304347826086,0.0,0.0,1.0,0.043478260869565216,0.0,0.0,0.0,0.0,1.0,0.043478260869565216,2.0,0.08695652173913043,0.0023098683450371027,0.0016375718405470252,0.9880815744400024,0.0011302231578156352,0.0006031343364156783,0.0062376051209867,1.0,0.043478260869565216
3,opponent,58.0,7.0,0.05,0.3,0.0,0.0,32.0,184.0,0.0,0.0,0.0,0.0,0.0,3.0,0.09375,3.0,0.09375,3.0,0.09375,0.0,0.0,1.0,0.03125,1.0,0.03125,4.0,0.125,1.0,0.03125,0.013261174783110619,0.8545882105827332,0.046746473759412766,0.07351342588663101,0.004093603231012821,0.007797118276357651,0.0,0.0
3,proponent,54.0,5.0,0.0,1.0,0.0,0.0,22.0,148.0,0.0,0.0,0.0,0.0,0.0,4.0,0.18181818181818182,4.0,0.18181818181818182,1.0,0.045454545454545456,1.0,0.045454545454545456,1.0,0.045454545454545456,0.0,0.0,2.0,0.09090909090909091,1.0,0.045454545454545456,0.00457261735573411,0.000912155956029892,0.9898414015769958,0.0021656749304383993,0.0005282404599711299,0.0019799245055764914,0.0,0.0
4,opponent,60.0,10.0,0.05,0.3,0.0,0.0,32.0,184.0,0.0,0.0,0.0,0.0,0.0,3.0,0.09375,3.0,0.09375,3.0,0.09375,0.0,0.0,1.0,0.03125,1.0,0.03125,4.0,0.125,1.0,0.03125,0.013261174783110619,0.8545882105827332,0.046746473759412766,0.07351342588663101,0.004093603231012821,0.007797118276357651,0.0,0.0
4,proponent,56.0,8.0,0.0,1.0,0.0,0.0,22.0,148.0,0.0,0.0,0.0,0.0,0.0,4.0,0.18181818181818182,4.0,0.18181818181818182,1.0,0.045454545454545456,1.0,0.045454545454545456,1.0,0.045454545454545456,0.0,0.0,2.0,0.09090909090909091,1.0,0.045454545454545456,0.00457261735573411,0.000912155956029892,0.9898414015769958,0.0021656749304383993,0.0005282404599711299,0.0019799245055764914,0.0,0.0
5,opponent,61.0,13.0,0.0,0.5,0.0,0.0,22.0,134.0,0.0,0.0,0.0,0.0,0.0,1.0,0.045454545454545456,1.0,0.045454545454545456,2.0,0.09090909090909091,0.0,0.0,1.0,0.045454545454545456,1.0,0.045454545454545456,4.0,0.18181818181818182,0.0,0.0,0.008683201856911182,0.9358534216880798,0.01833803951740265,0.031167583540081978,0.0018446173053234816,0.0041131372563540936,0.0,0.0
5,proponent,54.0,11.0,0.11666666666666665,0.2833333333333333,0.0,0.0,17.0,119.0,0.0,0.0,0.0,0.0,0.0,3.0,0.17647058823529413,2.0,0.11764705882352941,2.0,0.11764705882352941,1.0,0.058823529411764705,1.0,0.058823529411764705,0.0,0.0,1.0,0.058823529411764705,1.0,0.058823529411764705,0.8089118599891663,0.012200419791042805,0.1577702909708023,0.017894545570015907,0.00165868503972888,0.001564198057167232,0.0,0.0
