round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_positive_count,nrc_positive_density,nrc_anticipation_count,nrc_anticipation_density,nrc_negative_count,nrc_negative_density,nrc_trust_count,nrc_trust_density,nrc_joy_count,nrc_joy_density,nrc_anger_count,nrc_anger_density,nrc_fear_count,nrc_fear_density,emotion_fear,emotion_anger,emotion_joy,emotion_sadness,emotion_love,emotion_surprise,nrc_sadness_count,nrc_sadness_density,nrc_disgust_count,nrc_disgust_density
1,opponent,55.0,1.0,-0.125,0.125,0.0,0.0,29.0,200.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06896551724137931,0.0,0.0,1.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.034482758620689655,0.014690383337438107,0.38783249258995056,0.11409888416528702,0.47549885511398315,0.004533984698355198,0.0033453141804784536,1.0,0.034482758620689655,0.0,0.0
1,proponent,55.0,0.0,0.0,0.35555555555555557,0.0,0.0,23.0,147.0,0.0,0.0,0.0,0.0,0.0,5.0,0.21739130434782608,1.0,0.043478260869565216,2.0,0.08695652173913043,1.0,0.043478260869565216,1.0,0.043478260869565216,1.0,0.043478260869565216,1.0,0.043478260869565216,0.6964295506477356,0.2750700116157532,0.013389292173087597,0.010282372124493122,0.002604072680696845,0.002224693540483713,0.0,0.0,0.0,0.0
2,opponent,56.0,4.0,0.0,0.041666666666666664,0.0,0.0,31.0,221.0,0.0,0.0,0.0,0.0,0.0,4.0,0.12903225806451613,0.0,0.0,2.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03225806451612903,0.06855800747871399,0.26585710048675537,0.40740257501602173,0.23760657012462616,0.012029788456857204,0.008545886725187302,1.0,0.03225806451612903,0.0,0.0
2,proponent,53.0,2.0,-0.4,0.7,0.0,0.0,24.0,160.0,0.0,0.0,0.0,0.0,0.0,1.0,0.041666666666666664,0.0,0.0,1.0,0.041666666666666664,1.0,0.041666666666666664,0.0,0.0,0.0,0.0,2.0,0.08333333333333333,0.2495996356010437,0.6872210502624512,0.021288195624947548,0.036120012402534485,0.0029435260221362114,0.002827561693266034,1.0,0.041666666666666664,0.0,0.0
3,opponent,57.0,7.0,0.0,0.0625,0.0,0.0,10.0,76.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03792351484298706,0.2016199678182602,0.668240487575531,0.07765679806470871,0.007390259765088558,0.007169009651988745,0.0,0.0,0.0,0.0
3,proponent,51.0,5.0,-0.23333333333333334,0.3666666666666667,0.0,0.0,20.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.21989353001117706,0.7677605748176575,0.0023723512422293425,0.004958882927894592,0.0016642985865473747,0.0033503088634461164,1.0,0.05,0.0,0.0
4,opponent,60.0,10.0,0.0,0.5,0.0,0.0,18.0,126.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05555555555555555,0.0,0.0,3.0,0.16666666666666666,1.0,0.05555555555555555,0.0,0.0,1.0,0.05555555555555555,2.0,0.1111111111111111,0.4054710865020752,0.06682609766721725,0.003767047543078661,0.5172597765922546,0.0018983971094712615,0.00477761123329401,1.0,0.05555555555555555,1.0,0.05555555555555555
4,proponent,49.0,8.0,-0.3,0.4,0.0,0.0,15.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.04246842861175537,0.9350648522377014,0.006630991119891405,0.012662464752793312,0.0014630088116973639,0.0017102512065321207,1.0,0.06666666666666667,0.0,0.0
5,opponent,62.0,13.0,0.0,0.5,0.0,0.0,18.0,126.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05555555555555555,0.0,0.0,3.0,0.16666666666666666,1.0,0.05555555555555555,0.0,0.0,1.0,0.05555555555555555,2.0,0.1111111111111111,0.4054710865020752,0.06682609766721725,0.003767047543078661,0.5172597765922546,0.0018983971094712615,0.00477761123329401,1.0,0.05555555555555555,1.0,0.05555555555555555
5,proponent,46.0,11.0,-0.3,0.4,0.0,0.0,15.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.04246842861175537,0.9350648522377014,0.006630991119891405,0.012662464752793312,0.0014630088116973639,0.0017102512065321207,1.0,0.06666666666666667,0.0,0.0
