round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_positive_count,nrc_positive_density,nrc_trust_count,nrc_trust_density,nrc_anger_count,nrc_anger_density,nrc_negative_count,nrc_negative_density,nrc_anticipation_count,nrc_anticipation_density,emotion_anger,emotion_joy,emotion_fear,emotion_sadness,emotion_surprise,emotion_love,nrc_surprise_count,nrc_surprise_density,nrc_fear_count,nrc_fear_density,nrc_sadness_count,nrc_sadness_density,nrc_disgust_count,nrc_disgust_density,nrc_joy_count,nrc_joy_density
1,opponent,50.0,1.0,0.016666666666666673,0.30000000000000004,0.0,0.0,29.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.10344827586206896,0.0,0.0,1.0,0.034482758620689655,0.0,0.0,0.8673220872879028,0.048386380076408386,0.0386853851377964,0.04109606519341469,0.0020898212678730488,0.002420345088467002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,proponent,50.0,0.0,0.0625,0.20416666666666666,0.0,0.0,34.0,236.0,0.0,0.0,0.0,0.0,0.0,3.0,0.08823529411764706,4.0,0.11764705882352941,1.0,0.029411764705882353,1.0,0.029411764705882353,1.0,0.029411764705882353,0.5462530255317688,0.25948023796081543,0.11917340755462646,0.06452666968107224,0.005856500472873449,0.004710194654762745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,51.0,4.0,0.08333333333333333,0.35000000000000003,0.0,0.0,29.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.034482758620689655,0.0,0.0,0.0006064031040295959,0.9948117733001709,0.0011231726966798306,0.0019278059480711818,0.0011033122427761555,0.00042747423867695034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,proponent,47.0,2.0,-0.275,0.475,0.0,0.0,30.0,237.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03333333333333333,1.0,0.03333333333333333,1.0,0.03333333333333333,2.0,0.06666666666666667,0.0,0.0,0.936996340751648,0.024739177897572517,0.004511361010372639,0.031071320176124573,0.001434527337551117,0.0012471546651795506,1.0,0.03333333333333333,1.0,0.03333333333333333,1.0,0.03333333333333333,1.0,0.03333333333333333,0.0,0.0
3,opponent,52.0,7.0,0.0,0.375,0.0,0.0,27.0,207.0,1.0,0.0,0.037037037037037035,0.0,1.0,1.0,0.037037037037037035,2.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.2837985157966614,0.03327063098549843,0.2766309976577759,0.3999829888343811,0.0028355251997709274,0.003481411375105381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,proponent,41.0,5.0,0.125,0.325,0.0,0.0,28.0,201.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03571428571428571,2.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.06062788888812065,0.7814929485321045,0.042826659977436066,0.10363708436489105,0.00898251123726368,0.0024328483268618584,0.0,0.0,1.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
4,opponent,58.0,10.0,0.0,1.0,0.0,0.0,27.0,223.0,0.0,0.0,0.0,0.0,0.0,1.0,0.037037037037037035,1.0,0.037037037037037035,0.0,0.0,0.0,0.0,1.0,0.037037037037037035,0.1308191418647766,0.06141325831413269,0.7517127990722656,0.04353928938508034,0.009045475162565708,0.0034700564574450254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,proponent,38.0,8.0,0.07261904761904761,0.34880952380952374,0.0,0.0,39.0,263.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07692307692307693,2.0,0.05128205128205128,2.0,0.05128205128205128,4.0,0.10256410256410256,0.0,0.0,0.19192756712436676,0.34380149841308594,0.07103293389081955,0.38357749581336975,0.0050510140135884285,0.004609518218785524,0.0,0.0,2.0,0.05128205128205128,1.0,0.02564102564102564,0.0,0.0,0.0,0.0
5,opponent,62.0,13.0,-0.0625,0.3875,0.0,0.0,35.0,234.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02857142857142857,1.0,0.02857142857142857,0.0,0.0,1.0,0.02857142857142857,1.0,0.02857142857142857,0.0437692254781723,0.6828750371932983,0.04030207172036171,0.2234593629837036,0.003879834432154894,0.005714390892535448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,proponent,36.0,11.0,0.19999999999999998,0.5499999999999999,0.0,0.0,37.0,294.0,0.0,0.0,0.0,0.0,0.0,6.0,0.16216216216216217,3.0,0.08108108108108109,2.0,0.05405405405405406,1.0,0.02702702702702703,1.0,0.02702702702702703,0.08139220625162125,0.7554986476898193,0.01099579967558384,0.14369188249111176,0.00321938656270504,0.005202125757932663,0.0,0.0,2.0,0.05405405405405406,0.0,0.0,0.0,0.0,2.0,0.05405405405405406
