round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_trust_count,nrc_trust_density,nrc_sadness_count,nrc_sadness_density,nrc_anger_count,nrc_anger_density,nrc_fear_count,nrc_fear_density,nrc_negative_count,nrc_negative_density,nrc_positive_count,nrc_positive_density,emotion_fear,emotion_anger,emotion_sadness,emotion_surprise,emotion_joy,emotion_love,nrc_anticipation_count,nrc_anticipation_density,nrc_disgust_count,nrc_disgust_density,nrc_surprise_count,nrc_surprise_density,nrc_joy_count,nrc_joy_density
1,opponent,50.0,1.0,-0.09333333333333335,0.6799999999999999,0.0,0.0,38.0,278.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05263157894736842,1.0,0.02631578947368421,1.0,0.02631578947368421,3.0,0.07894736842105263,2.0,0.05263157894736842,2.0,0.05263157894736842,0.0924946740269661,0.06282053887844086,0.8041464686393738,0.007823887281119823,0.029439283534884453,0.0032751038670539856,1.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,-0.022222222222222216,0.5111111111111112,0.0,0.0,26.0,183.0,1.0,0.0,0.038461538461538464,0.0,1.0,2.0,0.07692307692307693,2.0,0.07692307692307693,2.0,0.07692307692307693,2.0,0.07692307692307693,2.0,0.07692307692307693,1.0,0.038461538461538464,0.7959032654762268,0.1850791722536087,0.010523400269448757,0.0035332844126969576,0.003353940322995186,0.00160687742754817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,49.0,4.0,0.0,0.5857142857142857,0.0,0.0,30.0,236.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03333333333333333,3.0,0.1,0.023791169747710228,0.019368097186088562,0.014507307671010494,0.004453103058040142,0.9361982941627502,0.001681922352872789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,proponent,62.0,2.0,-0.020833333333333336,0.2708333333333333,0.0,0.0,33.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06060606060606061,3.0,0.09090909090909091,2.0,0.06060606060606061,2.0,0.06060606060606061,1.0,0.030303030303030304,0.055806972086429596,0.633963406085968,0.17780350148677826,0.006441150791943073,0.11935410648584366,0.006630884017795324,0.0,0.0,1.0,0.030303030303030304,1.0,0.030303030303030304,0.0,0.0
3,opponent,51.0,7.0,0.09999999999999999,0.9666666666666667,0.0,0.0,36.0,274.0,0.0,0.0,0.0,0.0,0.0,3.0,0.08333333333333333,2.0,0.05555555555555555,0.0,0.0,3.0,0.08333333333333333,4.0,0.1111111111111111,3.0,0.08333333333333333,0.7282761335372925,0.15032783150672913,0.015013220719993114,0.007276353891938925,0.09583724290132523,0.0032692651730030775,1.0,0.027777777777777776,0.0,0.0,0.0,0.0,2.0,0.05555555555555555
3,proponent,61.0,5.0,0.11111111111111112,0.5888888888888889,0.0,0.0,31.0,202.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06451612903225806,1.0,0.03225806451612903,0.0,0.0,0.0,0.0,3.0,0.0967741935483871,1.0,0.03225806451612903,0.858869194984436,0.015674088150262833,0.03243587911128998,0.01244218647480011,0.07719137519598007,0.003387319389730692,1.0,0.03225806451612903,0.0,0.0,0.0,0.0,1.0,0.03225806451612903
4,opponent,49.0,10.0,0.25,0.45,0.0,0.0,35.0,266.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02857142857142857,1.0,0.02857142857142857,1.0,0.02857142857142857,3.0,0.08571428571428572,3.0,0.08571428571428572,0.0,0.0,0.00449858233332634,0.0014617821434512734,0.003730512224137783,0.002496944507583976,0.9870913028717041,0.0007208946044556797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,proponent,71.0,8.0,0.3,0.3666666666666667,0.0,0.0,36.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.027777777777777776,0.0,0.0,2.0,0.05555555555555555,4.0,0.1111111111111111,0.14013302326202393,0.8221102356910706,0.006137236021459103,0.0021365697029978037,0.026148656383156776,0.0033342440146952868,1.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0
5,opponent,58.0,13.0,0.0031249999999999984,0.18125,0.0,0.0,38.0,255.0,0.0,0.0,0.0,0.0,0.0,4.0,0.10526315789473684,2.0,0.05263157894736842,0.0,0.0,3.0,0.07894736842105263,3.0,0.07894736842105263,2.0,0.05263157894736842,0.12078800797462463,0.06762029975652695,0.039933886379003525,0.011188279837369919,0.756902277469635,0.003567277453839779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,proponent,59.0,11.0,0.1,0.4,0.0,0.0,27.0,176.0,0.0,0.0,0.0,0.0,0.0,1.0,0.037037037037037035,1.0,0.037037037037037035,1.0,0.037037037037037035,1.0,0.037037037037037035,2.0,0.07407407407407407,0.0,0.0,0.008134894073009491,0.9669274091720581,0.017309503629803658,0.000593546952586621,0.006119657773524523,0.0009149294928647578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
