round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_anticipation_count,nrc_anticipation_density,nrc_positive_count,nrc_positive_density,nrc_negative_count,nrc_negative_density,emotion_joy,emotion_anger,emotion_sadness,emotion_fear,emotion_surprise,emotion_love,nrc_fear_count,nrc_fear_density,nrc_trust_count,nrc_trust_density,nrc_sadness_count,nrc_sadness_density,nrc_anger_count,nrc_anger_density,nrc_disgust_count,nrc_disgust_density,nrc_surprise_count,nrc_surprise_density,nrc_joy_count,nrc_joy_density
1,opponent,55.0,1.0,0.05,0.1,0.0,0.0,38.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.15789473684210525,3.0,0.07894736842105263,0.33708804845809937,0.15062479674816132,0.09817477315664291,0.3781448006629944,0.03142658993601799,0.004541018512099981,2.0,0.05263157894736842,1.0,0.02631578947368421,1.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,-0.16666666666666666,0.2833333333333333,0.0,0.0,30.0,204.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06666666666666667,3.0,0.1,1.0,0.03333333333333333,0.6481701135635376,0.1427791267633438,0.12453808635473251,0.07349925488233566,0.005829568486660719,0.005183907225728035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,54.0,4.0,-0.11428571428571428,0.5219047619047619,0.0,0.0,43.0,287.0,0.0,0.0,0.0,0.0,0.0,2.0,0.046511627906976744,3.0,0.06976744186046512,4.0,0.09302325581395349,0.04850907251238823,0.11173225939273834,0.05959228053689003,0.743569016456604,0.023409008979797363,0.013188310898840427,2.0,0.046511627906976744,1.0,0.023255813953488372,2.0,0.046511627906976744,1.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0
2,proponent,50.0,2.0,0.0,0.375,0.0,0.0,34.0,260.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029411764705882353,4.0,0.11764705882352941,2.0,0.058823529411764705,0.3321092128753662,0.5607355833053589,0.08393780887126923,0.015479725785553455,0.003248254768550396,0.004489432089030743,1.0,0.029411764705882353,1.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,opponent,53.0,7.0,0.0,0.50625,0.0,0.0,35.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.11428571428571428,1.0,0.02857142857142857,0.7342058420181274,0.03139764815568924,0.13286861777305603,0.08849263191223145,0.008611345663666725,0.004423981998115778,1.0,0.02857142857142857,2.0,0.05714285714285714,0.0,0.0,1.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
3,proponent,52.0,5.0,0.0,0.47460317460317464,0.0,0.0,49.0,355.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02040816326530612,6.0,0.12244897959183673,2.0,0.04081632653061224,0.5521496534347534,0.3080039322376251,0.07829345017671585,0.05283913016319275,0.0036507844924926758,0.005062965676188469,1.0,0.02040816326530612,3.0,0.061224489795918366,1.0,0.02040816326530612,1.0,0.02040816326530612,1.0,0.02040816326530612,1.0,0.02040816326530612,1.0,0.02040816326530612
4,opponent,54.0,10.0,0.0,0.4666666666666666,0.0,0.0,30.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06666666666666667,1.0,0.03333333333333333,0.04842106252908707,0.10299032181501389,0.8392753005027771,0.006272392813116312,0.0016696640523150563,0.0013712863437831402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,proponent,51.0,8.0,0.03571428571428571,0.15476190476190474,0.0,0.0,46.0,343.0,0.0,0.0,0.0,0.0,0.0,2.0,0.043478260869565216,3.0,0.06521739130434782,2.0,0.043478260869565216,0.020052991807460785,0.02776009403169155,0.9302181005477905,0.01852468028664589,0.001976401312276721,0.001467686495743692,1.0,0.021739130434782608,0.0,0.0,1.0,0.021739130434782608,0.0,0.0,1.0,0.021739130434782608,0.0,0.0,0.0,0.0
5,opponent,55.0,13.0,0.0,0.4666666666666666,0.0,0.0,22.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.045454545454545456,1.0,0.045454545454545456,0.6800540089607239,0.041378751397132874,0.21133768558502197,0.045768581330776215,0.012687374837696552,0.00877365656197071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,proponent,52.0,11.0,0.16,0.45833333333333337,0.0,0.0,43.0,344.0,0.0,0.0,0.0,0.0,0.0,3.0,0.06976744186046512,4.0,0.09302325581395349,3.0,0.06976744186046512,0.8606269359588623,0.015479320660233498,0.10726283490657806,0.010127701796591282,0.0027196204755455256,0.0037837347481399775,2.0,0.046511627906976744,2.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.023255813953488372
