round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_fear_count,nrc_fear_density,nrc_positive_count,nrc_positive_density,nrc_trust_count,nrc_trust_density,nrc_joy_count,nrc_joy_density,emotion_joy,emotion_sadness,emotion_love,emotion_anger,emotion_fear,emotion_surprise,nrc_negative_count,nrc_negative_density,nrc_sadness_count,nrc_sadness_density,nrc_surprise_count,nrc_surprise_density,nrc_anger_count,nrc_anger_density,nrc_anticipation_count,nrc_anticipation_density,nrc_disgust_count,nrc_disgust_density
1,opponent,55.0,1.0,-0.03333333333333333,0.13333333333333333,0.0,0.0,33.0,254.0,0.0,0.0,0.0,0.0,0.0,1.0,0.030303030303030304,3.0,0.09090909090909091,1.0,0.030303030303030304,0.0,0.0,0.7391774654388428,0.06744067370891571,0.005086584948003292,0.15808068215847015,0.024150315672159195,0.0060642496682703495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,0.13333333333333333,0.3333333333333333,0.0,0.0,27.0,227.0,0.0,0.0,0.0,0.0,0.0,1.0,0.037037037037037035,4.0,0.14814814814814814,2.0,0.07407407407407407,1.0,0.037037037037037035,0.9961125254631042,0.0017480965470895171,0.0006959309102967381,0.0006017351988703012,0.0004243738658260554,0.0004173644701950252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,56.0,4.0,0.0,0.3333333333333333,0.0,0.0,33.0,230.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06060606060606061,1.0,0.030303030303030304,1.0,0.030303030303030304,0.0,0.0,0.9810712933540344,0.011957752518355846,0.001440405030734837,0.0035447822883725166,0.0014730424154549837,0.0005127500044181943,1.0,0.030303030303030304,1.0,0.030303030303030304,1.0,0.030303030303030304,1.0,0.030303030303030304,0.0,0.0,0.0,0.0
2,proponent,53.0,2.0,0.09999999999999999,0.19444444444444442,0.0,0.0,29.0,223.0,0.0,1.0,0.0,0.034482758620689655,-1.0,0.0,0.0,1.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.9851834177970886,0.006968482863157988,0.001566994353197515,0.004190700128674507,0.001372438040561974,0.000717874732799828,1.0,0.034482758620689655,1.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,opponent,57.0,7.0,0.0,0.3333333333333333,0.0,0.0,33.0,230.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06060606060606061,1.0,0.030303030303030304,1.0,0.030303030303030304,0.0,0.0,0.9810712933540344,0.011957752518355846,0.001440405030734837,0.0035447822883725166,0.0014730424154549837,0.0005127500044181943,1.0,0.030303030303030304,1.0,0.030303030303030304,1.0,0.030303030303030304,1.0,0.030303030303030304,0.0,0.0,0.0,0.0
3,proponent,51.0,5.0,0.09,0.09,0.0,0.0,35.0,261.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.2364567220211029,0.5019702911376953,0.006613312289118767,0.1289527863264084,0.1228533685207367,0.0031535278540104628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,opponent,58.0,10.0,0.0,0.3333333333333333,0.0,0.0,33.0,230.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06060606060606061,1.0,0.030303030303030304,1.0,0.030303030303030304,0.0,0.0,0.9810712933540344,0.011957752518355846,0.001440405030734837,0.0035447822883725166,0.0014730424154549837,0.0005127500044181943,1.0,0.030303030303030304,1.0,0.030303030303030304,1.0,0.030303030303030304,1.0,0.030303030303030304,0.0,0.0,0.0,0.0
4,proponent,49.0,8.0,0.05833333333333333,0.4583333333333333,0.0,0.0,30.0,227.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06666666666666667,3.0,0.1,3.0,0.1,1.0,0.03333333333333333,0.00826706737279892,0.08375963568687439,0.001187801011838019,0.8710454702377319,0.03469263017177582,0.0010472505819052458,3.0,0.1,0.0,0.0,0.0,0.0,1.0,0.03333333333333333,3.0,0.1,2.0,0.06666666666666667
5,opponent,60.0,13.0,0.0,0.3333333333333333,0.0,0.0,33.0,230.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06060606060606061,1.0,0.030303030303030304,1.0,0.030303030303030304,0.0,0.0,0.9810712933540344,0.011957752518355846,0.001440405030734837,0.0035447822883725166,0.0014730424154549837,0.0005127500044181943,1.0,0.030303030303030304,1.0,0.030303030303030304,1.0,0.030303030303030304,1.0,0.030303030303030304,0.0,0.0,0.0,0.0
5,proponent,65.0,11.0,0.04444444444444443,0.4222222222222222,0.0,0.0,40.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,2.0,0.05,1.0,0.025,0.04369274526834488,0.1649579256772995,0.003688773140311241,0.7004355788230896,0.08529960364103317,0.001925398944877088,1.0,0.025,0.0,0.0,1.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0
