round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_negative_count,nrc_negative_density,nrc_fear_count,nrc_fear_density,nrc_positive_count,nrc_positive_density,emotion_joy,emotion_fear,emotion_anger,emotion_sadness,emotion_love,emotion_surprise,nrc_trust_count,nrc_trust_density,nrc_joy_count,nrc_joy_density,nrc_anticipation_count,nrc_anticipation_density,nrc_anger_count,nrc_anger_density,nrc_disgust_count,nrc_disgust_density
1,opponent,50.0,1.0,0.2,0.3833333333333333,0.0,0.0,26.0,188.0,0.0,0.0,0.0,0.0,0.0,1.0,0.038461538461538464,1.0,0.038461538461538464,4.0,0.15384615384615385,0.5704678893089294,0.16549314558506012,0.18755894899368286,0.06870240718126297,0.0025495924055576324,0.005228111986070871,1.0,0.038461538461538464,1.0,0.038461538461538464,1.0,0.038461538461538464,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,0.1777777777777778,0.32222222222222224,0.0,0.0,19.0,130.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,1.0,0.05263157894736842,2.0,0.10526315789473684,0.9905521869659424,0.003299504518508911,0.0025068975519388914,0.0020002431701868773,0.0009543549967929721,0.0006868314812891185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,50.0,4.0,0.08333333333333333,0.37222222222222223,0.0,0.0,38.0,290.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05263157894736842,1.0,0.02631578947368421,5.0,0.13157894736842105,0.0021885139867663383,0.8204584121704102,0.04242723807692528,0.1319330334663391,0.0007637990056537092,0.0022289708722382784,3.0,0.07894736842105263,1.0,0.02631578947368421,2.0,0.05263157894736842,1.0,0.02631578947368421,1.0,0.02631578947368421
2,proponent,52.0,2.0,-0.2,0.5,0.0,0.0,14.0,107.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,1.0,0.07142857142857142,0.0004401689802762121,0.007967919111251831,0.0009956518188118935,0.9897368550300598,0.0002889067109208554,0.0005703793140128255,2.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,opponent,50.0,7.0,0.5,0.5,0.0,0.0,36.0,262.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05555555555555555,1.0,0.027777777777777776,3.0,0.08333333333333333,0.023215031251311302,0.24782079458236694,0.709365963935852,0.00923592783510685,0.0024602836929261684,0.007901975885033607,0.0,0.0,1.0,0.027777777777777776,1.0,0.027777777777777776,0.0,0.0,0.0,0.0
3,proponent,49.0,5.0,0.1777777777777778,0.32222222222222224,0.0,0.0,19.0,130.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,1.0,0.05263157894736842,2.0,0.10526315789473684,0.9905521869659424,0.003299504518508911,0.0025068975519388914,0.0020002431701868773,0.0009543549967929721,0.0006868314812891185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,opponent,52.0,10.0,0.5,0.5,0.0,0.0,36.0,255.0,0.0,0.0,0.0,0.0,0.0,3.0,0.08333333333333333,1.0,0.027777777777777776,5.0,0.1388888888888889,0.5027843117713928,0.2608638107776642,0.02818058803677559,0.18736165761947632,0.003202517982572317,0.017607031390070915,2.0,0.05555555555555555,1.0,0.027777777777777776,0.0,0.0,0.0,0.0,1.0,0.027777777777777776
4,proponent,46.0,8.0,0.1777777777777778,0.32222222222222224,0.0,0.0,19.0,130.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,1.0,0.05263157894736842,2.0,0.10526315789473684,0.9905521869659424,0.003299504518508911,0.0025068975519388914,0.0020002431701868773,0.0009543549967929721,0.0006868314812891185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,opponent,54.0,13.0,0.15,0.39,0.0,0.0,37.0,290.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05405405405405406,1.0,0.02702702702702703,3.0,0.08108108108108109,0.015499000437557697,0.004872102756053209,0.9631050229072571,0.014088890515267849,0.001331977779045701,0.0011029975721612573,2.0,0.05405405405405406,1.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0
5,proponent,43.0,11.0,0.1777777777777778,0.32222222222222224,0.0,0.0,19.0,130.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,1.0,0.05263157894736842,2.0,0.10526315789473684,0.9905521869659424,0.003299504518508911,0.0025068975519388914,0.0020002431701868773,0.0009543549967929721,0.0006868314812891185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
