round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_trust_count,nrc_trust_density,nrc_negative_count,nrc_negative_density,emotion_joy,emotion_anger,emotion_sadness,emotion_fear,emotion_surprise,emotion_love,nrc_fear_count,nrc_fear_density,nrc_sadness_count,nrc_sadness_density,nrc_positive_count,nrc_positive_density,nrc_anticipation_count,nrc_anticipation_density,nrc_anger_count,nrc_anger_density,nrc_joy_count,nrc_joy_density,nrc_disgust_count,nrc_disgust_density,nrc_surprise_count,nrc_surprise_density
1,opponent,50.0,1.0,-0.010714285714285713,0.21785714285714283,0.0,0.0,38.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.10526315789473684,0.12536080181598663,0.07045866549015045,0.46163949370384216,0.3211417496204376,0.017763329669833183,0.003635994391515851,3.0,0.07894736842105263,2.0,0.05263157894736842,1.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,0.1,0.4,0.0,0.0,23.0,145.0,0.0,0.0,0.0,0.0,0.0,1.0,0.043478260869565216,1.0,0.043478260869565216,0.956026554107666,0.013542049564421177,0.01341118011623621,0.010278086178004742,0.005656849127262831,0.0010851931292563677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,52.0,4.0,-0.041666666666666664,0.08928571428571429,0.0,0.0,33.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.030303030303030304,0.0028824140317738056,0.6971755027770996,0.09494655579328537,0.1980464905500412,0.005301355849951506,0.0016477153403684497,0.0,0.0,1.0,0.030303030303030304,2.0,0.06060606060606061,0.0,0.0,1.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0
2,proponent,52.0,2.0,-0.037500000000000006,0.2857142857142857,0.0,0.0,24.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.08333333333333333,0.0016269920160993934,0.03182210028171539,0.00649740407243371,0.956937849521637,0.0022516236640512943,0.0008640221203677356,0.0,0.0,1.0,0.041666666666666664,3.0,0.125,1.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,opponent,54.0,7.0,0.18,0.205,0.0,0.0,30.0,192.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06666666666666667,3.0,0.1,0.7153393030166626,0.06583885848522186,0.04256591200828552,0.16093437373638153,0.012015445157885551,0.003306116908788681,0.0,0.0,0.0,0.0,3.0,0.1,0.0,0.0,0.0,0.0,1.0,0.03333333333333333,0.0,0.0,0.0,0.0
3,proponent,49.0,5.0,-0.028125,0.45,0.0,0.0,17.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.11764705882352941,0.01770966500043869,0.562079668045044,0.01230944599956274,0.4024692475795746,0.0031416923739016056,0.002290305681526661,1.0,0.058823529411764705,1.0,0.058823529411764705,1.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,opponent,52.0,10.0,0.0,0.25,0.0,0.0,38.0,299.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02631578947368421,2.0,0.05263157894736842,0.016906768083572388,0.18251168727874756,0.2879221737384796,0.5067623257637024,0.003527431981638074,0.002369561232626438,2.0,0.05263157894736842,1.0,0.02631578947368421,1.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,proponent,46.0,8.0,0.125,0.125,0.0,0.0,19.0,125.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,1.0,0.05263157894736842,0.012570822611451149,0.20343053340911865,0.01475969422608614,0.763069748878479,0.0031303821597248316,0.0030388529412448406,1.0,0.05263157894736842,0.0,0.0,2.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,opponent,54.0,13.0,-0.004166666666666661,0.5053571428571428,0.0,0.0,33.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06060606060606061,0.508569598197937,0.2616075873374939,0.1345406323671341,0.08711951225996017,0.004457168746739626,0.003705519251525402,0.0,0.0,2.0,0.06060606060606061,0.0,0.0,2.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,proponent,43.0,11.0,0.0,0.5,0.0,0.0,17.0,106.0,0.0,0.0,0.0,0.0,0.0,2.0,0.11764705882352941,1.0,0.058823529411764705,0.0038835767190903425,0.355848103761673,0.0057397265918552876,0.6275945901870728,0.004103359300643206,0.0028306280728429556,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,1.0,0.058823529411764705
