model_name,metric,proponent_mean,opponent_mean,proponent_n,opponent_n,role_gap,role_gap_ci_low,role_gap_ci_high,effect_size_d
dolphin-yi-34b,confidence,52.07294832826748,62.48802395209581,329,334,-10.41507562382833,-11.792860100467761,-9.122411635695173,-1.2565928341409465
gemma3:27b,confidence,50.66022099447514,54.90985915492958,362,355,-4.249638160454438,-5.4434777449225695,-3.1508219204731134,-0.531397920092115
dolphin-yi-34b,confidence_delta_within_role,-3.1004016064257027,2.279527559055118,249,254,-5.379929165480821,-6.149237501185845,-4.670942431141891,-1.330574370307659
gemma3:27b,confidence_delta_within_role,-2.00354609929078,3.7963636363636364,282,275,-5.799909735654417,-6.878712765957447,-4.707229529335913,-0.8515524967139515
dolphin-yi-34b,word_count,20.288753799392097,34.47305389221557,329,334,-14.18430009282347,-15.67503753890396,-12.729501028338461,-1.431643740256405
gemma3:27b,word_count,35.552486187845304,35.709859154929575,362,355,-0.15737296708427095,-1.0663843280678535,0.8062888102093237,-0.024642773333194465
dolphin-yi-34b,avg_sentence_length,18.76139817629179,20.284131736526945,329,334,-1.522733560235153,-2.1646302759223186,-0.8402307770477275,-0.3385022830688452
gemma3:27b,avg_sentence_length,35.098526703499076,31.953521126760563,362,355,3.1450055767385123,2.2346303141130397,4.133706293933023,0.4941114510968679
dolphin-yi-34b,lemma_type_token_ratio,0.993929681432632,0.9679397550128014,329,334,0.025989926419830667,0.020269831340753795,0.03138001831498518,0.7268307903344636
gemma3:27b,lemma_type_token_ratio,0.985869937436498,0.9717586499635591,362,355,0.014111287472938883,0.009729699314476249,0.019178077504902497,0.45246077409866525
dolphin-yi-34b,vader_compound,0.08082006079027354,0.032196407185628745,329,334,0.048623653604644795,-0.02518193885026298,0.12489647939682942,0.09917365600346163
gemma3:27b,vader_compound,0.07806132596685084,-0.07356169014084508,362,355,0.1516230161076959,0.07964414189557235,0.22158854762275307,0.29994329616955906
dolphin-yi-34b,evidence_density_per_1k_words,14.133702014853132,28.71103045480317,329,334,-14.577328439950037,-19.523394827071364,-9.54113835507322,-0.4350304993599253
gemma3:27b,evidence_density_per_1k_words,13.683597050673587,27.609368643303412,362,355,-13.925771592629825,-17.916231129454744,-10.718165183398515,-0.5774850801420509
dolphin-yi-34b,rebuttal_density_per_1k_words,1.5517882651624213,1.573821007897559,329,334,-0.022032742735137667,-1.3089014501372502,1.2094700813839008,-0.0027069936424816117
gemma3:27b,rebuttal_density_per_1k_words,1.8016727799965981,2.721020582717187,362,355,-0.919347802720589,-2.075275238406977,0.18659643486963634,-0.11415073630696643
dolphin-yi-34b,hedge_density_per_1k_words,1.6962050834485707,2.0238278477931613,329,334,-0.3276227643445906,-1.7541103188292417,1.0861945031447962,-0.036355370911319566
gemma3:27b,hedge_density_per_1k_words,6.36488417994783,3.822876676039948,362,355,2.542007503907882,0.917381064330536,4.315884142660755,0.2174080461453013
dolphin-yi-34b,assertive_density_per_1k_words,0.0,0.0,329,334,0.0,0.0,0.0,0.0
gemma3:27b,assertive_density_per_1k_words,0.15566079101990707,0.06550933508024893,362,355,0.09015145593965813,-0.13101867016049787,0.390302990441112,0.052570682085224224
dolphin-yi-34b,strong_modal_density_per_1k_words,0.0,0.0,329,334,0.0,0.0,0.0,0.0
gemma3:27b,strong_modal_density_per_1k_words,0.0,0.0,362,355,0.0,0.0,0.0,0.0
dolphin-yi-34b,weak_modal_density_per_1k_words,0.0,0.0,329,334,0.0,0.0,0.0,0.0
gemma3:27b,weak_modal_density_per_1k_words,0.0,0.0,362,355,0.0,0.0,0.0,0.0
dolphin-yi-34b,moral_density_per_1k_words,8.776184841585433,5.387279336565973,329,334,3.3889055050194603,2.9788480152993393,3.8045711782149647,1.2409069685609324
gemma3:27b,moral_density_per_1k_words,4.89203546555526,4.768201776026702,362,355,0.12383368952855811,-0.01995149466033031,0.28000699760361386,0.11490932143063047
dolphin-yi-34b,stance_proxy_score,0.030395136778115502,0.09580838323353294,329,334,-0.06541324645541743,-0.1281100413155452,0.0003674262417414364,-0.1590498811356542
gemma3:27b,stance_proxy_score,-0.15193370165745856,0.05070422535211268,362,355,-0.20263792700957123,-0.28031417788498947,-0.12441872227842196,-0.36639872548296226
dolphin-yi-34b,assertiveness_balance,-0.0016962050834485698,-0.0020238278477931596,329,334,0.00032762276434458986,-0.0010569474453782774,0.0016427638961438252,0.036355370911319504
gemma3:27b,assertiveness_balance,-0.006209223388927916,-0.003757367340959694,362,355,-0.002451856047968222,-0.004183654646421899,-0.0008672075136121127,-0.20656219494017164
dolphin-yi-34b,modality_balance,0.0,0.0,329,334,0.0,0.0,0.0,0.0
gemma3:27b,modality_balance,0.0,0.0,362,355,0.0,0.0,0.0,0.0
dolphin-yi-34b,lexical_overlap_prev_other_turn,0.07542214683008429,0.22489920906527885,329,334,-0.14947706223519458,-0.16749280848124673,-0.12993413650399016,-1.1793776863837349
gemma3:27b,lexical_overlap_prev_other_turn,0.049035755069357714,0.1484771592512416,362,355,-0.0994414041818839,-0.10846013028663393,-0.09110526745297522,-1.6453906216516505
dolphin-yi-34b,semantic_similarity_prev_other_turn,0.6089217116465488,0.6913597364693957,249,334,-0.0824380248228469,-0.10383944496810106,-0.06362902626091874,-0.6543008734327829
gemma3:27b,semantic_similarity_prev_other_turn,0.5356049763993395,0.6666611814977333,282,355,-0.13105620509839389,-0.14755362620578308,-0.11367925490531403,-1.2025524616388226
dolphin-yi-34b,lexical_overlap_prev_opponent_turn,0.13393454696540125,0.22489920906527885,329,334,-0.09096466209987761,-0.11411392072971646,-0.06819201147021593,-0.5945078344067609
gemma3:27b,lexical_overlap_prev_opponent_turn,0.048025230752387474,0.1484771592512416,362,355,-0.10045192849885413,-0.11021326022466736,-0.09049144790938819,-1.5642784410674508
dolphin-yi-34b,semantic_similarity_prev_opponent_turn,0.6693668919413357,0.6913597364693957,249,334,-0.02199284452806005,-0.04516370794920144,-0.0005126190461169618,-0.15321287997243815
