run_id,model_name,debate_role,initial_stance_proxy,final_stance_proxy,stance_proxy_delta,initial_stance_sign,final_stance_sign,stance_flip,turns_in_group
run_20260208_102359,gemma3:27b,moderator,1.0,1.0,0.0,1,1,0,5
run_20260208_102359,gemma3:27b,opponent,1.0,-0.0,-1.0,1,0,0,5
run_20260208_102359,gemma3:27b,proponent,0.0,1.0,1.0,0,1,0,5
run_20260208_102927,gemma3:27b,moderator,-1.0,-1.0,0.0,-1,-1,0,4
run_20260208_102927,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260208_102927,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,4
run_20260208_103631,gemma3:27b,moderator,0.0,0.0,0.0,0,0,0,5
run_20260208_103631,gemma3:27b,opponent,1.0,-0.0,-1.0,1,0,0,5
run_20260208_103631,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_104240,gemma3:27b,moderator,0.0,2.0,2.0,0,1,0,4
run_20260208_104240,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260208_104240,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,4
run_20260208_105008,gemma3:27b,moderator,0.0,0.0,0.0,0,0,0,5
run_20260208_105008,gemma3:27b,opponent,-1.0,2.0,3.0,-1,1,1,5
run_20260208_105008,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_105659,gemma3:27b,moderator,1.0,2.0,1.0,1,1,0,5
run_20260208_105659,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_105659,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_110425,gemma3:27b,moderator,1.0,1.0,0.0,1,1,0,5
run_20260208_110425,gemma3:27b,opponent,-0.0,-1.0,-1.0,0,-1,0,5
run_20260208_110425,gemma3:27b,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_111131,gemma3:27b,moderator,0.0,2.0,2.0,0,1,0,5
run_20260208_111131,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_111131,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_111711,gemma3:27b,moderator,-1.0,3.0,4.0,-1,1,1,4
run_20260208_111711,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260208_111711,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,4
run_20260208_112354,gemma3:27b,moderator,0.0,2.0,2.0,0,1,0,5
run_20260208_112354,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_112354,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_113120,gemma3:27b,moderator,0.0,0.0,0.0,0,0,0,5
run_20260208_113120,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_113120,gemma3:27b,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_113710,gemma3:27b,moderator,-2.0,3.0,5.0,-1,1,1,4
run_20260208_113710,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260208_113710,gemma3:27b,proponent,2.0,0.0,-2.0,1,0,0,4
run_20260208_114345,gemma3:27b,moderator,0.0,-2.0,-2.0,0,-1,0,5
run_20260208_114345,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_114345,gemma3:27b,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_115100,gemma3:27b,moderator,0.0,1.0,1.0,0,1,0,5
run_20260208_115100,gemma3:27b,opponent,-1.0,-0.0,1.0,-1,0,0,5
run_20260208_115100,gemma3:27b,proponent,1.0,0.0,-1.0,1,0,0,5
run_20260208_115750,gemma3:27b,moderator,0.0,1.0,1.0,0,1,0,5
run_20260208_115750,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_115750,gemma3:27b,proponent,0.0,1.0,1.0,0,1,0,5
run_20260208_120342,gemma3:27b,moderator,-1.0,1.0,2.0,-1,1,1,4
run_20260208_120342,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260208_120342,gemma3:27b,proponent,0.0,-1.0,-1.0,0,-1,0,4
run_20260208_121134,gemma3:27b,moderator,2.0,1.0,-1.0,1,1,0,5
run_20260208_121134,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_121134,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_121908,gemma3:27b,moderator,0.0,1.0,1.0,0,1,0,5
run_20260208_121908,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_121908,gemma3:27b,proponent,0.0,1.0,1.0,0,1,0,5
run_20260208_122536,gemma3:27b,moderator,-1.0,0.0,1.0,-1,0,0,5
run_20260208_122536,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_122536,gemma3:27b,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_123231,gemma3:27b,moderator,2.0,0.0,-2.0,1,0,0,5
run_20260208_123231,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_123231,gemma3:27b,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_123941,dolphin-yi-34b,moderator,-1.0,2.0,3.0,-1,1,1,4
run_20260208_123941,dolphin-yi-34b,opponent,1.0,-0.0,-1.0,1,0,0,4
run_20260208_123941,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,4
run_20260208_124809,dolphin-yi-34b,moderator,0.0,0.0,0.0,0,0,0,5
run_20260208_124809,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_124809,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_125658,dolphin-yi-34b,moderator,-1.0,0.0,1.0,-1,0,0,5
run_20260208_125658,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_125658,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_130544,dolphin-yi-34b,moderator,0.0,0.0,0.0,0,0,0,5
run_20260208_130544,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_130544,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_131027,dolphin-yi-34b,moderator,0.0,0.0,0.0,0,0,0,3
