metric,model_a,model_b,paired_topic_role_units,gap_mean_a_minus_b,gap_ci_low,gap_ci_high,gap_median_a_minus_b,a_better_rate
confidence,dolphin-yi-34b,gemma3:27b,40,4.781149152704881,3.034123823150212,6.536073673700635,3.399434389140268,0.85
confidence_delta_within_role,dolphin-yi-34b,gemma3:27b,40,-1.3829847582972583,-2.016484786914474,-0.7428027233183484,-1.0201923076923076,0.25
word_count,dolphin-yi-34b,gemma3:27b,60,-19.407047013229285,-24.24074054877799,-14.89730515541748,-14.535087719298245,0.11666666666666667
avg_sentence_length,dolphin-yi-34b,gemma3:27b,60,-11.41677444702566,-12.774214164688695,-10.10648030710878,-11.65,0.016666666666666666
lemma_type_token_ratio,dolphin-yi-34b,gemma3:27b,60,-0.006419919373130954,-0.012508124288772094,-0.0008804582889326702,-0.004903786010107658,0.4666666666666667
vader_compound,dolphin-yi-34b,gemma3:27b,60,0.024520049973976832,-0.04055541752760536,0.08840749915793929,-0.004869727249874311,0.5
evidence_density_per_1k_words,dolphin-yi-34b,gemma3:27b,60,6.1169887457120895,2.3828798246564813,10.25369477588758,4.111742593195643,0.6333333333333333
rebuttal_density_per_1k_words,dolphin-yi-34b,gemma3:27b,60,-0.3645094806664535,-1.3226363727660202,0.5219453749642113,0.0,0.3
hedge_density_per_1k_words,dolphin-yi-34b,gemma3:27b,60,-2.1620539547409874,-3.27781854338227,-1.0550640049765017,-1.499602368111576,0.31666666666666665
assertive_density_per_1k_words,dolphin-yi-34b,gemma3:27b,60,-0.15243575854167737,-0.2572739000279325,-0.0647726703716654,0.0,0.05
strong_modal_density_per_1k_words,dolphin-yi-34b,gemma3:27b,60,-0.01772717397630591,-0.042156715927742935,0.005946635410921125,0.0,0.03333333333333333
weak_modal_density_per_1k_words,dolphin-yi-34b,gemma3:27b,60,0.0,0.0,0.0,0.0,0.0
moral_density_per_1k_words,dolphin-yi-34b,gemma3:27b,60,1.5876983100011264,1.1327881458145708,2.062944238814311,0.4617696582486883,0.9
stance_proxy_score,dolphin-yi-34b,gemma3:27b,60,-0.1860837252845767,-0.34833286023330523,-0.043017500342722864,-0.004166666666666666,0.4666666666666667
assertiveness_balance,dolphin-yi-34b,gemma3:27b,60,0.00200961819619931,0.0009606897936223033,0.003320701367062235,0.001301350612506129,0.6333333333333333
modality_balance,dolphin-yi-34b,gemma3:27b,60,-1.772717397630591e-05,-4.2397407507031965e-05,4.30872136706402e-06,0.0,0.03333333333333333
lexical_overlap_prev_other_turn,dolphin-yi-34b,gemma3:27b,60,0.05361547510909312,0.04287908083047117,0.06457497891464166,0.04484800093745671,0.9166666666666666
semantic_similarity_prev_other_turn,dolphin-yi-34b,gemma3:27b,60,0.06331879028503597,0.04683090323053402,0.07870873417108314,0.0713382360361815,0.8333333333333334
lexical_overlap_prev_opponent_turn,dolphin-yi-34b,gemma3:27b,60,0.05244983233328661,0.039961803273093344,0.06688104284177412,0.03855811257569586,0.6166666666666667
semantic_similarity_prev_opponent_turn,dolphin-yi-34b,gemma3:27b,40,0.08965404685905182,0.06099451508314098,0.11713774300849501,0.09858313570929877,0.8
novelty_vs_prev_turn_lexical,dolphin-yi-34b,gemma3:27b,60,-0.05345731852359954,-0.06438767477253535,-0.042519743807425125,-0.04484800093745667,0.08333333333333333
novelty_vs_prev_turn_semantic,dolphin-yi-34b,gemma3:27b,60,-0.06315900357159299,-0.0788749995051685,-0.04586201025205437,-0.07133823603618156,0.16666666666666666
novelty_vs_prev_opponent_turn_lexical,dolphin-yi-34b,gemma3:27b,60,-0.0524498323332866,-0.06706106807536667,-0.03926667898599757,-0.03855811257569586,0.05
novelty_vs_prev_opponent_turn_semantic,dolphin-yi-34b,gemma3:27b,40,-0.08965404685905183,-0.11838387172490572,-0.06079669271566453,-0.09858313570929875,0.2
