debate_role,stage,metric,mean,ci_low,ci_high,n
moderator,closing,confidence,0.0,0.0,0.0,0
moderator,closing,confidence_delta_within_role,0.0,0.0,0.0,0
moderator,closing,word_count,144.0,139.14846938775509,149.06173469387753,147
moderator,closing,avg_sentence_length,30.501757369614513,29.293486597019758,31.70498825720765,147
moderator,closing,lemma_type_token_ratio,0.7142852688867698,0.7035024743484146,0.724685285145351,147
moderator,closing,vader_compound,-0.20838435374149664,-0.3287741326530612,-0.08194906462585036,147
moderator,closing,evidence_density_per_1k_words,85.00698099378432,81.45554845107688,89.10713548101836,147
moderator,closing,rebuttal_density_per_1k_words,0.5394111288912988,0.1743459871257187,1.0043057451222879,147
moderator,closing,hedge_density_per_1k_words,3.05465318787909,2.357839042553422,3.7878960650732068,147
moderator,closing,assertive_density_per_1k_words,0.10313005511084743,0.0,0.26342583365392486,147
moderator,closing,strong_modal_density_per_1k_words,0.045964331678617396,0.0,0.13789299503585217,147
moderator,closing,weak_modal_density_per_1k_words,0.0,0.0,0.0,147
moderator,closing,moral_density_per_1k_words,1.1898367564474954,1.1370686330278554,1.2492106086600887,147
moderator,closing,stance_proxy_score,0.1836734693877551,0.013435374149660019,0.36054421768707484,147
moderator,closing,assertiveness_balance,-0.0029515231327682284,-0.0037516657804110673,-0.0022292717790396753,147
moderator,closing,modality_balance,4.596433167861701e-05,0.0,0.00018385732671446803,147
moderator,closing,lexical_overlap_prev_other_turn,0.18023521050081254,0.1693960746830906,0.19145982528856081,147
moderator,closing,semantic_similarity_prev_other_turn,0.6793532703030675,0.6629541819048347,0.6955869175484024,147
moderator,closing,lexical_overlap_prev_opponent_turn,0.0,0.0,0.0,147
moderator,closing,semantic_similarity_prev_opponent_turn,0.0,0.0,0.0,0
moderator,closing,novelty_vs_prev_turn_lexical,0.8197647894991874,0.8082390609784824,0.8312627904950721,147
moderator,closing,novelty_vs_prev_turn_semantic,0.3206467296969324,0.3053927640381927,0.33614907727207566,147
moderator,closing,novelty_vs_prev_opponent_turn_lexical,1.0,1.0,1.0,147
moderator,closing,novelty_vs_prev_opponent_turn_semantic,0.0,0.0,0.0,0
moderator,middle,confidence,0.0,0.0,0.0,0
moderator,middle,confidence_delta_within_role,0.0,0.0,0.0,0
moderator,middle,word_count,144.47967479674796,138.81016260162602,149.7241869918699,123
moderator,middle,avg_sentence_length,32.46176280810427,30.91517131242741,34.0519429926442,123
moderator,middle,lemma_type_token_ratio,0.7187112059140989,0.7060964147009745,0.73156918862399,123
moderator,middle,vader_compound,-0.20954146341463417,-0.3519516463414633,-0.07762766260162603,123
moderator,middle,evidence_density_per_1k_words,83.89319379509791,79.76110875471186,87.67443895200708,123
moderator,middle,rebuttal_density_per_1k_words,0.440422661245843,0.16293002219372918,0.7621906920137581,123
moderator,middle,hedge_density_per_1k_words,2.68040463581554,2.0203729545167746,3.370744584544271,123
moderator,middle,assertive_density_per_1k_words,0.04782400765184123,0.0,0.1434720229555237,123
moderator,middle,strong_modal_density_per_1k_words,0.04782400765184123,0.0,0.1434720229555237,123
moderator,middle,weak_modal_density_per_1k_words,0.0,0.0,0.0,123
moderator,middle,moral_density_per_1k_words,1.1649772004433874,1.1151136679662308,1.2167833889637232,123
moderator,middle,stance_proxy_score,0.06504065040650407,-0.13008130081300814,0.2682926829268293,123
moderator,middle,assertiveness_balance,-0.0026325806281636836,-0.003353593779387194,-0.0019639930114541152,123
moderator,middle,modality_balance,4.782400765184065e-05,0.0,0.00014347202295552196,123
moderator,middle,lexical_overlap_prev_other_turn,0.18479917046673475,0.17296319822612058,0.19806245947394663,123
moderator,middle,semantic_similarity_prev_other_turn,0.6811800444740425,0.6641328820875012,0.6972848261556828,123
moderator,middle,lexical_overlap_prev_opponent_turn,0.0,0.0,0.0,123
moderator,middle,semantic_similarity_prev_opponent_turn,0.0,0.0,0.0,0
moderator,middle,novelty_vs_prev_turn_lexical,0.8152008295332652,0.801927917830685,0.8271679946471584,123
moderator,middle,novelty_vs_prev_turn_semantic,0.3188199555259575,0.301428589052576,0.33541540595349945,123
moderator,middle,novelty_vs_prev_opponent_turn_lexical,1.0,1.0,1.0,123
moderator,middle,novelty_vs_prev_opponent_turn_semantic,0.0,0.0,0.0,0
moderator,opening,confidence,0.0,0.0,0.0,0
moderator,opening,confidence_delta_within_role,0.0,0.0,0.0,0
moderator,opening,word_count,136.65,129.5246875,143.57718749999998,80
moderator,opening,avg_sentence_length,32.43591991341991,29.75811525974026,36.13738372564935,80
moderator,opening,lemma_type_token_ratio,0.7373621972466993,0.7203753922706455,0.7537924338098185,80
moderator,opening,vader_compound,-0.15816,-0.31992224999999996,0.002627968750000006,80
moderator,opening,evidence_density_per_1k_words,87.5402430784296,82.20858235490172,93.82310370500342,80
moderator,opening,rebuttal_density_per_1k_words,0.5273020514248584,0.09259259259259259,1.0719724658869394,80
moderator,opening,hedge_density_per_1k_words,3.182404704076898,2.2677204372178563,4.055196197445481,80
moderator,opening,assertive_density_per_1k_words,0.0,0.0,0.0,80
moderator,opening,strong_modal_density_per_1k_words,0.0,0.0,0.0,80
moderator,opening,weak_modal_density_per_1k_words,0.0,0.0,0.0,80
moderator,opening,moral_density_per_1k_words,1.2257177210439731,1.156375943909257,1.2962918529181626,80
moderator,opening,stance_proxy_score,-0.075,-0.275,0.1375,80
moderator,opening,assertiveness_balance,-0.003182404704076887,-0.004224438663390697,-0.002322541392100045,80
moderator,opening,modality_balance,0.0,0.0,0.0,80
moderator,opening,lexical_overlap_prev_other_turn,0.1966650549995585,0.18194138236188925,0.21169312134523108,80
moderator,opening,semantic_similarity_prev_other_turn,0.6999343577182326,0.6814855715448961,0.7172278673486031,80
moderator,opening,lexical_overlap_prev_opponent_turn,0.0,0.0,0.0,80
moderator,opening,semantic_similarity_prev_opponent_turn,0.0,0.0,0.0,0
moderator,opening,novelty_vs_prev_turn_lexical,0.8033349450004416,0.7872279651845584,0.8190653138159127,80
moderator,opening,novelty_vs_prev_turn_semantic,0.30006564228176735,0.2821366561365779,0.3179338189956229,80
moderator,opening,novelty_vs_prev_opponent_turn_lexical,1.0,1.0,1.0,80
moderator,opening,novelty_vs_prev_opponent_turn_semantic,0.0,0.0,0.0,0
opponent,closing,confidence,64.59663865546219,63.09222689075631,66.15966386554622,119
opponent,closing,confidence_delta_within_role,2.3949579831932772,1.6888655462184876,3.168067226890756,119
opponent,closing,word_count,33.10084033613445,30.87373949579832,35.109453781512606,119
opponent,closing,avg_sentence_length,20.5,19.74012605042017,21.3781862745098,119
opponent,closing,lemma_type_token_ratio,0.9713119588021881,0.963297401081711,0.979007701502935,119
opponent,closing,vader_compound,0.033294117647058835,-0.04602703781512604,0.12172376050420168,119
opponent,closing,evidence_density_per_1k_words,29.582108783745387,23.941274500266857,36.16300039363464,119
opponent,closing,rebuttal_density_per_1k_words,1.3365346138455383,0.3001200480192077,2.8098239295718286,119
opponent,closing,hedge_density_per_1k_words,1.017336265337905,0.20496003279360525,2.0191078307495607,119
opponent,closing,assertive_density_per_1k_words,0.0,0.0,0.0,119
opponent,closing,strong_modal_density_per_1k_words,0.0,0.0,0.0,119
opponent,closing,weak_modal_density_per_1k_words,0.0,0.0,0.0,119
opponent,closing,moral_density_per_1k_words,5.624859370611054,5.199999267570723,6.045851377485997,119
opponent,closing,stance_proxy_score,0.09243697478991597,0.0,0.18487394957983194,119
opponent,closing,assertiveness_balance,-0.0010173362653379042,-0.002011528657742019,-0.0002100840336134454,119
opponent,closing,modality_balance,0.0,0.0,0.0,119
opponent,closing,lexical_overlap_prev_other_turn,0.21833682059956916,0.19069957932458717,0.24806049097259755,119
opponent,closing,semantic_similarity_prev_other_turn,0.6754422273428264,0.6506187130940757,0.7010802560363102,119
opponent,closing,lexical_overlap_prev_opponent_turn,0.21833682059956916,0.18902192518134472,0.24782880622296452,119
opponent,closing,semantic_similarity_prev_opponent_turn,0.6754422273428264,0.6503749329037235,0.7006556478842147,119
opponent,closing,novelty_vs_prev_turn_lexical,0.7816631794004308,0.752098181437067,0.8094877503507927,119
opponent,closing,novelty_vs_prev_turn_semantic,0.32455777265717356,0.2997689783311617,0.3511277473699898,119
opponent,closing,novelty_vs_prev_opponent_turn_lexical,0.7816631794004308,0.7512194539755346,0.8085928733958443,119
opponent,closing,novelty_vs_prev_opponent_turn_semantic,0.32455777265717356,0.2977334746682901,0.3514760110188729,119
opponent,middle,confidence,64.66315789473684,62.59894736842106,66.84210526315789,95
opponent,middle,confidence_delta_within_role,2.393258426966292,1.5727528089887644,3.3146067415730336,89
opponent,middle,word_count,34.4,31.536578947368422,36.89473684210526,95
opponent,middle,avg_sentence_length,19.905263157894737,19.02276315789474,20.82986842105263,95
opponent,middle,lemma_type_token_ratio,0.9671485639144898,0.9581137144724666,0.9761611769957932,95
opponent,middle,vader_compound,-0.028805263157894737,-0.13473394736842104,0.07202223684210524,95
opponent,middle,evidence_density_per_1k_words,33.71894910959967,26.78140148438409,41.46336844278211,95
opponent,middle,rebuttal_density_per_1k_words,2.143519639493015,0.5012531328320802,4.384671054565596,95
opponent,middle,hedge_density_per_1k_words,3.5329124486657904,1.6897291305186044,5.848629816728697,95
opponent,middle,assertive_density_per_1k_words,0.0,0.0,0.0,95
opponent,middle,strong_modal_density_per_1k_words,0.0,0.0,0.0,95
opponent,middle,weak_modal_density_per_1k_words,0.0,0.0,0.0,95
opponent,middle,moral_density_per_1k_words,5.389599524407924,4.960508451170748,5.8745541835669055,95
opponent,middle,stance_proxy_score,0.14736842105263157,0.021052631578947368,0.2631578947368421,95
opponent,middle,assertiveness_balance,-0.003532912448665787,-0.005897230955643572,-0.0015964758398893644,95
opponent,middle,modality_balance,0.0,0.0,0.0,95
opponent,middle,lexical_overlap_prev_other_turn,0.2318760521025495,0.1984159851023661,0.2680211188054933,95
opponent,middle,semantic_similarity_prev_other_turn,0.6926044902120511,0.6634257233134904,0.7252601240648684,95
opponent,middle,lexical_overlap_prev_opponent_turn,0.2318760521025495,0.19801934012725886,0.2710561816204918,95
opponent,middle,semantic_similarity_prev_opponent_turn,0.6926044902120511,0.6617671058558007,0.7225558512987018,95
opponent,middle,novelty_vs_prev_turn_lexical,0.7681239478974504,0.7305498211229521,0.8020774318525625,95
