run_id,debate_role,initial_stance_proxy,final_stance_proxy,stance_proxy_delta,initial_stance_sign,final_stance_sign,stance_flip,turns_in_group
run_20260208_102359,moderator,1.0,1.0,0.0,1,1,0,5
run_20260208_102359,opponent,1.0,-0.0,-1.0,1,0,0,5
run_20260208_102359,proponent,0.0,1.0,1.0,0,1,0,5
run_20260208_102927,moderator,-1.0,-1.0,0.0,-1,-1,0,4
run_20260208_102927,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260208_102927,proponent,0.0,0.0,0.0,0,0,0,4
run_20260208_103631,moderator,0.0,0.0,0.0,0,0,0,5
run_20260208_103631,opponent,1.0,-0.0,-1.0,1,0,0,5
run_20260208_103631,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_104240,moderator,0.0,2.0,2.0,0,1,0,4
run_20260208_104240,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260208_104240,proponent,0.0,0.0,0.0,0,0,0,4
run_20260208_105008,moderator,0.0,0.0,0.0,0,0,0,5
run_20260208_105008,opponent,-1.0,2.0,3.0,-1,1,1,5
run_20260208_105008,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_105659,moderator,1.0,2.0,1.0,1,1,0,5
run_20260208_105659,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_105659,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_110425,moderator,1.0,1.0,0.0,1,1,0,5
run_20260208_110425,opponent,-0.0,-1.0,-1.0,0,-1,0,5
run_20260208_110425,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_111131,moderator,0.0,2.0,2.0,0,1,0,5
run_20260208_111131,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_111131,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_111711,moderator,-1.0,3.0,4.0,-1,1,1,4
run_20260208_111711,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260208_111711,proponent,0.0,0.0,0.0,0,0,0,4
run_20260208_112354,moderator,0.0,2.0,2.0,0,1,0,5
run_20260208_112354,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_112354,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_113120,moderator,0.0,0.0,0.0,0,0,0,5
run_20260208_113120,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_113120,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_113710,moderator,-2.0,3.0,5.0,-1,1,1,4
run_20260208_113710,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260208_113710,proponent,2.0,0.0,-2.0,1,0,0,4
run_20260208_114345,moderator,0.0,-2.0,-2.0,0,-1,0,5
run_20260208_114345,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_114345,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_115100,moderator,0.0,1.0,1.0,0,1,0,5
run_20260208_115100,opponent,-1.0,-0.0,1.0,-1,0,0,5
run_20260208_115100,proponent,1.0,0.0,-1.0,1,0,0,5
run_20260208_115750,moderator,0.0,1.0,1.0,0,1,0,5
run_20260208_115750,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_115750,proponent,0.0,1.0,1.0,0,1,0,5
run_20260208_120342,moderator,-1.0,1.0,2.0,-1,1,1,4
run_20260208_120342,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260208_120342,proponent,0.0,-1.0,-1.0,0,-1,0,4
run_20260208_121134,moderator,2.0,1.0,-1.0,1,1,0,5
run_20260208_121134,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_121134,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_121908,moderator,0.0,1.0,1.0,0,1,0,5
run_20260208_121908,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_121908,proponent,0.0,1.0,1.0,0,1,0,5
run_20260208_122536,moderator,-1.0,0.0,1.0,-1,0,0,5
run_20260208_122536,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_122536,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_123231,moderator,2.0,0.0,-2.0,1,0,0,5
run_20260208_123231,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_123231,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_151248,moderator,1.0,1.0,0.0,1,1,0,1
run_20260208_151440,moderator,1.0,1.0,0.0,1,1,0,1
run_20260208_151945,moderator,1.0,0.0,-1.0,1,0,0,3
run_20260208_152953,moderator,1.0,1.0,0.0,1,1,0,5
run_20260208_153335,moderator,1.0,6.0,5.0,1,1,0,2
run_20260208_153540,moderator,1.0,1.0,0.0,1,1,0,1
run_20260208_154538,moderator,2.0,1.0,-1.0,1,1,0,5
run_20260208_155117,moderator,0.0,0.0,0.0,0,0,0,3
run_20260208_160144,moderator,0.0,1.0,1.0,0,1,0,5
run_20260208_161212,moderator,1.0,1.0,0.0,1,1,0,5
run_20260208_162210,moderator,3.0,0.0,-3.0,1,0,0,5
run_20260208_162821,moderator,-4.0,0.0,4.0,-1,0,0,3
run_20260208_163016,moderator,1.0,1.0,0.0,1,1,0,1
run_20260208_163212,moderator,-1.0,-1.0,0.0,-1,-1,0,1
run_20260208_164112,moderator,2.0,1.0,-1.0,1,1,0,4
run_20260208_164615,moderator,-1.0,-1.0,0.0,-1,-1,0,3
run_20260208_165632,moderator,1.0,0.0,-1.0,1,0,0,5
run_20260208_170602,moderator,1.0,1.0,0.0,1,1,0,5
run_20260208_171702,moderator,1.0,2.0,1.0,1,1,0,5
run_20260208_174705,moderator,-2.0,2.0,4.0,-1,1,1,5
run_20260208_175659,opponent,1.0,1.0,0.0,1,1,0,5
run_20260208_175659,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_180806,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_180806,proponent,0.0,1.0,1.0,0,1,0,5
run_20260208_181707,opponent,-0.0,-1.0,-1.0,0,-1,0,5
run_20260208_181707,proponent,0.0,-2.0,-2.0,0,-1,0,5
run_20260208_182754,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260208_182754,proponent,0.0,0.0,0.0,0,0,0,4
run_20260208_183421,opponent,-0.0,1.0,1.0,0,1,0,3
run_20260208_183421,proponent,0.0,-1.0,-1.0,0,-1,0,3
run_20260208_184104,opponent,-0.0,-0.0,0.0,0,0,0,3
run_20260208_184104,proponent,0.0,0.0,0.0,0,0,0,3
run_20260208_185127,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_185127,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_190136,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_190136,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_190908,opponent,-0.0,-0.0,0.0,0,0,0,3
run_20260208_190908,proponent,0.0,-1.0,-1.0,0,-1,0,3
run_20260208_191723,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260208_191723,proponent,0.0,-1.0,-1.0,0,-1,0,4
run_20260208_192427,opponent,-0.0,-0.0,0.0,0,0,0,3
run_20260208_192427,proponent,0.0,-1.0,-1.0,0,-1,0,3
run_20260208_193147,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260208_193147,proponent,2.0,-1.0,-3.0,1,-1,1,4
run_20260208_194248,opponent,-0.0,1.0,1.0,0,1,0,5
run_20260208_194248,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_195239,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_195239,proponent,-1.0,0.0,1.0,-1,0,0,5
run_20260208_200438,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_200438,proponent,1.0,-1.0,-2.0,1,-1,1,5
run_20260208_201943,opponent,-0.0,-1.0,-1.0,0,-1,0,5
run_20260208_201943,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_203158,opponent,-0.0,-2.0,-2.0,0,-1,0,5
run_20260208_203158,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_204216,opponent,-0.0,-1.0,-1.0,0,-1,0,5
run_20260208_204216,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_205053,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260208_205053,proponent,0.0,1.0,1.0,0,1,0,4
run_20260208_205909,opponent,1.0,1.0,0.0,1,1,0,4
run_20260208_205909,proponent,0.0,-1.0,-1.0,0,-1,0,4
run_20260208_210903,moderator,0.0,0.0,0.0,0,0,0,4
run_20260208_210903,proponent,0.0,0.0,0.0,0,0,0,4
run_20260208_211930,moderator,-1.0,1.0,2.0,-1,1,1,4
run_20260208_211930,proponent,0.0,-1.0,-1.0,0,-1,0,4
run_20260208_213010,moderator,1.0,0.0,-1.0,1,0,0,5
run_20260208_213010,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_213916,moderator,1.0,0.0,-1.0,1,0,0,5
run_20260208_213916,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_215002,moderator,2.0,1.0,-1.0,1,1,0,5
run_20260208_215002,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_220438,moderator,0.0,1.0,1.0,0,1,0,5
run_20260208_220438,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_221341,moderator,0.0,5.0,5.0,0,1,0,5
run_20260208_221341,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_222452,moderator,1.0,1.0,0.0,1,1,0,5
run_20260208_222452,proponent,0.0,1.0,1.0,0,1,0,5
run_20260208_223401,moderator,0.0,0.0,0.0,0,0,0,5
run_20260208_223401,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_224720,moderator,2.0,1.0,-1.0,1,1,0,5
run_20260208_224720,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_225610,moderator,1.0,-1.0,-2.0,1,-1,1,5
run_20260208_225610,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_230757,moderator,-2.0,1.0,3.0,-1,1,1,5
run_20260208_230757,proponent,1.0,1.0,0.0,1,1,0,5
run_20260208_232003,moderator,0.0,1.0,1.0,0,1,0,5
run_20260208_232003,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_232236,moderator,1.0,1.0,0.0,1,1,0,1
run_20260208_232236,proponent,0.0,0.0,0.0,0,0,0,1
run_20260208_233447,moderator,1.0,0.0,-1.0,1,0,0,5
