round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_negative_count,nrc_negative_density,nrc_trust_count,nrc_trust_density,nrc_positive_count,nrc_positive_density,nrc_fear_count,nrc_fear_density,nrc_anticipation_count,nrc_anticipation_density,emotion_fear,emotion_joy,emotion_anger,emotion_sadness,emotion_surprise,emotion_love,nrc_anger_count,nrc_anger_density,nrc_disgust_count,nrc_disgust_density,nrc_surprise_count,nrc_surprise_density,nrc_sadness_count,nrc_sadness_density,nrc_joy_count,nrc_joy_density
1,opponent,50.0,1.0,0.55,0.5,0.0,0.0,40.0,270.0,0.0,0.0,0.0,0.0,0.0,3.0,0.075,3.0,0.075,1.0,0.025,0.0,0.0,0.0,0.0,0.22872264683246613,0.4566779136657715,0.15063218772411346,0.145272359251976,0.013613452203571796,0.005081361159682274,1.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,-0.6,1.0,0.0,0.0,32.0,221.0,0.0,0.0,0.0,0.0,0.0,3.0,0.09375,1.0,0.03125,2.0,0.0625,1.0,0.03125,1.0,0.03125,0.47766193747520447,0.29987820982933044,0.10909002274274826,0.060061078518629074,0.04388698935508728,0.009421934373676777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,51.0,4.0,0.5,0.5,0.0,0.0,43.0,282.0,0.0,0.0,0.0,0.0,0.0,2.0,0.046511627906976744,1.0,0.023255813953488372,1.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.9420549869537354,0.010407261550426483,0.024425141513347626,0.009177489206194878,0.012959805317223072,0.0009753081249073148,1.0,0.023255813953488372,1.0,0.023255813953488372,1.0,0.023255813953488372,1.0,0.023255813953488372,0.0,0.0
2,proponent,57.0,2.0,-0.19999999999999998,0.19999999999999998,0.0,0.0,30.0,225.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06666666666666667,1.0,0.03333333333333333,1.0,0.03333333333333333,2.0,0.06666666666666667,0.0,0.0,0.004612515214830637,0.9609296917915344,0.015321733430027962,0.014518069103360176,0.0029588881880044937,0.001658997731283307,1.0,0.03333333333333333,1.0,0.03333333333333333,1.0,0.03333333333333333,1.0,0.03333333333333333,0.0,0.0
3,opponent,52.0,7.0,0.03333333333333333,0.5083333333333333,0.0,0.0,48.0,381.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0625,2.0,0.041666666666666664,3.0,0.0625,1.0,0.020833333333333332,0.0,0.0,0.2901345193386078,0.017662761732935905,0.6573536992073059,0.025978121906518936,0.006735221017152071,0.0021357336081564426,2.0,0.041666666666666664,1.0,0.020833333333333332,0.0,0.0,0.0,0.0,1.0,0.020833333333333332
3,proponent,55.0,5.0,0.2875,0.3125,0.0,0.0,32.0,225.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03125,2.0,0.0625,4.0,0.125,1.0,0.03125,0.0,0.0,0.0007067290716804564,0.9941949248313904,0.001003968995064497,0.002246292307972908,0.0007677038083784282,0.0010803601471707225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,opponent,54.0,10.0,0.19444444444444442,0.3611111111111111,0.0,0.0,43.0,348.0,0.0,0.0,0.0,0.0,0.0,2.0,0.046511627906976744,2.0,0.046511627906976744,1.0,0.023255813953488372,2.0,0.046511627906976744,0.0,0.0,0.076837457716465,0.344294011592865,0.21721599996089935,0.3503657877445221,0.00416241679340601,0.007124343886971474,1.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,proponent,58.0,8.0,-0.08333333333333333,0.5833333333333334,0.0,0.0,37.0,274.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05405405405405406,0.0,0.0,1.0,0.02702702702702703,2.0,0.05405405405405406,0.0,0.0,0.20412930846214294,0.04829753562808037,0.6881992220878601,0.051521990448236465,0.0043336572125554085,0.0035182873252779245,1.0,0.02702702702702703,0.0,0.0,1.0,0.02702702702702703,0.0,0.0,0.0,0.0
5,proponent,55.0,11.0,0.0,0.125,0.0,0.0,39.0,275.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02564102564102564,1.0,0.02564102564102564,1.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0030522767920047045,0.9503856897354126,0.021994682028889656,0.01925051026046276,0.001010526088066399,0.004306341987103224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,opponent,56.0,13.0,0.23154761904761903,0.6458333333333334,0.0,0.0,56.0,417.0,0.0,0.0,0.0,0.0,0.0,1.0,0.017857142857142856,7.0,0.125,7.0,0.125,1.0,0.017857142857142856,1.0,0.017857142857142856,0.011864978820085526,0.09817403554916382,0.859481155872345,0.021434856578707695,0.0027515527326613665,0.006293520797044039,1.0,0.017857142857142856,1.0,0.017857142857142856,0.0,0.0,1.0,0.017857142857142856,1.0,0.017857142857142856
