round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_fear_count,nrc_fear_density,nrc_positive_count,nrc_positive_density,nrc_trust_count,nrc_trust_density,nrc_anticipation_count,nrc_anticipation_density,emotion_joy,emotion_sadness,emotion_fear,emotion_anger,emotion_love,emotion_surprise,nrc_negative_count,nrc_negative_density,nrc_sadness_count,nrc_sadness_density,nrc_joy_count,nrc_joy_density,nrc_surprise_count,nrc_surprise_density,nrc_anger_count,nrc_anger_density,nrc_disgust_count,nrc_disgust_density
1,opponent,50.0,1.0,0.0,0.2875,0.0,0.0,32.0,263.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0625,1.0,0.03125,0.0,0.0,1.0,0.03125,0.9360567927360535,0.029329024255275726,0.01272591669112444,0.01636713184416294,0.002494370099157095,0.003026757389307022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,0.10727272727272727,0.34090909090909094,0.0,0.0,33.0,223.0,0.0,0.0,0.0,0.0,0.0,1.0,0.030303030303030304,2.0,0.06060606060606061,1.0,0.030303030303030304,1.0,0.030303030303030304,0.9633519649505615,0.01982954889535904,0.006703278515487909,0.006497461348772049,0.0018646686803549528,0.001753170625306666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,52.0,4.0,-0.3333333333333333,0.6666666666666666,0.0,0.0,37.0,294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02702702702702703,1.0,0.02702702702702703,1.0,0.02702702702702703,0.0,0.0,0.4181180000305176,0.09684786945581436,0.2767512798309326,0.19936905801296234,0.0039747427217662334,0.004939082078635693,1.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,proponent,50.0,2.0,0.05000000000000001,0.15000000000000002,0.0,0.0,41.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.024390243902439025,2.0,0.04878048780487805,1.0,0.024390243902439025,0.0035032997839152813,0.10503015667200089,0.00687855388969183,0.8827661275863647,0.001047506695613265,0.0007744102040305734,2.0,0.04878048780487805,1.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,opponent,54.0,7.0,-0.3,0.4,0.0,0.0,40.0,318.0,1.0,0.0,0.025,0.0,1.0,1.0,0.025,3.0,0.075,1.0,0.025,3.0,0.075,0.6162291765213013,0.03999333083629608,0.023157989606261253,0.3077065348625183,0.009953484870493412,0.002959571545943618,1.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,proponent,47.0,5.0,0.016666666666666673,0.35000000000000003,0.0,0.0,32.0,259.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03125,3.0,0.09375,2.0,0.0625,1.0,0.03125,0.04603801667690277,0.040115635842084885,0.0268789641559124,0.8833143711090088,0.0023231462109833956,0.0013298166450113058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,opponent,57.0,10.0,0.25,0.75,0.0,0.0,42.0,303.0,0.0,0.0,0.0,0.0,0.0,1.0,0.023809523809523808,2.0,0.047619047619047616,0.0,0.0,3.0,0.07142857142857142,0.021672461181879044,0.7920109629631042,0.10523371398448944,0.07814742624759674,0.0011274024145677686,0.0018079577712342143,2.0,0.047619047619047616,1.0,0.023809523809523808,0.0,0.0,2.0,0.047619047619047616,1.0,0.023809523809523808,0.0,0.0
4,proponent,43.0,8.0,0.3041666666666667,0.4041666666666667,0.0,0.0,42.0,293.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07142857142857142,5.0,0.11904761904761904,6.0,0.14285714285714285,0.0,0.0,0.9405030608177185,0.02390049584209919,0.013497726060450077,0.01683121547102928,0.001997622661292553,0.0032700435258448124,0.0,0.0,0.0,0.0,3.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
5,opponent,62.0,13.0,0.125,0.78125,0.0,0.0,32.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03125,0.0,0.0,0.0,0.0,0.0320771150290966,0.018079839646816254,0.8229739665985107,0.12018772214651108,0.0016315371030941606,0.005049773026257753,1.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,proponent,37.0,11.0,0.1,0.35,0.0,0.0,39.0,305.0,0.0,0.0,0.0,0.0,0.0,4.0,0.10256410256410256,3.0,0.07692307692307693,2.0,0.05128205128205128,0.0,0.0,0.011809390969574451,0.0296686552464962,0.6369685530662537,0.3158710300922394,0.0017150865169242024,0.003967334982007742,2.0,0.05128205128205128,2.0,0.05128205128205128,0.0,0.0,0.0,0.0,2.0,0.05128205128205128,1.0,0.02564102564102564
