round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_positive_count,nrc_positive_density,nrc_negative_count,nrc_negative_density,nrc_surprise_count,nrc_surprise_density,nrc_trust_count,nrc_trust_density,nrc_joy_count,nrc_joy_density,emotion_fear,emotion_anger,emotion_sadness,emotion_joy,emotion_surprise,emotion_love,nrc_fear_count,nrc_fear_density,nrc_sadness_count,nrc_sadness_density,nrc_anticipation_count,nrc_anticipation_density,nrc_disgust_count,nrc_disgust_density,nrc_anger_count,nrc_anger_density
1,opponent,50.0,1.0,0.0,0.5214285714285715,0.0,0.0,50.0,370.0,0.0,0.0,0.0,0.0,0.0,2.0,0.04,1.0,0.02,0.0,0.0,2.0,0.04,0.0,0.0,0.5519377589225769,0.2556188106536865,0.1426663100719452,0.04232700914144516,0.004922325722873211,0.0025277575477957726,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,0.08333333333333333,0.6333333333333333,0.0,0.0,33.0,222.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06060606060606061,1.0,0.030303030303030304,1.0,0.030303030303030304,1.0,0.030303030303030304,1.0,0.030303030303030304,0.7809927463531494,0.1630779653787613,0.0358634814620018,0.014458151534199715,0.00405830517411232,0.001549371751025319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,51.0,4.0,0.07500000000000001,0.375,0.0,0.0,36.0,248.0,0.0,0.0,0.0,0.0,0.0,1.0,0.027777777777777776,3.0,0.08333333333333333,0.0,0.0,1.0,0.027777777777777776,0.0,0.0,0.7317607402801514,0.2250644713640213,0.022875523194670677,0.011124040000140667,0.007363052573055029,0.0018121997127309442,0.0,0.0,0.0,0.0,1.0,0.027777777777777776,0.0,0.0,0.0,0.0
2,proponent,57.0,2.0,0.0375,0.19375,0.0,0.0,39.0,271.0,0.0,0.0,0.0,0.0,0.0,4.0,0.10256410256410256,4.0,0.10256410256410256,0.0,0.0,1.0,0.02564102564102564,0.0,0.0,0.06619462370872498,0.9260721802711487,0.004560678265988827,0.0015193279832601547,0.0009109702077694237,0.0007423191564157605,2.0,0.05128205128205128,1.0,0.02564102564102564,1.0,0.02564102564102564,1.0,0.02564102564102564,0.0,0.0
3,opponent,53.0,7.0,-0.3,0.4666666666666666,0.0,0.0,33.0,279.0,0.0,0.0,0.0,0.0,0.0,1.0,0.030303030303030304,2.0,0.06060606060606061,0.0,0.0,1.0,0.030303030303030304,0.0,0.0,0.03507447987794876,0.16423456370830536,0.7968486547470093,0.0016629168530926108,0.0013645270373672247,0.000814844504930079,1.0,0.030303030303030304,0.0,0.0,1.0,0.030303030303030304,0.0,0.0,0.0,0.0
3,proponent,56.0,5.0,-0.12666666666666665,0.2847619047619047,0.0,0.0,31.0,246.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06451612903225806,1.0,0.03225806451612903,0.0,0.0,1.0,0.03225806451612903,0.0,0.0,0.013532008044421673,0.3113861680030823,0.6675838828086853,0.004702892620116472,0.0011428389698266983,0.0016522456426173449,0.0,0.0,0.0,0.0,1.0,0.03225806451612903,0.0,0.0,0.0,0.0
4,opponent,55.0,10.0,0.27777777777777773,0.5,0.0,0.0,29.0,243.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06896551724137931,1.0,0.034482758620689655,0.0,0.0,1.0,0.034482758620689655,0.0,0.0,0.0015361998230218887,0.002617477672174573,0.001797069446183741,0.9890379905700684,0.0038563143461942673,0.0011549381306394935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,proponent,57.0,8.0,-0.033333333333333305,0.7111111111111111,0.0,0.0,36.0,271.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05555555555555555,2.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.07255367189645767,0.8931533694267273,0.026703286916017532,0.0049675158224999905,0.0017908420413732529,0.0008313143625855446,1.0,0.027777777777777776,2.0,0.05555555555555555,0.0,0.0,0.0,0.0,1.0,0.027777777777777776
5,opponent,56.0,13.0,0.07916666666666666,0.4583333333333333,0.0,0.0,37.0,294.0,0.0,0.0,0.0,0.0,0.0,3.0,0.08108108108108109,1.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.17291443049907684,0.08875874429941177,0.021379239857196808,0.7039890289306641,0.007978160865604877,0.004980471450835466,1.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,proponent,56.0,11.0,0.13333333333333333,0.24166666666666667,0.0,0.0,38.0,249.0,0.0,0.0,0.0,0.0,0.0,4.0,0.10526315789473684,1.0,0.02631578947368421,0.0,0.0,2.0,0.05263157894736842,0.0,0.0,0.048931095749139786,0.5076339840888977,0.2962007224559784,0.13783717155456543,0.004210259765386581,0.005186735186725855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02631578947368421
