round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_trust_count,nrc_trust_density,nrc_negative_count,nrc_negative_density,nrc_fear_count,nrc_fear_density,nrc_positive_count,nrc_positive_density,nrc_joy_count,nrc_joy_density,nrc_anger_count,nrc_anger_density,nrc_anticipation_count,nrc_anticipation_density,emotion_joy,emotion_sadness,emotion_fear,emotion_anger,emotion_surprise,emotion_love,nrc_sadness_count,nrc_sadness_density,nrc_disgust_count,nrc_disgust_density,nrc_surprise_count,nrc_surprise_density
1,opponent,50.0,1.0,0.15,0.5,0.0,0.0,53.0,366.0,0.0,0.0,0.0,0.0,0.0,3.0,0.05660377358490566,6.0,0.11320754716981132,5.0,0.09433962264150944,2.0,0.03773584905660377,1.0,0.018867924528301886,1.0,0.018867924528301886,0.0,0.0,0.021478615701198578,0.03958100080490112,0.041123270988464355,0.8921092748641968,0.0036735727917402983,0.0020342611242085695,1.0,0.018867924528301886,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,0.3333333333333333,0.35555555555555557,0.0,0.0,35.0,237.0,0.0,0.0,0.0,0.0,0.0,3.0,0.08571428571428572,3.0,0.08571428571428572,4.0,0.11428571428571428,3.0,0.08571428571428572,1.0,0.02857142857142857,1.0,0.02857142857142857,2.0,0.05714285714285714,0.9812264442443848,0.005904296413064003,0.004931645933538675,0.004170142579823732,0.002326559741050005,0.0014409489231184125,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,49.0,4.0,0.1875,0.375,0.0,0.0,42.0,302.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07142857142857142,2.0,0.047619047619047616,1.0,0.023809523809523808,2.0,0.047619047619047616,0.0,0.0,1.0,0.023809523809523808,1.0,0.023809523809523808,0.9492260813713074,0.027815479785203934,0.008489775471389294,0.008619905449450016,0.004015479236841202,0.001833206508308649,1.0,0.023809523809523808,0.0,0.0,0.0,0.0
2,proponent,56.0,2.0,-0.375,0.6666666666666666,0.0,0.0,41.0,263.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0975609756097561,6.0,0.14634146341463414,6.0,0.14634146341463414,5.0,0.12195121951219512,2.0,0.04878048780487805,3.0,0.07317073170731707,2.0,0.04878048780487805,0.9334460496902466,0.012296601198613644,0.004211151972413063,0.04448584467172623,0.0014764696825295687,0.004083911422640085,1.0,0.024390243902439025,3.0,0.07317073170731707,1.0,0.024390243902439025
3,opponent,51.0,7.0,0.049999999999999996,0.19166666666666665,0.0,0.0,47.0,349.0,0.0,1.0,0.0,0.02127659574468085,-1.0,2.0,0.0425531914893617,5.0,0.10638297872340426,2.0,0.0425531914893617,2.0,0.0425531914893617,0.0,0.0,1.0,0.02127659574468085,0.0,0.0,0.07899264246225357,0.024662692099809647,0.04308835417032242,0.846921443939209,0.003257574513554573,0.003077199449762702,2.0,0.0425531914893617,1.0,0.02127659574468085,0.0,0.0
3,proponent,53.0,5.0,-0.25,0.75,0.0,0.0,40.0,304.0,0.0,0.0,0.0,0.0,0.0,1.0,0.025,2.0,0.05,1.0,0.025,4.0,0.1,1.0,0.025,0.0,0.0,0.0,0.0,0.015058544464409351,0.1955578625202179,0.7431972026824951,0.04165642708539963,0.0023726169019937515,0.002157367765903473,2.0,0.05,0.0,0.0,0.0,0.0
4,opponent,52.0,10.0,0.16249999999999998,0.35,0.0,0.0,26.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.038461538461538464,1.0,0.038461538461538464,2.0,0.07692307692307693,0.0,0.0,0.0,0.0,1.0,0.038461538461538464,0.888068675994873,0.021923508495092392,0.07038561999797821,0.007013559807091951,0.01046590693295002,0.002142710145562887,1.0,0.038461538461538464,0.0,0.0,0.0,0.0
4,proponent,55.0,8.0,-0.027083333333333338,0.5317460317460317,0.0,0.0,48.0,332.0,0.0,0.0,0.0,0.0,0.0,1.0,0.020833333333333332,8.0,0.16666666666666666,4.0,0.08333333333333333,4.0,0.08333333333333333,0.0,0.0,3.0,0.0625,0.0,0.0,0.059780046343803406,0.19502441585063934,0.4731447100639343,0.2646102011203766,0.004424542188644409,0.0030161680188030005,1.0,0.020833333333333332,0.0,0.0,1.0,0.020833333333333332
5,opponent,54.0,13.0,0.14666666666666667,0.53,0.0,0.0,37.0,289.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05405405405405406,1.0,0.02702702702702703,0.0,0.0,4.0,0.10810810810810811,1.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.9959697723388672,0.0007859046454541385,0.0005746460519731045,0.0006898395949974656,0.0006630129646509886,0.0013169017620384693,0.0,0.0,0.0,0.0,0.0,0.0
5,proponent,50.0,11.0,0.04999999999999999,1.0,0.0,0.0,36.0,264.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05555555555555555,3.0,0.08333333333333333,1.0,0.027777777777777776,3.0,0.08333333333333333,1.0,0.027777777777777776,1.0,0.027777777777777776,1.0,0.027777777777777776,0.006368736736476421,0.00682759890332818,0.9423102736473083,0.04130813851952553,0.0018394634826108813,0.001345834811218083,0.0,0.0,0.0,0.0,0.0,0.0
