round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_negative_count,nrc_negative_density,emotion_joy,emotion_anger,emotion_fear,emotion_sadness,emotion_surprise,emotion_love,nrc_positive_count,nrc_positive_density,nrc_trust_count,nrc_trust_density,nrc_joy_count,nrc_joy_density,nrc_disgust_count,nrc_disgust_density,nrc_fear_count,nrc_fear_density,nrc_anger_count,nrc_anger_density
1,opponent,55.0,1.0,0.12777777777777777,0.2722222222222222,0.0,0.0,34.0,239.0,0.0,1.0,0.0,0.029411764705882353,-1.0,2.0,0.058823529411764705,0.06297373026609421,0.8234848380088806,0.08460364490747452,0.021671831607818604,0.004142264369875193,0.0031236023642122746,2.0,0.058823529411764705,1.0,0.029411764705882353,1.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,0.03333333333333333,0.06666666666666667,0.0,0.0,17.0,116.0,0.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,0.4421631693840027,0.348838210105896,0.12922723591327667,0.059620652347803116,0.010555608198046684,0.009595198556780815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,56.0,4.0,0.09666666666666665,0.26333333333333336,0.0,0.0,28.0,191.0,0.0,0.0,0.0,0.0,0.0,4.0,0.14285714285714285,0.0826052576303482,0.4175699055194855,0.45169126987457275,0.035831935703754425,0.008091093972325325,0.004210538696497679,4.0,0.14285714285714285,2.0,0.07142857142857142,1.0,0.03571428571428571,1.0,0.03571428571428571,2.0,0.07142857142857142,1.0,0.03571428571428571
2,proponent,54.0,2.0,-0.075,0.42291666666666666,0.0,0.0,24.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.939735472202301,0.022674420848488808,0.00590303773060441,0.023180002346634865,0.002581912325695157,0.005925000179558992,1.0,0.041666666666666664,1.0,0.041666666666666664,1.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
3,opponent,56.0,7.0,0.03333333333333333,0.16666666666666666,0.0,0.0,28.0,203.0,0.0,0.0,0.0,0.0,0.0,4.0,0.14285714285714285,0.037066079676151276,0.2597709000110626,0.6496116518974304,0.042284682393074036,0.00717916339635849,0.0040875691920518875,3.0,0.10714285714285714,1.0,0.03571428571428571,0.0,0.0,1.0,0.03571428571428571,2.0,0.07142857142857142,1.0,0.03571428571428571
3,proponent,53.0,5.0,-0.09999999999999999,0.23055555555555554,0.0,0.0,24.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9390555024147034,0.03484516590833664,0.006063384469598532,0.014371843077242374,0.0018663328373804688,0.0037977721076458693,1.0,0.041666666666666664,1.0,0.041666666666666664,1.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
4,opponent,56.0,10.0,0.09666666666666665,0.26333333333333336,0.0,0.0,34.0,231.0,0.0,0.0,0.0,0.0,0.0,4.0,0.11764705882352941,0.09047024697065353,0.4016932547092438,0.4579237997531891,0.0353362113237381,0.009288202039897442,0.005288327112793922,4.0,0.11764705882352941,2.0,0.058823529411764705,1.0,0.029411764705882353,1.0,0.029411764705882353,2.0,0.058823529411764705,1.0,0.029411764705882353
4,proponent,50.0,8.0,0.016666666666666666,0.08333333333333334,0.0,0.0,18.0,132.0,1.0,0.0,0.05555555555555555,0.0,1.0,0.0,0.0,0.0016755058895796537,0.991773784160614,0.0033680563792586327,0.0021068667992949486,0.0003435012185946107,0.0007322528399527073,1.0,0.05555555555555555,1.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,opponent,57.0,13.0,0.09666666666666665,0.26333333333333336,0.0,0.0,34.0,231.0,0.0,0.0,0.0,0.0,0.0,4.0,0.11764705882352941,0.09047024697065353,0.4016932547092438,0.4579237997531891,0.0353362113237381,0.009288202039897442,0.005288327112793922,4.0,0.11764705882352941,2.0,0.058823529411764705,1.0,0.029411764705882353,1.0,0.029411764705882353,2.0,0.058823529411764705,1.0,0.029411764705882353
5,proponent,49.0,11.0,0.016666666666666666,0.08333333333333334,0.0,0.0,22.0,150.0,0.0,0.0,0.0,0.0,0.0,1.0,0.045454545454545456,0.08516493439674377,0.8137833476066589,0.06240468844771385,0.03026266023516655,0.0034471359103918076,0.004937238525599241,0.0,0.0,1.0,0.045454545454545456,0.0,0.0,0.0,0.0,1.0,0.045454545454545456,1.0,0.045454545454545456
