round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_negative_count,nrc_negative_density,nrc_fear_count,nrc_fear_density,nrc_positive_count,nrc_positive_density,nrc_anticipation_count,nrc_anticipation_density,nrc_trust_count,nrc_trust_density,nrc_anger_count,nrc_anger_density,nrc_sadness_count,nrc_sadness_density,emotion_anger,emotion_joy,emotion_fear,emotion_sadness,emotion_love,emotion_surprise,nrc_disgust_count,nrc_disgust_density
1,opponent,55.0,1.0,0.4666666666666666,0.4666666666666666,0.0,0.0,37.0,244.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05405405405405406,3.0,0.08108108108108109,4.0,0.10810810810810811,1.0,0.02702702702702703,4.0,0.10810810810810811,0.0,0.0,1.0,0.02702702702702703,0.0017670305678620934,0.982951819896698,0.006330225616693497,0.005680322181433439,0.000683038670103997,0.002587638096883893,1.0,0.02702702702702703
1,proponent,55.0,0.0,0.0,0.0,0.0,0.0,13.0,102.0,0.0,0.0,0.0,0.0,0.0,2.0,0.15384615384615385,2.0,0.15384615384615385,3.0,0.23076923076923078,1.0,0.07692307692307693,1.0,0.07692307692307693,1.0,0.07692307692307693,1.0,0.07692307692307693,0.9485055804252625,0.017390625551342964,0.016322670504450798,0.013134987093508244,0.0027288731653243303,0.0019171707099303603,0.0,0.0
2,opponent,60.0,4.0,0.4666666666666666,0.4666666666666666,0.0,0.0,14.0,97.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,1.0,0.07142857142857142,1.0,0.07142857142857142,1.0,0.07142857142857142,2.0,0.14285714285714285,0.0,0.0,1.0,0.07142857142857142,0.0003895068366546184,0.9959619641304016,0.0011734403669834137,0.0012288480065762997,0.0003045841585844755,0.0009416996035724878,1.0,0.07142857142857142
2,proponent,60.0,2.0,0.0,0.0,0.0,0.0,20.0,134.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.05,1.0,0.05,0.0,0.0,2.0,0.1,1.0,0.05,1.0,0.05,0.7689430117607117,0.08027511090040207,0.023582378402352333,0.11874276399612427,0.005814679898321629,0.002641950035467744,0.0,0.0
3,opponent,60.0,7.0,0.4666666666666666,0.4666666666666666,0.0,0.0,14.0,97.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,1.0,0.07142857142857142,1.0,0.07142857142857142,1.0,0.07142857142857142,2.0,0.14285714285714285,0.0,0.0,1.0,0.07142857142857142,0.0003895068366546184,0.9959619641304016,0.0011734403669834137,0.0012288480065762997,0.0003045841585844755,0.0009416996035724878,1.0,0.07142857142857142
3,proponent,60.0,5.0,0.125,0.125,0.0,0.0,22.0,151.0,0.0,0.0,0.0,0.0,0.0,1.0,0.045454545454545456,1.0,0.045454545454545456,2.0,0.09090909090909091,0.0,0.0,1.0,0.045454545454545456,1.0,0.045454545454545456,1.0,0.045454545454545456,0.45929571986198425,0.029551705345511436,0.47638899087905884,0.01812274195253849,0.009194091893732548,0.007446751929819584,0.0,0.0
4,opponent,60.0,10.0,0.25,0.25,0.0,0.0,19.0,144.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,1.0,0.05263157894736842,2.0,0.10526315789473684,0.0,0.0,3.0,0.15789473684210525,1.0,0.05263157894736842,2.0,0.10526315789473684,0.12788860499858856,0.7289067506790161,0.03574027493596077,0.08242174983024597,0.016395701095461845,0.008646938018500805,0.0,0.0
4,proponent,59.0,8.0,0.0,0.0,0.0,0.0,13.0,97.0,0.0,0.0,0.0,0.0,0.0,2.0,0.15384615384615385,2.0,0.15384615384615385,2.0,0.15384615384615385,0.0,0.0,1.0,0.07692307692307693,1.0,0.07692307692307693,1.0,0.07692307692307693,0.9069251418113708,0.03716303035616875,0.018585311248898506,0.029008295387029648,0.005130605306476355,0.003187484573572874,0.0,0.0
5,opponent,60.0,13.0,0.25,0.25,0.0,0.0,19.0,144.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,1.0,0.05263157894736842,2.0,0.10526315789473684,0.0,0.0,3.0,0.15789473684210525,1.0,0.05263157894736842,2.0,0.10526315789473684,0.12788860499858856,0.7289067506790161,0.03574027493596077,0.08242174983024597,0.016395701095461845,0.008646938018500805,0.0,0.0
5,proponent,60.0,11.0,0.0,0.0,0.0,0.0,16.0,123.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0625,2.0,0.125,1.0,0.0625,0.0,0.0,0.0,0.0,2.0,0.125,1.0,0.0625,0.6561170220375061,0.08378413319587708,0.23168621957302094,0.014018828980624676,0.0066631329245865345,0.0077307517640292645,0.0,0.0
