round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_positive_count,nrc_positive_density,nrc_trust_count,nrc_trust_density,nrc_anticipation_count,nrc_anticipation_density,emotion_joy,emotion_anger,emotion_sadness,emotion_love,emotion_fear,emotion_surprise,nrc_anger_count,nrc_anger_density,nrc_surprise_count,nrc_surprise_density,nrc_sadness_count,nrc_sadness_density,nrc_disgust_count,nrc_disgust_density,nrc_negative_count,nrc_negative_density,nrc_fear_count,nrc_fear_density
1,opponent,60.0,1.0,-0.08333333333333333,0.4333333333333333,0.0,0.0,36.0,241.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1388888888888889,2.0,0.05555555555555555,3.0,0.08333333333333333,0.9686813354492188,0.007505918852984905,0.017069093883037567,0.0015680212527513504,0.0037284819409251213,0.0014471948379650712,2.0,0.05555555555555555,1.0,0.027777777777777776,1.0,0.027777777777777776,1.0,0.027777777777777776,2.0,0.05555555555555555,1.0,0.027777777777777776
1,proponent,55.0,0.0,-0.06666666666666667,0.18888888888888888,0.0,0.0,16.0,99.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1875,1.0,0.0625,1.0,0.0625,0.9666178226470947,0.01947512850165367,0.0067259459756314754,0.004759625066071749,0.0013612773036584258,0.0010601916583254933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,61.0,4.0,0.0,0.705,0.0,0.0,51.0,328.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0392156862745098,2.0,0.0392156862745098,0.0,0.0,0.90162593126297,0.014857296831905842,0.056705836206674576,0.0024922622833400965,0.02201521396636963,0.0023032904136925936,0.0,0.0,0.0,0.0,1.0,0.0196078431372549,0.0,0.0,1.0,0.0196078431372549,1.0,0.0196078431372549
2,proponent,53.0,2.0,0.0,1.0,1.0,0.0,24.0,178.0,0.0,0.0,0.0,0.0,0.0,1.0,0.041666666666666664,1.0,0.041666666666666664,0.0,0.0,0.6259967088699341,0.046762336045503616,0.1404728889465332,0.004407934844493866,0.1788041889667511,0.0035559935495257378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,opponent,63.0,7.0,0.06818181818181818,0.7272727272727273,0.0,0.0,26.0,166.0,1.0,0.0,0.038461538461538464,0.0,1.0,2.0,0.07692307692307693,1.0,0.038461538461538464,1.0,0.038461538461538464,0.014640789479017258,0.8908949494361877,0.005870299879461527,0.0017410523723810911,0.08484399318695068,0.002008981304243207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07692307692307693,0.0,0.0
3,proponent,50.0,5.0,-0.125,0.375,0.0,0.0,15.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,1.0,0.06666666666666667,0.0015190334524959326,0.004049100447446108,0.0013882233761250973,0.0010121231898665428,0.989788293838501,0.002243303693830967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,1.0,0.06666666666666667
4,opponent,65.0,10.0,0.06818181818181818,0.7272727272727273,0.0,0.0,26.0,166.0,1.0,0.0,0.038461538461538464,0.0,1.0,2.0,0.07692307692307693,1.0,0.038461538461538464,1.0,0.038461538461538464,0.014640789479017258,0.8908949494361877,0.005870299879461527,0.0017410523723810911,0.08484399318695068,0.002008981304243207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07692307692307693,0.0,0.0
4,proponent,47.0,8.0,0.0,1.0,0.0,0.0,15.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23483221232891083,0.03817347064614296,0.6349676847457886,0.007092954590916634,0.08126990497112274,0.0036637792363762856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,opponent,67.0,13.0,0.06818181818181818,0.7272727272727273,0.0,0.0,26.0,166.0,1.0,0.0,0.038461538461538464,0.0,1.0,2.0,0.07692307692307693,1.0,0.038461538461538464,1.0,0.038461538461538464,0.014640789479017258,0.8908949494361877,0.005870299879461527,0.0017410523723810911,0.08484399318695068,0.002008981304243207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07692307692307693,0.0,0.0
5,proponent,44.0,11.0,-0.125,0.375,0.0,0.0,16.0,107.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0625,1.0,0.0625,0.0,0.0,0.9746258854866028,0.0019531238358467817,0.0189845971763134,0.0007996539934538305,0.003003654070198536,0.0006331209442578256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
