round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_trust_count,nrc_trust_density,nrc_negative_count,nrc_negative_density,emotion_anger,emotion_fear,emotion_joy,emotion_sadness,emotion_surprise,emotion_love,nrc_positive_count,nrc_positive_density,nrc_joy_count,nrc_joy_density,nrc_anger_count,nrc_anger_density,nrc_fear_count,nrc_fear_density
1,opponent,55.0,1.0,0.13489583333333333,0.3760416666666667,0.0,0.0,32.0,229.0,0.0,1.0,0.0,0.03125,-1.0,1.0,0.03125,2.0,0.0625,0.8030228614807129,0.03809729963541031,0.1211937665939331,0.02748345024883747,0.003518694546073675,0.0066840145736932755,2.0,0.0625,1.0,0.03125,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,0.016666666666666666,0.08333333333333334,0.0,0.0,17.0,126.0,0.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,1.0,0.058823529411764705,0.6676781177520752,0.13727819919586182,0.11868513375520706,0.06188410520553589,0.0073909880593419075,0.0070833745412528515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,56.0,4.0,0.07666666666666666,0.5433333333333333,0.0,0.0,28.0,192.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03571428571428571,1.0,0.03571428571428571,0.08072076737880707,0.3896843492984772,0.4440946578979492,0.06874657422304153,0.009087353944778442,0.007666175719350576,3.0,0.10714285714285714,2.0,0.07142857142857142,1.0,0.03571428571428571,1.0,0.03571428571428571
2,proponent,53.0,2.0,0.011111111111111112,0.35555555555555557,0.0,0.0,21.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06680594384670258,0.6417656540870667,0.23556524515151978,0.036258671432733536,0.011308407410979271,0.008296087384223938,1.0,0.047619047619047616,1.0,0.047619047619047616,0.0,0.0,0.0,0.0
3,opponent,57.0,7.0,0.09583333333333333,0.4541666666666667,0.0,0.0,25.0,172.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.04,0.891204833984375,0.034986741840839386,0.057634685188531876,0.010763783939182758,0.0020469813607633114,0.0033629275858402252,2.0,0.08,1.0,0.04,1.0,0.04,1.0,0.04
3,proponent,51.0,5.0,0.016666666666666666,0.08333333333333334,0.0,0.0,21.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5716437101364136,0.22438623011112213,0.14563660323619843,0.03667955473065376,0.01218689139932394,0.009466997347772121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,opponent,58.0,10.0,0.09583333333333333,0.4541666666666667,0.0,0.0,25.0,172.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.04,0.891204833984375,0.034986741840839386,0.057634685188531876,0.010763783939182758,0.0020469813607633114,0.0033629275858402252,2.0,0.08,1.0,0.04,1.0,0.04,1.0,0.04
4,proponent,49.0,8.0,0.016666666666666666,0.08333333333333334,0.0,0.0,21.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5716437101364136,0.22438623011112213,0.14563660323619843,0.03667955473065376,0.01218689139932394,0.009466997347772121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,opponent,60.0,13.0,0.09583333333333333,0.4541666666666667,0.0,0.0,25.0,172.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.04,0.891204833984375,0.034986741840839386,0.057634685188531876,0.010763783939182758,0.0020469813607633114,0.0033629275858402252,2.0,0.08,1.0,0.04,1.0,0.04,1.0,0.04
5,proponent,46.0,11.0,0.016666666666666666,0.08333333333333334,0.0,0.0,21.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5716437101364136,0.22438623011112213,0.14563660323619843,0.03667955473065376,0.01218689139932394,0.009466997347772121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
