round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_trust_count,nrc_trust_density,nrc_positive_count,nrc_positive_density,nrc_surprise_count,nrc_surprise_density,nrc_fear_count,nrc_fear_density,nrc_joy_count,nrc_joy_density,nrc_anger_count,nrc_anger_density,nrc_negative_count,nrc_negative_density,nrc_disgust_count,nrc_disgust_density,nrc_anticipation_count,nrc_anticipation_density,emotion_fear,emotion_joy,emotion_anger,emotion_sadness,emotion_surprise,emotion_love,nrc_sadness_count,nrc_sadness_density
1,opponent,50.0,1.0,0.4,0.55,0.0,0.0,54.0,408.0,0.0,0.0,0.0,0.0,0.0,4.0,0.07407407407407407,3.0,0.05555555555555555,0.0,0.0,6.0,0.1111111111111111,2.0,0.037037037037037035,1.0,0.018518518518518517,5.0,0.09259259259259259,0.0,0.0,2.0,0.037037037037037035,0.30295148491859436,0.03979216516017914,0.5910673141479492,0.0453609898686409,0.01518933940678835,0.005638664122670889,0.0,0.0
1,proponent,55.0,0.0,0.0,0.7,0.0,0.0,38.0,252.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02631578947368421,4.0,0.10526315789473684,1.0,0.02631578947368421,5.0,0.13157894736842105,1.0,0.02631578947368421,3.0,0.07894736842105263,3.0,0.07894736842105263,1.0,0.02631578947368421,2.0,0.05263157894736842,0.5666552186012268,0.25197258591651917,0.11400850117206573,0.034218642860651016,0.021267138421535492,0.011877902783453465,0.0,0.0
2,opponent,50.0,4.0,0.25,0.4666666666666666,0.0,0.0,38.0,303.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05263157894736842,2.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.055132925510406494,0.22553378343582153,0.644740104675293,0.059472110122442245,0.00891413539648056,0.0062069958075881,0.0,0.0
2,proponent,60.0,2.0,0.125,0.375,0.0,0.0,34.0,245.0,0.0,0.0,0.0,0.0,0.0,2.0,0.058823529411764705,2.0,0.058823529411764705,0.0,0.0,1.0,0.029411764705882353,1.0,0.029411764705882353,1.0,0.029411764705882353,2.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.009306764230132103,0.008046003058552742,0.95786052942276,0.022337626665830612,0.0008319872431457043,0.0016171960160136223,0.0,0.0
3,opponent,55.0,7.0,-0.13333333333333333,0.3,0.0,0.0,43.0,319.0,0.0,0.0,0.0,0.0,0.0,2.0,0.046511627906976744,2.0,0.046511627906976744,0.0,0.0,2.0,0.046511627906976744,1.0,0.023255813953488372,2.0,0.046511627906976744,3.0,0.06976744186046512,0.0,0.0,0.0,0.0,0.23378433287143707,0.39003637433052063,0.09458813816308975,0.25648921728134155,0.019811222329735756,0.005290843080729246,0.0,0.0
3,proponent,50.0,5.0,0.0,0.0,0.0,0.0,46.0,303.0,0.0,0.0,0.0,0.0,0.0,3.0,0.06521739130434782,5.0,0.10869565217391304,0.0,0.0,3.0,0.06521739130434782,2.0,0.043478260869565216,1.0,0.021739130434782608,3.0,0.06521739130434782,0.0,0.0,0.0,0.0,0.014136075042188168,0.002472050953656435,0.004060337319970131,0.9776331782341003,0.0007706531905569136,0.0009275148622691631,1.0,0.021739130434782608
4,opponent,50.0,10.0,0.0,0.5,0.0,0.0,41.0,270.0,0.0,0.0,0.0,0.0,0.0,1.0,0.024390243902439025,3.0,0.07317073170731707,1.0,0.024390243902439025,4.0,0.0975609756097561,1.0,0.024390243902439025,2.0,0.04878048780487805,4.0,0.0975609756097561,1.0,0.024390243902439025,1.0,0.024390243902439025,0.5612876415252686,0.09377483278512955,0.2627522349357605,0.024215558543801308,0.05390571802854538,0.004064005799591541,0.0,0.0
4,proponent,45.0,8.0,-0.4083333333333333,0.4,0.0,0.0,38.0,268.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07894736842105263,3.0,0.07894736842105263,0.0,0.0,2.0,0.05263157894736842,1.0,0.02631578947368421,1.0,0.02631578947368421,3.0,0.07894736842105263,1.0,0.02631578947368421,0.0,0.0,0.026800602674484253,0.44693779945373535,0.3746011555194855,0.1289740949869156,0.003638691734522581,0.01904774270951748,1.0,0.02631578947368421
5,opponent,55.0,13.0,0.25,0.25,0.0,0.0,35.0,277.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05714285714285714,3.0,0.08571428571428572,0.0,0.0,2.0,0.05714285714285714,1.0,0.02857142857142857,0.0,0.0,1.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.01578943431377411,0.9710909724235535,0.0036220233887434006,0.005696892272680998,0.002951058791950345,0.000849657750222832,0.0,0.0
5,proponent,44.0,11.0,0.125,0.3035714285714286,0.0,0.0,44.0,312.0,0.0,0.0,0.0,0.0,0.0,2.0,0.045454545454545456,6.0,0.13636363636363635,1.0,0.022727272727272728,4.0,0.09090909090909091,2.0,0.045454545454545456,2.0,0.045454545454545456,5.0,0.11363636363636363,1.0,0.022727272727272728,0.0,0.0,0.033657532185316086,0.002509879879653454,0.8141582608222961,0.14748026430606842,0.0011840887600556016,0.0010099989594891667,1.0,0.022727272727272728
