round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_positive_count,nrc_positive_density,nrc_negative_count,nrc_negative_density,nrc_trust_count,nrc_trust_density,nrc_disgust_count,nrc_disgust_density,nrc_anger_count,nrc_anger_density,nrc_fear_count,nrc_fear_density,nrc_sadness_count,nrc_sadness_density,emotion_sadness,emotion_joy,emotion_anger,emotion_fear,emotion_love,emotion_surprise,nrc_surprise_count,nrc_surprise_density,nrc_joy_count,nrc_joy_density,nrc_anticipation_count,nrc_anticipation_density
1,opponent,55.0,1.0,0.09444444444444444,0.8166666666666665,0.0,0.0,46.0,343.0,0.0,1.0,0.0,0.021739130434782608,-1.0,5.0,0.10869565217391304,2.0,0.043478260869565216,2.0,0.043478260869565216,1.0,0.021739130434782608,1.0,0.021739130434782608,1.0,0.021739130434782608,0.0,0.0,0.11699032783508301,0.8109541535377502,0.05834893882274628,0.006786012090742588,0.004816812463104725,0.00210375664755702,0.0,0.0,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,-0.05833333333333332,0.44999999999999996,0.0,0.0,25.0,210.0,0.0,0.0,0.0,0.0,0.0,3.0,0.12,2.0,0.08,1.0,0.04,1.0,0.04,1.0,0.04,1.0,0.04,1.0,0.04,0.5203657150268555,0.36342138051986694,0.07423640042543411,0.01974101923406124,0.01275443285703659,0.009481105953454971,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,56.0,4.0,0.22083333333333333,0.5291666666666667,0.0,0.0,53.0,377.0,0.0,0.0,0.0,0.0,0.0,5.0,0.09433962264150944,6.0,0.11320754716981132,2.0,0.03773584905660377,2.0,0.03773584905660377,2.0,0.03773584905660377,2.0,0.03773584905660377,0.0,0.0,0.15084901452064514,0.03931379318237305,0.7969857454299927,0.00815675687044859,0.0029586346354335546,0.0017360749188810587,0.0,0.0,0.0,0.0,1.0,0.018867924528301886
2,proponent,50.0,2.0,0.18452380952380953,0.27976190476190477,0.0,0.0,38.0,285.0,0.0,0.0,0.0,0.0,0.0,5.0,0.13157894736842105,3.0,0.07894736842105263,4.0,0.10526315789473684,1.0,0.02631578947368421,1.0,0.02631578947368421,1.0,0.02631578947368421,1.0,0.02631578947368421,0.38338473439216614,0.016474641859531403,0.5821370482444763,0.015437692403793335,0.0014703295892104506,0.0010955877369269729,1.0,0.02631578947368421,1.0,0.02631578947368421,1.0,0.02631578947368421
3,opponent,57.0,7.0,0.08499999999999999,0.495,0.0,0.0,37.0,275.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05405405405405406,3.0,0.08108108108108109,1.0,0.02702702702702703,1.0,0.02702702702702703,1.0,0.02702702702702703,1.0,0.02702702702702703,0.0,0.0,0.1897403597831726,0.012003891170024872,0.7780461311340332,0.018094327300786972,0.0010956674814224243,0.00101957144215703,0.0,0.0,0.0,0.0,1.0,0.02702702702702703
3,proponent,48.0,5.0,-0.07142857142857142,0.21428571428571427,0.0,0.0,40.0,301.0,0.0,0.0,0.0,0.0,0.0,3.0,0.075,1.0,0.025,2.0,0.05,0.0,0.0,1.0,0.025,1.0,0.025,0.0,0.0,0.17971692979335785,0.12841810286045074,0.6445790529251099,0.040591154247522354,0.004979163408279419,0.0017155698733404279,0.0,0.0,1.0,0.025,0.0,0.0
4,opponent,58.0,10.0,-0.05833333333333333,0.39166666666666666,0.0,0.0,31.0,219.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06451612903225806,4.0,0.12903225806451613,1.0,0.03225806451612903,2.0,0.06451612903225806,3.0,0.0967741935483871,2.0,0.06451612903225806,1.0,0.03225806451612903,0.019383862614631653,0.9494480490684509,0.024942979216575623,0.0029621110297739506,0.0016655297949910164,0.0015975735150277615,0.0,0.0,0.0,0.0,0.0,0.0
4,proponent,46.0,8.0,0.1761904761904762,0.5714285714285714,0.0,0.0,34.0,220.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029411764705882353,2.0,0.058823529411764705,2.0,0.058823529411764705,2.0,0.058823529411764705,2.0,0.058823529411764705,2.0,0.058823529411764705,1.0,0.029411764705882353,0.005677195731550455,0.9905838966369629,0.002072518691420555,0.0006728232838213444,0.000553841411601752,0.0004397898446768522,0.0,0.0,0.0,0.0,2.0,0.058823529411764705
5,opponent,60.0,13.0,-0.16875,0.54375,0.0,0.0,38.0,263.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05263157894736842,4.0,0.10526315789473684,1.0,0.02631578947368421,2.0,0.05263157894736842,3.0,0.07894736842105263,3.0,0.07894736842105263,1.0,0.02631578947368421,0.12966319918632507,0.655678391456604,0.14569950103759766,0.05901530012488365,0.003239973681047559,0.006703541148453951,0.0,0.0,0.0,0.0,0.0,0.0
5,proponent,43.0,11.0,0.033333333333333326,0.6190476190476191,0.0,0.0,35.0,278.0,0.0,0.0,0.0,0.0,0.0,3.0,0.08571428571428572,4.0,0.11428571428571428,3.0,0.08571428571428572,1.0,0.02857142857142857,1.0,0.02857142857142857,3.0,0.08571428571428572,0.0,0.0,0.03924787417054176,0.12144052237272263,0.7746829390525818,0.05756217613816261,0.0022962347138673067,0.004770262166857719,1.0,0.02857142857142857,0.0,0.0,0.0,0.0
