round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_positive_count,nrc_positive_density,nrc_negative_count,nrc_negative_density,nrc_trust_count,nrc_trust_density,nrc_fear_count,nrc_fear_density,emotion_fear,emotion_sadness,emotion_anger,emotion_joy,emotion_surprise,emotion_love,nrc_sadness_count,nrc_sadness_density,nrc_anger_count,nrc_anger_density,nrc_joy_count,nrc_joy_density,nrc_surprise_count,nrc_surprise_density,nrc_anticipation_count,nrc_anticipation_density
1,opponent,55.0,1.0,0.35000000000000003,0.21666666666666667,0.0,0.0,51.0,317.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0392156862745098,1.0,0.0196078431372549,2.0,0.0392156862745098,1.0,0.0196078431372549,0.1717880368232727,0.1329677850008011,0.5655140280723572,0.10327942669391632,0.015952035784721375,0.010498687624931335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,-0.19999999999999998,0.5,0.0,0.0,33.0,255.0,0.0,0.0,0.0,0.0,0.0,3.0,0.09090909090909091,4.0,0.12121212121212122,1.0,0.030303030303030304,1.0,0.030303030303030304,0.7561282515525818,0.17683207988739014,0.05090871453285217,0.006972210016101599,0.006161544006317854,0.0029971846379339695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,56.0,4.0,0.35000000000000003,0.21666666666666667,0.0,0.0,50.0,309.0,0.0,0.0,0.0,0.0,0.0,2.0,0.04,1.0,0.02,2.0,0.04,1.0,0.02,0.20129993557929993,0.16077011823654175,0.4957512617111206,0.11122561991214752,0.019315732643008232,0.011637378484010696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,proponent,50.0,2.0,-0.125,0.375,0.0,0.0,39.0,280.0,0.0,0.0,0.0,0.0,0.0,4.0,0.10256410256410256,3.0,0.07692307692307693,1.0,0.02564102564102564,2.0,0.05128205128205128,0.4349539875984192,0.17102161049842834,0.12284456938505173,0.24984416365623474,0.01764286495745182,0.003692830679938197,1.0,0.02564102564102564,1.0,0.02564102564102564,1.0,0.02564102564102564,1.0,0.02564102564102564,0.0,0.0
3,opponent,58.0,7.0,0.35000000000000003,0.21666666666666667,0.0,0.0,50.0,309.0,0.0,0.0,0.0,0.0,0.0,2.0,0.04,1.0,0.02,2.0,0.04,1.0,0.02,0.20129993557929993,0.16077011823654175,0.4957512617111206,0.11122561991214752,0.019315732643008232,0.011637378484010696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,proponent,51.0,5.0,0.08333333333333333,0.15833333333333333,0.0,0.0,45.0,295.0,0.0,0.0,0.0,0.0,0.0,2.0,0.044444444444444446,4.0,0.08888888888888889,2.0,0.044444444444444446,1.0,0.022222222222222223,0.3022543489933014,0.08689575642347336,0.5587392449378967,0.044518157839775085,0.004522302187979221,0.003070209873840213,1.0,0.022222222222222223,2.0,0.044444444444444446,0.0,0.0,0.0,0.0,1.0,0.022222222222222223
4,opponent,61.0,10.0,0.35000000000000003,0.21666666666666667,0.0,0.0,50.0,309.0,0.0,0.0,0.0,0.0,0.0,2.0,0.04,1.0,0.02,2.0,0.04,1.0,0.02,0.20129993557929993,0.16077011823654175,0.4957512617111206,0.11122561991214752,0.019315732643008232,0.011637378484010696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,proponent,49.0,8.0,-0.03333333333333333,0.06666666666666667,0.0,0.0,37.0,274.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05405405405405406,1.0,0.02702702702702703,3.0,0.08108108108108109,0.0,0.0,0.014639804139733315,0.0041187782771885395,0.974690318107605,0.0047663431614637375,0.0011746300151571631,0.0006101529579609632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02702702702702703
5,opponent,60.0,13.0,0.35000000000000003,0.21666666666666667,0.0,0.0,50.0,309.0,0.0,0.0,0.0,0.0,0.0,2.0,0.04,1.0,0.02,2.0,0.04,1.0,0.02,0.20129993557929993,0.16077011823654175,0.4957512617111206,0.11122561991214752,0.019315732643008232,0.011637378484010696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,proponent,51.0,11.0,-0.04285714285714285,0.40714285714285714,0.0,0.0,33.0,236.0,0.0,0.0,0.0,0.0,0.0,1.0,0.030303030303030304,4.0,0.12121212121212122,1.0,0.030303030303030304,2.0,0.06060606060606061,0.03693654015660286,0.10265142470598221,0.7607678771018982,0.09068458527326584,0.003985083661973476,0.004974428564310074,1.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.030303030303030304
