round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_fear_count,nrc_fear_density,nrc_anticipation_count,nrc_anticipation_density,nrc_trust_count,nrc_trust_density,nrc_positive_count,nrc_positive_density,nrc_disgust_count,nrc_disgust_density,nrc_joy_count,nrc_joy_density,nrc_anger_count,nrc_anger_density,emotion_joy,emotion_anger,emotion_fear,emotion_sadness,emotion_love,emotion_surprise,nrc_negative_count,nrc_negative_density,nrc_surprise_count,nrc_surprise_density,nrc_sadness_count,nrc_sadness_density
1,opponent,55.0,1.0,-0.02,0.15833333333333333,0.0,0.0,36.0,261.0,0.0,0.0,0.0,0.0,0.0,1.0,0.027777777777777776,2.0,0.05555555555555555,0.0,0.0,4.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.5342551469802856,0.13120496273040771,0.19777555763721466,0.11183595657348633,0.014148043468594551,0.010780371725559235,0.0,0.0,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,0.15,0.5,0.0,0.0,25.0,180.0,0.0,0.0,0.0,0.0,0.0,2.0,0.08,2.0,0.08,2.0,0.08,2.0,0.08,1.0,0.04,1.0,0.04,1.0,0.04,0.9303864240646362,0.037860576063394547,0.01789342239499092,0.010124283842742443,0.0021150873508304358,0.001620174152776599,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,57.0,4.0,0.0,0.375,0.0,0.0,36.0,251.0,0.0,0.0,0.0,0.0,0.0,1.0,0.027777777777777776,1.0,0.027777777777777776,1.0,0.027777777777777776,2.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.8632267713546753,0.026686562225222588,0.056413017213344574,0.045238375663757324,0.00455064233392477,0.003884613048285246,0.0,0.0,0.0,0.0,0.0,0.0
2,proponent,58.0,2.0,-0.04999999999999999,0.425,0.0,0.0,31.0,247.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03225806451612903,0.0,0.0,3.0,0.0967741935483871,3.0,0.0967741935483871,0.0,0.0,1.0,0.03225806451612903,0.0,0.0,0.1180480495095253,0.4117594063282013,0.25238677859306335,0.20448103547096252,0.005629121791571379,0.007695660926401615,1.0,0.03225806451612903,1.0,0.03225806451612903,0.0,0.0
3,opponent,55.0,7.0,0.0,0.53125,0.0,0.0,48.0,347.0,0.0,1.0,0.0,0.020833333333333332,-1.0,2.0,0.041666666666666664,2.0,0.041666666666666664,2.0,0.041666666666666664,3.0,0.0625,1.0,0.020833333333333332,0.0,0.0,1.0,0.020833333333333332,0.9247388243675232,0.023309100419282913,0.022719956934452057,0.023409074172377586,0.003263659542426467,0.0025594704784452915,1.0,0.020833333333333332,0.0,0.0,0.0,0.0
3,proponent,59.0,5.0,0.12416666666666668,0.2966666666666667,0.0,0.0,34.0,249.0,1.0,1.0,0.029411764705882353,0.029411764705882353,0.0,1.0,0.029411764705882353,2.0,0.058823529411764705,4.0,0.11764705882352941,4.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.9548337459564209,0.01376822404563427,0.015689004212617874,0.011126033961772919,0.0015046308981254697,0.003078280948102474,2.0,0.058823529411764705,0.0,0.0,2.0,0.058823529411764705
4,opponent,53.0,10.0,0.0,0.0,0.0,0.0,23.0,177.0,0.0,0.0,0.0,0.0,0.0,1.0,0.043478260869565216,2.0,0.08695652173913043,0.0,0.0,1.0,0.043478260869565216,1.0,0.043478260869565216,1.0,0.043478260869565216,1.0,0.043478260869565216,0.5961837768554688,0.34402862191200256,0.011444773524999619,0.03505287319421768,0.008672834374010563,0.004617110826075077,1.0,0.043478260869565216,0.0,0.0,0.0,0.0
4,proponent,60.0,8.0,0.0,0.0,0.0,0.0,34.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.058823529411764705,1.0,0.029411764705882353,2.0,0.058823529411764705,0.0,0.0,1.0,0.029411764705882353,0.0,0.0,0.566321074962616,0.27247652411460876,0.05603443458676338,0.09568219631910324,0.004346865229308605,0.005138917826116085,0.0,0.0,0.0,0.0,0.0,0.0
5,opponent,54.0,13.0,-0.16666666666666666,0.7444444444444445,0.0,0.0,35.0,231.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02857142857142857,1.0,0.02857142857142857,3.0,0.08571428571428572,6.0,0.17142857142857143,1.0,0.02857142857142857,2.0,0.05714285714285714,1.0,0.02857142857142857,0.9854932427406311,0.00854435469955206,0.0023501336108893156,0.002064421772956848,0.001036243513226509,0.0005114699597470462,4.0,0.11428571428571428,0.0,0.0,0.0,0.0
5,proponent,58.0,11.0,0.0,0.3333333333333333,0.0,0.0,30.0,211.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03333333333333333,0.0,0.0,1.0,0.03333333333333333,3.0,0.1,1.0,0.03333333333333333,1.0,0.03333333333333333,1.0,0.03333333333333333,0.02262107841670513,0.8877484202384949,0.037900954484939575,0.04710612818598747,0.0029431190341711044,0.0016803429462015629,3.0,0.1,0.0,0.0,0.0,0.0
