round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_trust_count,nrc_trust_density,nrc_positive_count,nrc_positive_density,nrc_surprise_count,nrc_surprise_density,nrc_fear_count,nrc_fear_density,nrc_joy_count,nrc_joy_density,nrc_anger_count,nrc_anger_density,nrc_negative_count,nrc_negative_density,nrc_anticipation_count,nrc_anticipation_density,nrc_disgust_count,nrc_disgust_density,emotion_joy,emotion_sadness,emotion_love,emotion_anger,emotion_surprise,emotion_fear,nrc_sadness_count,nrc_sadness_density
1,opponent,55.0,1.0,-0.1,0.1,0.0,0.0,38.0,245.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07894736842105263,3.0,0.07894736842105263,0.0,0.0,4.0,0.10526315789473684,0.0,0.0,2.0,0.05263157894736842,4.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.5904855132102966,0.03863963857293129,0.0068618012592196465,0.13424864411354065,0.0231189988553524,0.20664533972740173,1.0,0.02631578947368421
1,proponent,55.0,0.0,0.0,0.06666666666666667,0.0,0.0,40.0,260.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,4.0,0.1,1.0,0.025,7.0,0.175,2.0,0.05,3.0,0.075,6.0,0.15,1.0,0.025,1.0,0.025,0.989425778388977,0.00401694793254137,0.002116443822160363,0.0015804810682311654,0.0015602321363985538,0.0013000069884583354,0.0,0.0
2,opponent,56.0,4.0,-0.1,0.1,0.0,0.0,38.0,245.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07894736842105263,3.0,0.07894736842105263,0.0,0.0,4.0,0.10526315789473684,0.0,0.0,2.0,0.05263157894736842,4.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.5904855132102966,0.03863963857293129,0.0068618012592196465,0.13424864411354065,0.0231189988553524,0.20664533972740173,1.0,0.02631578947368421
2,proponent,50.0,2.0,0.049999999999999996,0.3392857142857143,0.0,0.0,38.0,282.0,0.0,0.0,0.0,0.0,0.0,4.0,0.10526315789473684,4.0,0.10526315789473684,0.0,0.0,2.0,0.05263157894736842,2.0,0.05263157894736842,1.0,0.02631578947368421,2.0,0.05263157894736842,1.0,0.02631578947368421,0.0,0.0,0.004931879695504904,0.07448601722717285,0.0021378605160862207,0.1084650456905365,0.002674867631867528,0.807304322719574,0.0,0.0
3,opponent,55.0,7.0,0.0,0.0,0.0,0.0,26.0,163.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07692307692307693,2.0,0.07692307692307693,0.0,0.0,2.0,0.07692307692307693,0.0,0.0,2.0,0.07692307692307693,3.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.40575292706489563,0.10749723762273788,0.01111854612827301,0.3326645493507385,0.011288701556622982,0.13167807459831238,0.0,0.0
3,proponent,52.0,5.0,0.0,0.0,0.0,0.0,45.0,278.0,0.0,0.0,0.0,0.0,0.0,2.0,0.044444444444444446,4.0,0.08888888888888889,0.0,0.0,1.0,0.022222222222222223,1.0,0.022222222222222223,1.0,0.022222222222222223,2.0,0.044444444444444446,1.0,0.022222222222222223,0.0,0.0,0.97756028175354,0.010321475565433502,0.0025532159488648176,0.005080972332507372,0.0016792276874184608,0.002804788760840893,1.0,0.022222222222222223
4,opponent,54.0,10.0,-0.041666666666666664,0.33749999999999997,0.0,0.0,47.0,350.0,0.0,0.0,0.0,0.0,0.0,3.0,0.06382978723404255,3.0,0.06382978723404255,0.0,0.0,4.0,0.0851063829787234,0.0,0.0,3.0,0.06382978723404255,5.0,0.10638297872340426,1.0,0.02127659574468085,1.0,0.02127659574468085,0.24235889315605164,0.03571205213665962,0.006616134662181139,0.29180654883384705,0.014397216960787773,0.4091091752052307,1.0,0.02127659574468085
4,proponent,54.0,8.0,0.11250000000000002,0.4,0.0,0.0,33.0,241.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06060606060606061,1.0,0.030303030303030304,0.0,0.0,1.0,0.030303030303030304,0.0,0.0,1.0,0.030303030303030304,1.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.03219502419233322,0.0339088998734951,0.004743901081383228,0.6052372455596924,0.004316970240324736,0.3195980191230774,0.0,0.0
5,opponent,52.0,13.0,-0.04133333333333332,0.388,0.0,0.0,54.0,384.0,0.0,0.0,0.0,0.0,0.0,3.0,0.05555555555555555,3.0,0.05555555555555555,0.0,0.0,4.0,0.07407407407407407,0.0,0.0,2.0,0.037037037037037035,6.0,0.1111111111111111,1.0,0.018518518518518517,2.0,0.037037037037037035,0.10351341217756271,0.02123390883207321,0.004092592746019363,0.8137609958648682,0.002377154538407922,0.05502188205718994,1.0,0.018518518518518517
5,proponent,53.0,11.0,-0.3333333333333333,0.5,0.0,0.0,32.0,223.0,0.0,0.0,0.0,0.0,0.0,3.0,0.09375,2.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03125,2.0,0.0625,0.0,0.0,0.0,0.0,0.0854247435927391,0.02019011788070202,0.004917309153825045,0.5612413883209229,0.0043408432975411415,0.3238855302333832,1.0,0.03125
