round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_positive_count,nrc_positive_density,nrc_trust_count,nrc_trust_density,nrc_joy_count,nrc_joy_density,nrc_anticipation_count,nrc_anticipation_density,nrc_disgust_count,nrc_disgust_density,nrc_anger_count,nrc_anger_density,nrc_fear_count,nrc_fear_density,emotion_joy,emotion_anger,emotion_sadness,emotion_fear,emotion_love,emotion_surprise,nrc_negative_count,nrc_negative_density,nrc_sadness_count,nrc_sadness_density,nrc_surprise_count,nrc_surprise_density
1,opponent,55.0,1.0,0.0,0.25,0.0,0.0,70.0,475.0,0.0,1.0,0.0,0.014285714285714285,-1.0,4.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014285714285714285,0.09114781767129898,0.34760868549346924,0.5283723473548889,0.025618208572268486,0.0038387407548725605,0.0034141552168875933,1.0,0.014285714285714285,1.0,0.014285714285714285,0.0,0.0
1,proponent,50.0,0.0,0.033333333333333326,0.48571428571428577,0.0,0.0,32.0,218.0,0.0,0.0,0.0,0.0,0.0,3.0,0.09375,2.0,0.0625,2.0,0.0625,2.0,0.0625,1.0,0.03125,1.0,0.03125,1.0,0.03125,0.9403427839279175,0.03746778517961502,0.011168321594595909,0.005614748224616051,0.003990899305790663,0.0014155113603919744,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,56.0,4.0,0.0,0.25,0.0,0.0,70.0,471.0,0.0,1.0,0.0,0.014285714285714285,-1.0,4.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014285714285714285,0.08310248702764511,0.36041751503944397,0.5177420973777771,0.03143825754523277,0.0038378757890313864,0.0034618231002241373,1.0,0.014285714285714285,1.0,0.014285714285714285,0.0,0.0
2,proponent,45.0,2.0,0.0,0.375,0.0,0.0,46.0,305.0,0.0,0.0,0.0,0.0,0.0,2.0,0.043478260869565216,1.0,0.021739130434782608,0.0,0.0,0.0,0.0,1.0,0.021739130434782608,3.0,0.06521739130434782,4.0,0.08695652173913043,0.00776486424729228,0.8861793875694275,0.06924474984407425,0.03440067917108536,0.001292495639063418,0.0011177757987752557,5.0,0.10869565217391304,1.0,0.021739130434782608,0.0,0.0
3,opponent,54.0,7.0,0.1,0.40625,0.0,0.0,36.0,258.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05555555555555555,1.0,0.027777777777777776,0.0,0.0,2.0,0.05555555555555555,1.0,0.027777777777777776,1.0,0.027777777777777776,2.0,0.05555555555555555,0.9566439390182495,0.01220998726785183,0.02409416250884533,0.002289311960339546,0.0034563816152513027,0.0013062591897323728,2.0,0.05555555555555555,0.0,0.0,0.0,0.0
3,proponent,46.0,5.0,0.13,0.375,0.0,0.0,35.0,269.0,0.0,0.0,0.0,0.0,0.0,3.0,0.08571428571428572,2.0,0.05714285714285714,0.0,0.0,1.0,0.02857142857142857,1.0,0.02857142857142857,1.0,0.02857142857142857,2.0,0.05714285714285714,0.995726466178894,0.0005826583364978433,0.0017796463798731565,0.0004255495732650161,0.0008745727827772498,0.0006110811955295503,2.0,0.05714285714285714,1.0,0.02857142857142857,1.0,0.02857142857142857
4,opponent,56.0,10.0,0.0,0.5,0.0,0.0,52.0,359.0,0.0,1.0,0.0,0.019230769230769232,-1.0,5.0,0.09615384615384616,1.0,0.019230769230769232,0.0,0.0,1.0,0.019230769230769232,1.0,0.019230769230769232,1.0,0.019230769230769232,4.0,0.07692307692307693,0.021192487329244614,0.837895393371582,0.10486390441656113,0.030675534158945084,0.0037965807132422924,0.0015760727692395449,3.0,0.057692307692307696,2.0,0.038461538461538464,0.0,0.0
4,proponent,43.0,8.0,0.15,0.2791666666666667,0.0,0.0,37.0,288.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05405405405405406,1.0,0.02702702702702703,0.0,0.0,1.0,0.02702702702702703,2.0,0.05405405405405406,1.0,0.02702702702702703,3.0,0.08108108108108109,0.4869297742843628,0.19500090181827545,0.2865070402622223,0.022429360076785088,0.005791391246020794,0.003341661300510168,4.0,0.10810810810810811,1.0,0.02702702702702703,0.0,0.0
5,opponent,57.0,13.0,0.0,0.5,0.0,0.0,52.0,359.0,0.0,1.0,0.0,0.019230769230769232,-1.0,5.0,0.09615384615384616,1.0,0.019230769230769232,0.0,0.0,1.0,0.019230769230769232,1.0,0.019230769230769232,1.0,0.019230769230769232,4.0,0.07692307692307693,0.021192487329244614,0.837895393371582,0.10486390441656113,0.030675534158945084,0.0037965807132422924,0.0015760727692395449,3.0,0.057692307692307696,2.0,0.038461538461538464,0.0,0.0
5,proponent,41.0,11.0,-0.030000000000000006,0.395,0.0,0.0,48.0,316.0,0.0,0.0,0.0,0.0,0.0,4.0,0.08333333333333333,2.0,0.041666666666666664,2.0,0.041666666666666664,1.0,0.020833333333333332,2.0,0.041666666666666664,3.0,0.0625,2.0,0.041666666666666664,0.4991600811481476,0.23881159722805023,0.04921313747763634,0.17865458130836487,0.007469075731933117,0.026691513136029243,2.0,0.041666666666666664,1.0,0.020833333333333332,2.0,0.041666666666666664
