run_id,turn_index,confidence_delta_within_role,debate_role,abs_delta,is_turning_point
run_20260208_123941,4,5.0,proponent,5.0,1
run_20260208_123941,5,0.0,opponent,0.0,0
run_20260208_123941,7,-10.0,proponent,10.0,1
run_20260208_123941,8,5.0,opponent,5.0,1
run_20260208_123941,10,-10.0,proponent,10.0,1
run_20260208_123941,11,5.0,opponent,5.0,1
run_20260208_124809,4,-1.0,proponent,1.0,0
run_20260208_124809,5,2.0,opponent,2.0,0
run_20260208_124809,7,-1.0,proponent,1.0,0
run_20260208_124809,8,2.0,opponent,2.0,0
run_20260208_124809,10,-2.0,proponent,2.0,0
run_20260208_124809,11,1.0,opponent,1.0,0
run_20260208_124809,13,-1.0,proponent,1.0,0
run_20260208_124809,14,2.0,opponent,2.0,0
run_20260208_125658,4,-1.0,proponent,1.0,0
run_20260208_125658,5,2.0,opponent,2.0,0
run_20260208_125658,7,-1.0,proponent,1.0,0
run_20260208_125658,8,0.0,opponent,0.0,0
run_20260208_125658,10,-2.0,proponent,2.0,0
run_20260208_125658,11,1.0,opponent,1.0,0
run_20260208_125658,13,-2.0,proponent,2.0,0
run_20260208_125658,14,1.0,opponent,1.0,0
run_20260208_130544,4,0.0,proponent,0.0,0
run_20260208_130544,5,0.0,opponent,0.0,0
run_20260208_130544,7,-1.0,proponent,1.0,0
run_20260208_130544,8,0.0,opponent,0.0,0
run_20260208_130544,10,-1.0,proponent,1.0,0
run_20260208_130544,11,0.0,opponent,0.0,0
run_20260208_130544,13,-2.0,proponent,2.0,0
run_20260208_130544,14,1.0,opponent,1.0,0
run_20260208_131027,4,-10.0,proponent,10.0,1
run_20260208_131027,5,2.0,opponent,2.0,0
run_20260208_131027,7,-10.0,proponent,10.0,1
run_20260208_131027,8,2.0,opponent,2.0,0
run_20260208_131727,4,-5.0,proponent,5.0,1
run_20260208_131727,5,5.0,opponent,5.0,1
run_20260208_131727,7,-1.0,proponent,1.0,0
run_20260208_131727,8,1.0,opponent,1.0,0
run_20260208_131727,10,-1.0,proponent,1.0,0
run_20260208_131727,11,2.0,opponent,2.0,0
run_20260208_132525,4,-1.0,proponent,1.0,0
run_20260208_132525,5,1.0,opponent,1.0,0
run_20260208_132525,7,-2.0,proponent,2.0,0
run_20260208_132525,8,0.0,opponent,0.0,0
run_20260208_132525,10,-1.0,proponent,1.0,0
run_20260208_132525,11,2.0,opponent,2.0,0
run_20260208_132525,13,-7.0,proponent,7.0,1
run_20260208_132525,14,0.0,opponent,0.0,0
run_20260208_133351,4,15.0,proponent,15.0,1
run_20260208_133351,5,2.0,opponent,2.0,0
run_20260208_133351,7,-5.0,proponent,5.0,1
run_20260208_133351,8,8.0,opponent,8.0,1
run_20260208_133351,10,-1.0,proponent,1.0,0
run_20260208_133351,11,1.0,opponent,1.0,0
run_20260208_133351,13,-2.0,proponent,2.0,0
run_20260208_133351,14,2.0,opponent,2.0,0
run_20260208_134040,4,-5.0,proponent,5.0,1
run_20260208_134040,5,5.0,opponent,5.0,1
run_20260208_134040,7,-10.0,proponent,10.0,1
run_20260208_134040,8,5.0,opponent,5.0,1
run_20260208_134040,10,-10.0,proponent,10.0,1
run_20260208_134040,11,5.0,opponent,5.0,1
run_20260208_134934,4,-1.0,proponent,1.0,0
run_20260208_134934,5,1.0,opponent,1.0,0
run_20260208_134934,7,-1.0,proponent,1.0,0
run_20260208_134934,8,0.0,opponent,0.0,0
run_20260208_134934,10,-3.0,proponent,3.0,0
run_20260208_134934,11,0.0,opponent,0.0,0
run_20260208_134934,13,-1.0,proponent,1.0,0
run_20260208_134934,14,1.0,opponent,1.0,0
run_20260208_135839,4,5.0,proponent,5.0,1
run_20260208_135839,5,2.0,opponent,2.0,0
run_20260208_135839,7,-2.0,proponent,2.0,0
run_20260208_135839,8,3.0,opponent,3.0,0
run_20260208_135839,10,-2.0,proponent,2.0,0
run_20260208_135839,11,3.0,opponent,3.0,0
run_20260208_135839,13,-2.0,proponent,2.0,0
run_20260208_135839,14,1.0,opponent,1.0,0
run_20260208_140514,4,-10.0,proponent,10.0,1
run_20260208_140514,5,2.0,opponent,2.0,0
run_20260208_140514,7,-10.0,proponent,10.0,1
run_20260208_140514,8,0.0,opponent,0.0,0
run_20260208_141220,4,-10.0,proponent,10.0,1
run_20260208_141220,5,5.0,opponent,5.0,1
run_20260208_141220,7,-5.0,proponent,5.0,1
run_20260208_141220,8,0.0,opponent,0.0,0
run_20260208_141220,10,-10.0,proponent,10.0,1
run_20260208_141220,11,5.0,opponent,5.0,1
run_20260208_141839,4,-20.0,proponent,20.0,1
run_20260208_141839,5,10.0,opponent,10.0,1
run_20260208_141839,7,-5.0,proponent,5.0,1
run_20260208_141839,8,0.0,opponent,0.0,0
run_20260208_141839,10,-1.0,proponent,1.0,0
run_20260208_141839,11,0.0,opponent,0.0,0
run_20260208_142834,4,5.0,proponent,5.0,1
run_20260208_142834,5,2.0,opponent,2.0,0
run_20260208_142834,7,-3.0,proponent,3.0,0
run_20260208_142834,8,13.0,opponent,13.0,1
run_20260208_142834,10,-2.0,proponent,2.0,0
run_20260208_142834,11,1.0,opponent,1.0,0
run_20260208_142834,13,-10.0,proponent,10.0,1
run_20260208_142834,14,-1.0,opponent,1.0,0
run_20260208_143453,4,-10.0,proponent,10.0,1
run_20260208_143453,5,10.0,opponent,10.0,1
run_20260208_143453,7,-10.0,proponent,10.0,1
run_20260208_143453,8,5.0,opponent,5.0,1
run_20260208_143453,10,-10.0,proponent,10.0,1
run_20260208_143453,11,0.0,opponent,0.0,0
run_20260208_144330,4,5.0,proponent,5.0,1
run_20260208_144330,5,5.0,opponent,5.0,1
run_20260208_144330,7,0.0,proponent,0.0,0
run_20260208_144330,8,0.0,opponent,0.0,0
run_20260208_144330,10,-1.0,proponent,1.0,0
run_20260208_144330,11,0.0,opponent,0.0,0
run_20260208_144330,13,1.0,proponent,1.0,0
run_20260208_144330,14,0.0,opponent,0.0,0
run_20260208_145332,4,-1.0,proponent,1.0,0
run_20260208_145332,5,1.0,opponent,1.0,0
run_20260208_145332,7,0.0,proponent,0.0,0
run_20260208_145332,8,0.0,opponent,0.0,0
run_20260208_145332,10,-2.0,proponent,2.0,0
run_20260208_145332,11,1.0,opponent,1.0,0
run_20260208_145332,13,-1.0,proponent,1.0,0
run_20260208_145332,14,23.0,opponent,23.0,1
run_20260208_150311,4,-10.0,proponent,10.0,1
run_20260208_150311,5,5.0,opponent,5.0,1
